site,year,pre_post_fire,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,2019,prefire,,BM1,nr,cade,live,TR,TOV,20,
bearmountain,2019,prefire,,BM1,nr,cade,dead,TR,TSA,tr,
bearmountain,2019,prefire,,BM1,nr,chafol,live,SH,SL,tr,
bearmountain,2019,prefire,,BM1,nr,pipo,live,TR,TOV,7,
bearmountain,2019,prefire,,BM1,nr,pipo,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM1,nr,quke,live,TR,TSA,tr,
bearmountain,2019,prefire,,BM1,nr,steten,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,arcvis,live,SH,,tr,
bearmountain,2019,prefire,,BM10,nr,arcvis,live,SH,SL,tr,
bearmountain,2019,prefire,,BM10,nr,arcvis,live,SH,SM,tr,
bearmountain,2019,prefire,,BM10,nr,cade,dead,TR,TSA,0.5,
bearmountain,2019,prefire,,BM10,nr,cade,live,TR,TOV,10,
bearmountain,2019,prefire,,BM10,nr,cade,dead,TR,TSE,tr,
bearmountain,2019,prefire,,BM10,nr,agogra,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM10,nr,flat1,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,gayophytum,live,FB,,0.5,
bearmountain,2019,prefire,,BM10,nr,grass3,live,GR,,tr,
bearmountain,2019,prefire,,BM10,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM10,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,pipo,live,TR,TOV,20,
bearmountain,2019,prefire,,BM10,nr,pipo,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM10,nr,puffspike,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,sarsan,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,steten,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,tallgrass2,live,GR,,tr,
bearmountain,2019,prefire,,BM10,nr,tighttopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM10,nr,tinyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM10,nr,unkblackseeds,live,FB,,tr,
