site,year,plot_id,obs,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BlissSP,2019,bliss1,ag,prefire,,abco,live,TR,TOV,33,
BlissSP,2019,bliss1,ag,prefire,,abco,dead,TR,TOV,1,
BlissSP,2019,bliss10,ms,prefire,,abco,live,TR,TOV,20,
BlissSP,2019,bliss10,ms,prefire,,abco,dead,TR,TOV,0,
BlissSP,2019,bliss10,ms,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss10,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss10,ms,prefire,,abco,dead,TR,TSE,tr,
BlissSP,2019,bliss11,ms,prefire,,abco,live,TR,TOV,30,
BlissSP,2019,bliss11,ms,prefire,,abco,dead,TR,TOV,1,
BlissSP,2019,bliss11,ms,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss11,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss12,ms,prefire,,abco,live,TR,TOV,1,
BlissSP,2019,bliss12,ms,prefire,,abco,dead,TR,TSA,1,
BlissSP,2019,bliss12,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss13,ms,prefire,,abco,live,TR,TOV,25,
BlissSP,2019,bliss13,ms,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss13,ms,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss13,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss14,ms,prefire,,abco,live,TR,TOV,13,
BlissSP,2019,bliss14,ms,prefire,,abco,dead,TR,TOV,10,
BlissSP,2019,bliss14,ms,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,abco,live,TR,TOV,25,
BlissSP,2019,bliss15,ag,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss15,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,abco,dead,TR,TOV,2,
BlissSP,2019,bliss2,ag,prefire,,abco,live,TR,TOV,39,
BlissSP,2019,bliss2,ag,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss2,ag,prefire,,abco,dead,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,abco,live,TR,TOV,33,
BlissSP,2019,bliss3,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss4,ag,prefire,,abco,dead,TR,TOV,tr,
BlissSP,2019,bliss4,ag,prefire,,abco,live,TR,TOV,12,
BlissSP,2019,bliss4,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss5,ag,prefire,,abco,live,TR,TOV,8,
BlissSP,2019,bliss5,ag,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss6,nr,prefire,,abco,live,TR,TSA,tr,
BlissSP,2019,bliss6,nr,prefire,,abco,live,TR,TOV,4,
BlissSP,2019,bliss6,nr,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss7,nr,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss7,nr,prefire,,abco,live,TR,TOV,32,
BlissSP,2019,bliss7,nr,prefire,,abco,dead,TR,TSA,tr,
BlissSP,2019,bliss8,nr,prefire,,abco,live,TR,TOV,2,
BlissSP,2019,bliss8,nr,prefire,,abco,live,TR,TSE,6,
BlissSP,2019,bliss9,nr,prefire,,abco,live,TR,TOV,5,
BlissSP,2019,bliss9,nr,prefire,,abco,live,TR,TSE,tr,
BlissSP,2019,bliss10,ms,prefire,,abma,live,TR,TSA,tr,
BlissSP,2019,bliss6,nr,prefire,,abma,live,TR,TOV,tr,
BlissSP,2019,bliss10,ms,prefire,,allvir,live,FB,,tr,
BlissSP,2019,bliss11,ms,prefire,,allvir,live,FB,,tr,
BlissSP,2019,bliss11,ms,prefire,,allvir,dead,FB,,tr,
BlissSP,2019,bliss7,nr,prefire,,allvir,live,FB,,tr,
BlissSP,2019,bliss3,ag,prefire,,amut,live,SH,SL,tr,
BlissSP,2019,bliss5,ag,prefire,,amut,live,SH,SL,tr,
BlissSP,2019,bliss5,ag,prefire,,amut,live,SH,SM,tr,
BlissSP,2019,bliss10,ms,prefire,,apoand,live,SH,SL,tr,
BlissSP,2019,bliss8,nr,prefire,,apoand,live,SH,SL,tr,
