site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton1,ag,prefire,,abco,live,TR,TOV,33,
BurtonSP,2019,burton1,ag,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton1,ag,prefire,,abco,dead,TR,TOV,tr,
BurtonSP,2019,burton10,nr,prefire,,abco,live,TR,TOV,20,
BurtonSP,2019,burton11,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton11,nr,prefire,,abco,dead,TR,TOV,0.5,
BurtonSP,2019,burton11,nr,prefire,,abco,live,TR,TOV,16,
BurtonSP,2019,burton12,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton12,nr,prefire,,abco,live,TR,TOV,,
BurtonSP,2019,burton12,nr,prefire,,abco,dead,TR,TOV,2,
BurtonSP,2019,burton13,nr,prefire,,abco,live,TR,TOV,50,
BurtonSP,2019,burton13,nr,prefire,,abco,live,TR,TSA,tr,
BurtonSP,2019,burton13,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton14,nr,prefire,,abco,live,TR,TOV,30,
BurtonSP,2019,burton14,nr,prefire,,abco,dead,TR,TOV,tr,
BurtonSP,2019,burton14,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton15,nr,prefire,,abco,live,TR,TOV,31,
BurtonSP,2019,burton15,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton16,nr,prefire,,abco,live,TR,TOV,15,
BurtonSP,2019,burton16,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton16,nr,prefire,,abco,live,TR,TSA,0.5,
BurtonSP,2019,burton17,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton17,nr,prefire,,abco,dead,TR,TOV,0.5,
BurtonSP,2019,burton17,nr,prefire,,abco,live,TR,TOV,30,
BurtonSP,2019,burton18,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton18,nr,prefire,,abco,live,TR,TOV,28,
BurtonSP,2019,burton18,nr,prefire,,abco,dead,TR,TOV,tr,
BurtonSP,2019,burton18,nr,prefire,,abco,live,TR,TSA,tr,
BurtonSP,2019,burton19,nr,prefire,,abco,live,TR,TSE,1,
BurtonSP,2019,burton19,nr,prefire,,abco,live,TR,TSA,3,
BurtonSP,2019,burton19,nr,prefire,,abco,live,TR,TOV,61,
BurtonSP,2019,burton2,ag,prefire,,abco,live,TR,TOV,46,
BurtonSP,2019,burton2,ag,prefire,,abco,live,TR,TSE,4,
BurtonSP,2019,burton2,ag,prefire,,abco,dead,TR,TOV,0.5,
BurtonSP,2019,burton2,ag,prefire,,abco,live,TR,TSA,tr,
BurtonSP,2019,burton20,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton20,nr,prefire,,abco,live,TR,TOV,,
BurtonSP,2019,burton21,nr,prefire,,abco,live,TR,TSE,5,
BurtonSP,2019,burton21,nr,prefire,,abco,dead,TR,TSA,tr,
BurtonSP,2019,burton21,nr,prefire,,abco,dead,TR,TOV,tr,
BurtonSP,2019,burton21,nr,prefire,,abco,live,TR,TOV,60,
BurtonSP,2019,burton22,nr,prefire,,abco,live,TR,TOV,70,
BurtonSP,2019,burton22,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton22,nr,prefire,,abco,live,TR,TSA,tr,
BurtonSP,2019,burton23,nr,prefire,,abco,live,TR,TOV,39,
BurtonSP,2019,burton23,nr,prefire,,abco,live,TR,TSA,tr,
BurtonSP,2019,burton23,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton24,nr,prefire,,abco,live,TR,TOV,tr,
BurtonSP,2019,burton24,nr,prefire,,abco,live,TR,TSE,tr,
BurtonSP,2019,burton3,ag,prefire,,abco,live,TR,TOV,35,
BurtonSP,2019,burton3,ag,prefire,,abco,live,TR,TSA,4,
