site,year,plot_id,observer,pre_post_fire,postTime,species,status,lifeform,layerCode,percent,notes
BurtonSP,2020,Burton09,km,postfire,1yr,ABCO,live,TR,TSE,0.5,
BurtonSP,2020,Burton09,km,postfire,1yr,ABCO,live,TR,TSA,0.75,
BurtonSP,2020,Burton09,km,postfire,1yr,ABCO,live,TR,TOV,25,
BurtonSP,2020,Burton09,km,postfire,1yr,ABCO,dead,TR,TOV,1,
BurtonSP,2020,Burton08,km,postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton08,km,postfire,1yr,ABCO,dead,TR,TSE,tr,
BurtonSP,2020,Burton08,km,postfire,1yr,ABCO,live,TR,TOV,23,
BurtonSP,2020,Burton08,km,postfire,1yr,ABCO,dead,TR,TOV,0.25,
BurtonSP,2020,Burton31,km,postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton31,km,postfire,1yr,ABCO,live,TR,TSA,0.25,
BurtonSP,2020,Burton31,km,postfire,1yr,ABCO,live,TR,TOV,53,
BurtonSP,2020,Burton27,km,postfire,1yr,ABCO,live,TR,TSE,0.5,
BurtonSP,2020,Burton27,km,postfire,1yr,ABCO,dead,TR,TSE,0.25,
BurtonSP,2020,Burton27,km,postfire,1yr,ABCO,live,TR,TOV,5,
BurtonSP,2020,Burton34,km,postfire,1yr,ABCO,live,TR,TSE,0.5,
BurtonSP,2020,Burton34,km,postfire,1yr,ABCO,live,TR,TSA,1,
BurtonSP,2020,Burton34,km,postfire,1yr,ABCO,live,TR,TOV,58,
BurtonSP,2020,Burton34,km,postfire,1yr,ABCO,dead,TR,TOV,0.5,
BurtonSP,2020,Burton45,km,postfire,1yr,ABCO,live,TR,TSE,1.5,
BurtonSP,2020,Burton45,km,postfire,1yr,ABCO,live,TR,TSA,0.75,
BurtonSP,2020,Burton45,km,postfire,1yr,ABCO,live,TR,TOV,30,
BurtonSP,2020,Burton45,km,postfire,1yr,ABCO,dead,TR,TOV,2,
BurtonSP,2020,Burton46,km,postfire,1yr,ABCO,live,TR,TSE,0.25,
BurtonSP,2020,Burton46,km,postfire,1yr,ABCO,live,TR,TSA,0.25,
BurtonSP,2020,Burton46,km,postfire,1yr,ABCO,live,TR,TOV,13,
BurtonSP,2020,Burton46,km,postfire,1yr,ABCO,dead,TR,TOV,0.25,
BurtonSP,2020,Burton40,km,postfire,1yr,ABCO,live,TR,TSE,0.25,
BurtonSP,2020,Burton40,km,postfire,1yr,ABCO,dead,TR,TSE,tr,
BurtonSP,2020,Burton40,km,postfire,1yr,ABCO,dead,TR,TSA,0.25,
BurtonSP,2020,Burton40,km,postfire,1yr,ABCO,live,TR,TSA,0.5,added during QAQC using regen data
BurtonSP,2020,Burton40,km,postfire,1yr,ABCO,live,TR,TOV,37,
BurtonSP,2020,Burton40,km,postfire,1yr,ABCO,dead,TR,TOV,15,
BurtonSP,2020,Burton07,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton07,"vs, mm",postfire,1yr,ABCO,dead,TR,TSE,tr,
BurtonSP,2020,Burton07,"vs, mm",postfire,1yr,ABCO,live,TR,TSA,tr,
BurtonSP,2020,Burton07,"vs, mm",postfire,1yr,ABCO,dead,TR,TSA,tr,
BurtonSP,2020,Burton07,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,18,
BurtonSP,2020,Burton07,"vs, mm",postfire,1yr,ABCO,dead,TR,TOV,tr,
BurtonSP,2020,Burton14,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton14,"vs, mm",postfire,1yr,ABCO,dead,TR,TSA,tr,
BurtonSP,2020,Burton14,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,19,
BurtonSP,2020,Burton14,"vs, mm",postfire,1yr,ABCO,dead,TR,TOV,1,
BurtonSP,2020,Burton38,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton38,"vs, mm",postfire,1yr,ABCO,live,TR,TSA,tr,
BurtonSP,2020,Burton38,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,24,
BurtonSP,2020,Burton39,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton39,"vs, mm",postfire,1yr,ABCO,dead,TR,TSE,tr,
BurtonSP,2020,Burton39,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,32,
BurtonSP,2020,Burton39,"vs, mm",postfire,1yr,ABCO,dead,TR,TOV,1,
BurtonSP,2020,Burton32,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton32,"vs, mm",postfire,1yr,ABCO,live,TR,TSA,tr,
BurtonSP,2020,Burton32,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,23,
BurtonSP,2020,Burton28,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton28,"vs, mm",postfire,1yr,ABCO,live,TR,TSA,tr,
BurtonSP,2020,Burton28,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,15,
BurtonSP,2020,Burton28,"vs, mm",postfire,1yr,ABCO,dead,TR,TOV,tr,
BurtonSP,2020,Burton29,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton29,"vs, mm",postfire,1yr,ABCO,dead,TR,TSE,tr,
BurtonSP,2020,Burton29,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,40,
BurtonSP,2020,Burton30,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton30,"vs, mm",postfire,1yr,ABCO,live,TR,TSA,1,
BurtonSP,2020,Burton30,"vs, mm",postfire,1yr,ABCO,dead,TR,TSA,tr,
BurtonSP,2020,Burton30,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,15,
BurtonSP,2020,Burton25,"vs, mm",postfire,1yr,ABCO,live,TR,TSE,tr,
BurtonSP,2020,Burton25,"vs, mm",postfire,1yr,ABCO,live,TR,TSA,0.25,added during QAQC from regen data
BurtonSP,2020,Burton25,"vs, mm",postfire,1yr,ABCO,live,TR,TOV,,
