site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,
calaveras,2020,prefire,BigTrees22,"ag, lh",ABCO,live,TR,TOV,20,,
calaveras,2020,prefire,BigTrees22,"ag, lh",ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees22,"ag, lh",ABCO,live,TR,TSE,5,,
calaveras,2020,prefire,BigTrees24,ag,ABCO,live,TR,TOV,1,,
calaveras,2020,prefire,BigTrees24,ag,ABCO,live,TR,TSE,5,,
calaveras,2020,prefire,BigTrees24,ag,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees24,ag,ABCO,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees36,ag,ABCO,live,TR,TOV,12,,
calaveras,2020,prefire,BigTrees36,ag,ABCO,live,TR,TSE,12,,
calaveras,2020,prefire,BigTrees36,ag,ABCO,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees36,ag,ABCO,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees36,ag,ABCO,dead,TR,TSA,0.5,,
calaveras,2020,prefire,BigTrees27,km,ABCO,dead,TR,TOV,3,,
calaveras,2020,prefire,BigTrees27,km,ABCO,live,TR,TSE,4,,
calaveras,2020,prefire,BigTrees27,km,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees27,km,ABCO,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees25,km,ABCO,live,TR,TSA,2,,
calaveras,2020,prefire,BigTrees25,km,ABCO,live,TR,TSE,2,,
calaveras,2020,prefire,BigTrees25,km,ABCO,live,TR,TOV,16,,
calaveras,2020,prefire,BigTrees29,km,ABCO,live,TR,TSE,1.5,,
calaveras,2020,prefire,BigTrees29,km,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees01,km,ABCO,live,TR,TOV,20,,
calaveras,2020,prefire,BigTrees01,km,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees01,km,ABCO,live,TR,TSA,1.5,,
calaveras,2020,prefire,BigTrees01,km,ABCO,live,TR,TSE,3,,
calaveras,2020,prefire,BigTrees01,km,ABCO,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees35,km,ABCO,live,TR,TSE,4,,
calaveras,2020,prefire,BigTrees35,km,ABCO,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees35,km,ABCO,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees35,km,ABCO,live,TR,TOV,11,,
calaveras,2020,prefire,BigTrees06,km,ABCO,live,TR,TSE,1,,
calaveras,2020,prefire,BigTrees06,km,ABCO,live,TR,TSA,0.25,,
calaveras,2020,prefire,BigTrees06,km,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees32,km,ABCO,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees32,km,ABCO,dead,TR,TOV,0.25,,
calaveras,2020,prefire,BigTrees32,km,ABCO,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees32,km,ABCO,live,TR,TSE,6,,
calaveras,2020,prefire,BigTrees32,km,ABCO,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees14,km,ABCO,live,TR,TSE,22,,
calaveras,2020,prefire,BigTrees14,km,ABCO,live,TR,TSA,50,,
calaveras,2020,prefire,BigTrees14,km,ABCO,live,TR,TOV,3,,
calaveras,2020,prefire,BigTrees05,km,ABCO,live,TR,TSE,17,,
calaveras,2020,prefire,BigTrees05,km,ABCO,live,TR,TSA,35,,
calaveras,2020,prefire,BigTrees05,km,ABCO,dead,TR,TOV,1.5,,
calaveras,2020,prefire,BigTrees34,km,ABCO,live,TR,TSE,2,,
calaveras,2020,prefire,BigTrees34,km,ABCO,dead,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees34,km,ABCO,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees34,km,ABCO,live,TR,TOV,35,,
calaveras,2020,prefire,BigTrees34,km,ABCO,dead,TR,TOV,8,,
calaveras,2020,prefire,BigTrees21,vs,ABCO,live,TR,TSE,tr,TOV,
calaveras,2020,prefire,BigTrees21,vs,ABCO,dead,TR,TOV,4,,
calaveras,2020,prefire,BigTrees23,vs,ABCO,live,TR,TSE,2,,
calaveras,2020,prefire,BigTrees23,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees23,vs,ABCO,live,TR,TOV,22,,
calaveras,2020,prefire,BigTrees23,vs,ABCO,dead,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees20,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees20,vs,ABCO,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees20,vs,ABCO,live,TR,TOV,12,,
calaveras,2020,prefire,BigTrees28,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees28,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees19,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees19,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees19,vs,ABCO,live,TR,TOV,13,,
calaveras,2020,prefire,BigTrees18,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees18,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees18,vs,ABCO,live,TR,TOV,13,,
calaveras,2020,prefire,BigTrees18,vs,ABCO,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees17,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees17,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees17,vs,ABCO,live,TR,TOV,8,,
calaveras,2020,prefire,BigTrees09,vs,ABCO,live,TR,TSE,1,,
calaveras,2020,prefire,BigTrees09,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees09,vs,ABCO,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees09,vs,ABCO,live,TR,TOV,7,,
calaveras,2020,prefire,BigTrees09,vs,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees08,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees08,vs,ABCO,live,TR,TSA,38,,
calaveras,2020,prefire,BigTrees08,vs,ABCO,live,TR,TOV,15,,
calaveras,2020,prefire,BigTrees02,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees02,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees02,vs,ABCO,live,TR,TOV,9,,
calaveras,2020,prefire,BigTrees02,vs,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees03,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees03,vs,ABCO,live,TR,TOV,8,,
calaveras,2020,prefire,BigTrees03,vs,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees31,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees30,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees30,vs,ABCO,live,TR,TSA,1,,
calaveras,2020,prefire,BigTrees30,vs,ABCO,live,TR,TOV,8,,
calaveras,2020,prefire,BigTrees30,vs,ABCO,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees13,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees13,vs,ABCO,live,TR,TSA,2,,
calaveras,2020,prefire,BigTrees13,vs,ABCO,live,TR,TOV,18,,
calaveras,2020,prefire,BigTrees11,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees12,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees12,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees12,vs,ABCO,live,TR,TOV,20,,
calaveras,2020,prefire,BigTrees12,vs,ABCO,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees10,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees10,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees10,vs,ABCO,live,TR,TOV,12,,
calaveras,2020,prefire,BigTrees10,vs,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees07,vs,ABCO,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees07,vs,ABCO,live,TR,TSA,2,,
calaveras,2020,prefire,BigTrees07,vs,ABCO,live,TR,TOV,18,,
calaveras,2020,prefire,BigTrees15,vs,ABCO,live,TR,TSA,tr,,
calaveras,2020,prefire,BigTrees15,vs,ABCO,live,TR,TOV,28,,
calaveras,2020,prefire,BigTrees15,vs,ABCO,dead,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees33,vs,ABCO,live,TR,TSA,6,,
calaveras,2020,prefire,BigTrees33,vs,ABCO,live,TR,TOV,9,,
calaveras,2020,prefire,BigTrees33,vs,ABCO,live,TR,TOV,tr,,
calaveras,2020,prefire,BigTrees04,km,ABCO ,live,TR,TSE,0.5,,
calaveras,2020,prefire,BigTrees04,km,ABCO ,live,TR,TOV,17,,
calaveras,2020,prefire,BigTrees04,km,ABCO ,dead,TR,TOV,1,,
calaveras,2020,prefire,BigTrees21,vs,ABCO ,live,TR,TSA,2,,
calaveras,2020,prefire,BigTrees21,vs,ABCO ,live,TR,TOV,8,,
calaveras,2020,prefire,BigTrees34,km,ACEMAC,live,TR,TSE,tr,,
calaveras,2020,prefire,BigTrees34,km,ACEMAC,live,TR,TSA,0.75,,
calaveras,2020,prefire,BigTrees34,km,ACEMAC,live,TR,TOV,37,,
calaveras,2020,prefire,BigTrees24,ag,ACMNEV,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees27,km,acmnev,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees22,"ag, lh",ADBI,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees24,ag,ADBI,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees36,ag,ADBI,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees27,km,ADBI,live,FB,na,1,,
calaveras,2020,prefire,BigTrees29,km,ADBI,live,FB,na,tr,,
calaveras,2020,prefire,BigTrees01,km,ADBI,live,FB,na,9,,
