year,plotid,pre_post_fire,obs,species,status,lifeform,layer_code,percent,notes,collected,pic
2021,CONCOW001,prefire,sb,node,live,tr,tov,27,,,
2021,CONCOW001,prefire,sb,node,dead,tr,tov,9,,,
2021,CONCOW001,prefire,sb,cade,live,tr,tov,5,,,
2021,CONCOW001,prefire,sb,cade,dead,tr,tov,,,,
2021,CONCOW001,prefire,sb,conu,live,tr,tov,4,,,
2021,CONCOW001,prefire,sb,node,live,tr,tsa,7,,,
2021,CONCOW001,prefire,sb,node,dead,tr,tsa,1.5,,,
2021,CONCOW001,prefire,sb,acemac,live,tr,tsa,0.5,,,
2021,CONCOW001,prefire,sb,abco,dead,tr,tsa,0.5,,,
2021,CONCOW001,prefire,sb,node,dead,tr,tsa,5,,,
2021,CONCOW001,prefire,sb,node,live,tr,tse,6,notholithocarpos densiflorus,,
2021,CONCOW001,prefire,sb,acemac,live,tr,tse,0.25,acer macrophyllum,,
2021,CONCOW001,prefire,sb,conu,live,tr,tse,1.75,,,
2021,CONCOW001,prefire,sb,abco,live,tr,tse,tr,,,
2021,CONCOW001,prefire,sb,acemac,dead,tr,tse,tr,,,
2021,CONCOW001,prefire,sb,node,dead,tr,tse,0.25,,,
2021,CONCOW001,prefire,sb,psme,live,tr,tse,tr,,,
2021,CONCOW001,prefire,sb,abco,dead,tr,tse,0.25,,,
2021,CONCOW001,prefire,mm,cade,dead,tr,tse,tr,,,
2021,CONCOW001,prefire,sb,rubpar,live,sh,,4,"originally recorded as ""ribes parvflorus"" but assumed mistake for Rubus parviflorus",,
2021,CONCOW001,prefire,sb,ceaint,live,sh,,1,ceanothus integerrimus,,
2021,CONCOW001,prefire,sb,corcorcal,live,sh,,3.25,corylus cornuta var californica,,
2021,CONCOW001,prefire,sb,ribes gland,live,sh,,tr,"ribes seedling, glandular, internodal spines",,
2021,CONCOW001,prefire,sb,rubarm,live,sh,,tr,,,
2021,CONCOW001,prefire,sb,pteaqu,live,fern,,4,pteridium aquilinum,,
