site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes,,,
downieville,2020,prefire,RedAnt62,km,ADBI,live,FB,na,0.25,,,,
downieville,2020,prefire,RedAnt38,km,fuzzymono looking forb,live,FB,na,0.25,,,,
downieville,2020,prefire,RedAnt29,km,VICAME-AME,live,FB,na,0.25,,,,
downieville,2020,prefire,RedAnt45,km,GALTRISUB,live,FB,na,0.25,,,,
downieville,2020,prefire,RedAnt62,km,GALTRISUB,live,FB,na,0.25,,,,
downieville,2020,prefire,RedAnt51,km,IRHA,live,FB,na,0.25,x,,,
downieville,2020,prefire,RedAnt28,km,OSMBER,live,FB,na,0.25,Osmorhiza berteroi,,,
downieville,2020,prefire,RedAnt28,km,PTEAND,live,FB,na,0.5,bracken,,,
downieville,2020,prefire,RedAnt28,km,LYSLAT,live,FB,na,0.75,,,,
downieville,2020,prefire,RedAnt35,vs,CHIMEN,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt57,vs,CHIUMB,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt62,km,IRHA,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,KECLEM,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt53,vs,KECLEM,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,MADGLO,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt35,vs,VICAME-AME,live,FB,na,1,,,,
downieville,2020,prefire,RedAnt53,vs,CHIMEN,live,FB,na,2,,,,
downieville,2020,prefire,RedAnt45,km,IRHA,live,FB,na,2,,,,
downieville,2020,prefire,RedAnt55,vs,CHIUMB,live,FB,na,4,,,,
downieville,2020,prefire,RedAnt37,vs,ACOCOL-VIV,live,FB,na,tr,Aconitum columbianum subsp. Viviparum??,,,
downieville,2020,prefire,RedAnt58,vs,ACOCOL-VIV,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt62,km,GASPP,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,ADBI,live,FB,na,tr,trailplant,,,
downieville,2020,prefire,RedAnt29,km,ADBI,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,AGOGRA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,AGOGRA,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt42,vs,ALLVIR,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt29,km,APOAND,live,FB,na,tr,spreading dogbane,,,
downieville,2020,prefire,RedAnt37,vs,APHFAS,live,FB,na,tr,"v A. purpureum (host Galium, discrepancy in key)",,,
downieville,2020,prefire,RedAnt51,km,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt56,vs,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt61,vs,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt53,vs,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt28,km,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt35,vs,APOAND,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt55,vs,ASYPRE,live,FB,na,tr,Asyneuma prenanthoides,,,
downieville,2020,prefire,RedAnt35,vs,ASYPRE,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt36,vs,ASYPRE,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt37,vs,ASYPRE,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt30b,vs,CALMALMAL,live,FB,na,tr,,,,
downieville,2020,prefire,RedAnt38,km,CAMPRE,live,FB,na,tr,,,,
