site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes
Independence,2020,prefire,Indy26,VS,ABCO,live,TR,TSE,1,
Independence,2020,prefire,Indy26,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy26,VS,ABCO,live,TR,TOV,16,
Independence,2020,prefire,Indy26,VS,ABCO,dead,TR,TSA,tr,
Independence,2020,prefire,Indy26,VS,ABCO,dead,TR,TOV,tr,
Independence,2020,prefire,Indy07,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy07,VS,ABCO,live,TR,TOV,14,
Independence,2020,prefire,Indy08,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy08,VS,ABCO,live,TR,TSA,1,
Independence,2020,prefire,Indy08,VS,ABCO,live,TR,TOV,13,
Independence,2020,prefire,Indy09,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy09,VS,ABCO,live,TR,TSA,8,
Independence,2020,prefire,Indy09,VS,ABCO,live,TR,TOV,18,
Independence,2020,prefire,Indy24,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy17,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy17,VS,ABCO,live,TR,TSA,1,
Independence,2020,prefire,Indy17,VS,ABCO,live,TR,TOV,13,
Independence,2020,prefire,Indy16,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy16,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy16,VS,ABCO,live,TR,TOV,3,
Independence,2020,prefire,Indy40,VS,ABCO,live,TR,TOV,21,
Independence,2020,prefire,Indy38,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy38,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy38,VS,ABCO,live,TR,TOV,18,
Independence,2020,prefire,Indy05,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy05,VS,ABCO,live,TR,TSA,1,
Independence,2020,prefire,Indy05,VS,ABCO,live,TR,TOV,20,
Independence,2020,prefire,Indy03,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy03,VS,ABCO,live,TR,TSA,4,
Independence,2020,prefire,Indy03,VS,ABCO,dead,TR,TSA,tr,
Independence,2020,prefire,Indy03,VS,ABCO,live,TR,TOV,8,
Independence,2020,prefire,Indy11,VS,ABCO,live,TR,TSA,4,
Independence,2020,prefire,Indy11,VS,ABCO,live,TR,TOV,2,
Independence,2020,prefire,Indy14,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy14,VS,ABCO,live,TR,TSA,1,
Independence,2020,prefire,Indy14,VS,ABCO,live,TR,TOV,1,
Independence,2020,prefire,Indy14,VS,ABCO,dead,TR,TOV,3,
Independence,2020,prefire,Indy20,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy20,VS,ABCO,live,TR,TSA,2,
Independence,2020,prefire,Indy20,VS,ABCO,live,TR,TOV,3,
Independence,2020,prefire,Indy21,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy21,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy29,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy29,VS,ABCO,live,TR,TOV,20,
Independence,2020,prefire,Indy36,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy36,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy36,VS,ABCO,live,TR,TOV,3,
Independence,2020,prefire,Indy30,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy30,VS,ABCO,live,TR,TSA,tr,
Independence,2020,prefire,Indy30,VS,ABCO,live,TR,TOV,27,
Independence,2020,prefire,Indy28,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy28,VS,ABCO,live,TR,TSA,1,
Independence,2020,prefire,Indy28,VS,ABCO,live,TR,TOV,13,
Independence,2020,prefire,Indy28,VS,ABCO,dead,TR,TOV,3,
Independence,2020,prefire,Indy31,VS,ABCO,live,TR,TSE,tr,
Independence,2020,prefire,Indy31,VS,ABCO,live,TR,TSA,1,
Independence,2020,prefire,Indy31,VS,ABCO,live,TR,TOV,23,
