year,plotid,pre_post_fire,obs,species,status,lifeform,layer_code,percent,notes,collected,pic
2021,KLAMATH001,prefire,km,node,live,tr,tse,tr,,,
2021,KLAMATH001,prefire,km,arbmen,live,tr,tse,tr,,,
2021,KLAMATH001,prefire,km,psme,live,tr,tse,tr,,,
2021,KLAMATH001,prefire,km,quwi,live,tr,tse,tr,,,
2021,KLAMATH001,prefire,km,umbcal,live,tr,tse,tr,,,
2021,KLAMATH001,prefire,km,pila,live,tr,tse,tr,,,
2021,KLAMATH001,prefire,km,quwi,live,tr,tre,0.25,,,
2021,KLAMATH001,prefire,km,node,live,tr,tre,20,,,
2021,KLAMATH001,prefire,km,arbmen,live,tr,tre,0.5,,,
2021,KLAMATH001,prefire,km,quwi,live,tr,tov,1.5,,,
2021,KLAMATH001,prefire,km,arbmen,live,tr,tov,0.5,,,
2021,KLAMATH001,prefire,km,psme,live,tr,tov,13,,,
2021,KLAMATH001,prefire,km,node,dead,tr,tov,0.5,,,
2021,KLAMATH001,prefire,km,node,dead,tr,tre,tr,,,
2021,KLAMATH001,prefire,km,unk,dead,tr,tse,tr,node or quwi,,
2021,KLAMATH001,prefire,km,quwi,dead,tr,tov,3,,,
2021,KLAMATH001,prefire,km,rubleu,live,sh,,0.5,,,
2021,KLAMATH001,prefire,km,toxdiv,live,sh,,tr,,,
2021,KLAMATH001,prefire,km,corcorcal,live,sh,,0.25,,x,
2021,KLAMATH001,prefire,km,ceaint,live,sh,,0.25,"small fuzzy lvs, serrated near tip",x,
2021,KLAMATH001,prefire,km,salexi,live,sh,,tr,narrow skinny lanceolate lvs,,
2021,KLAMATH001,prefire,km,rubarm,live,sh,,0.25,,,
2021,KLAMATH001,prefire,km,lonhis,live,sh,,tr,,,
2021,KLAMATH001,prefire,km,arcto,live,sh,,tr,"glaucus, toothed near tip",,
2021,KLAMATH001,prefire,km,ribroe,live,sh,,0.5,,,
2021,KLAMATH001,prefire,km,toxdiv,live,sh,,0.25,,,
2021,KLAMATH001,prefire,km,alt sh,live,sh,,tr,,,
2021,KLAMATH001,prefire,km,galtri,live,fb,,0.75,,,
2021,KLAMATH001,prefire,km,lyslat,live,fb,,0.25,,,
2021,KLAMATH001,prefire,km,iris,live,fb,,0.25,"yellow, cultural",,
2021,KLAMATH001,prefire,km,torarv,live,fb,,tr,,,
2021,KLAMATH001,prefire,km,fuzzy run,live,fb,,tr,"ranunculus, palmately lobed fuzzy leaves",,
2021,KLAMATH001,prefire,km,calystegia,live,fb,,tr,,,
2021,KLAMATH001,prefire,km,staaju,live,fb,,tr,,x,
2021,KLAMATH001,prefire,km,adebic,live,fb,,tr,,,
2021,KLAMATH001,prefire,km,apoand,live,fb,,tr,,,
2021,KLAMATH001,prefire,km,campre,live,fb,,tr,companula?,x,
2021,KLAMATH001,prefire,km,madia sm,live,fb,,tr,,,
2021,KLAMATH001,prefire,km,cirvul,live,fb,,tr,"tall, thick stem",,
2021,KLAMATH001,prefire,km,vitcal,live,fb,,tr,vitis californica,,
2021,KLAMATH001,prefire,km,epilobium ,live,fb,,tr,,x,
2021,KLAMATH001,prefire,km,annual fb,live,fb,,tr,,x,
2021,KLAMATH001,prefire,km,anaphalis?,live,fb,,tr,,x,
2021,KLAMATH001,prefire,km,silver fb,live,fb,,tr,,x,
2021,KLAMATH001,prefire,km,hypper,live,fb,,tr,,x,
2021,KLAMATH001,prefire,km,polmun,live,fern,,tr,polystichum munitum,x,
2021,KLAMATH001,prefire,km,pteaqu,live,fern,,tr,,,
2021,KLAMATH001,prefire,km,melica,live,gr,,0.25,,x,
2021,KLAMATH001,prefire,km,thin lv gr,live,gr,,0.25,,x,
2021,KLAMATH001,prefire,km,elygla,live,gr,,tr,,x,
2021,KLAMATH001,prefire,km,cynech,live,gr,,tr,,,
2021,KLAMATH001,prefire,km,carmul?,live,gr,,tr,,x,
2021,KLAMATH002,prefire,km,umbcal,live,tr,tse,tr,,,
2021,KLAMATH002,prefire,km,hetarb,live,tr,tse,tr,,,
2021,KLAMATH002,prefire,km,node,live,tr,tse,tr,,,
2021,KLAMATH002,prefire,km,pipo,live,tr,tse,tr,,,
2021,KLAMATH002,prefire,km,quwi,live,tr,tse,tr,,,
2021,KLAMATH002,prefire,km,quke,live,tr,tse,tr,,,
2021,KLAMATH002,prefire,km,hetarb,live,tr,tsa,0.25,,,
2021,KLAMATH002,prefire,km,umbcal,live,tr,tsa,0.5,,,
2021,KLAMATH002,prefire,km,node,live,tr,tre,2,,,
2021,KLAMATH002,prefire,km,arbmen,live,tr,tre,4,,,
2021,KLAMATH002,prefire,km,quwi,live,tr,tre,0.5,,,
2021,KLAMATH002,prefire,km,hetarb,live,tr,tre,0.25,,,
2021,KLAMATH002,prefire,km,arbmen,live,tr,tov,0.5,,,
2021,KLAMATH002,prefire,km,pila,live,tr,tov,1,,,
2021,KLAMATH002,prefire,km,quwi,live,tr,tov,2,,,
2021,KLAMATH002,prefire,km,psme,live,tr,tov,70,,,
2021,KLAMATH002,prefire,km,node,dead,tr,tsa,0.25,,,
2021,KLAMATH002,prefire,km,arbmen,dead,tr,tsa,0.25,,,
2021,KLAMATH002,prefire,km,arbmen,dead,tr,tov,3.5,,,
2021,KLAMATH002,prefire,km,quwi,dead,tr,tsa,tr,,,
2021,KLAMATH002,prefire,km,beraqu,live,sh,,2,"pumila? creeping, low",,
2021,KLAMATH002,prefire,km,rubleu,live,sh,,0.25,,,
2021,KLAMATH002,prefire,km,toxdiv,live,sh,,1.5,,,
2021,KLAMATH002,prefire,km,ribroe,live,sh,,0.25,,,
2021,KLAMATH002,prefire,km,lonhis,live,sh,,tr,,,
2021,KLAMATH002,prefire,km,ceaint,live,sh,,tr,,,
2021,KLAMATH002,prefire,km,arcto2,live,sh,,tr,,,
2021,KLAMATH002,prefire,km,aspden,live,fern,,tr,aspidotis densa,,
2021,KLAMATH002,prefire,km,polmun,live,fern,,tr,,,
2021,KLAMATH002,prefire,km,polcor,live,fb,,0.25,blueish stem,x,
2021,KLAMATH002,prefire,km,madia sm,live,fb,,0.25,,x,
2021,KLAMATH002,prefire,km,iris,live,fb,,0.25,,,
2021,KLAMATH002,prefire,km,campre,live,fb,,tr,,,
2021,KLAMATH002,prefire,km,hieracium,live,fb,,tr,hieracium,x,
2021,KLAMATH002,prefire,km,galbol,live,fb,,tr,"was ""galbol?""",x,
2021,KLAMATH002,prefire,km,penlae,live,fb,,tr,,x,
2021,KLAMATH002,prefire,km,erigeron sparse,live,fb,,tr,,x,
2021,KLAMATH002,prefire,km,cirvul,live,fb,,tr,,,
2021,KLAMATH002,prefire,km,madia big,live,fb,,0.25,.8m tall,,
2021,KLAMATH002,prefire,km,simple aster,live,fb,,tr,,,
2021,KLAMATH002,prefire,km,starburst,live,fb,,tr,,,
2021,KLAMATH002,prefire,km,hairy lvs,live,fb,,tr,,,
2021,KLAMATH002,prefire,km,lyslat,live,fb,,tr,,,
2021,KLAMATH002,prefire,km,thin lv gr,live,gr,,0.25,,,
2021,KLAMATH002,prefire,km,bromus tall,live,gr,,0.25,"blue stems, rolled lvs",,
2021,KLAMATH002,prefire,km,bromus sm,live,gr,,tr,,,
2021,KLAMATH002,prefire,km,long awn gr,live,gr,,tr,,,
2021,KLAMATH002,prefire,km,melica,live,gr,,0.25,,,
2021,KLAMATH002,prefire,km,cynech,live,gr,,tr,,,
2021,KLAMATH002,prefire,km,elygla,live,gr,,0.25,,,
2021,KLAMATH003,prefire,km,pipo,live,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,node,live,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,arbmen,live,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,quga,live,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,quwi,live,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,hetarb,live,tr,tre,0.5,,,
2021,KLAMATH003,prefire,km,node,live,tr,tre,tr,,,
2021,KLAMATH003,prefire,km,psme,live,tr,tov,9,,,
2021,KLAMATH003,prefire,km,pipo,live,tr,tov,7,,,
2021,KLAMATH003,prefire,km,pipo,dead,tr,tov,4.5,,,
2021,KLAMATH003,prefire,km,psme,dead,tr,tov,4,,,
2021,KLAMATH003,prefire,km,psme,dead,tr,tsa,0.25,,,
2021,KLAMATH003,prefire,km,quwi,dead,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,pila,dead,tr,tse,tr,,,
2021,KLAMATH003,prefire,km,rubarm,live,sh,,47,,,
2021,KLAMATH003,prefire,km,ribroe,live,sh,,0.25,,,
2021,KLAMATH003,prefire,km,rubleu,live,sh,,1,,,
2021,KLAMATH003,prefire,km,toxdiv,live,sh,,0.5,,,
2021,KLAMATH003,prefire,km,lonhis,live,sh,,tr,,,
2021,KLAMATH003,prefire,km,aspden,live,fern,,0.25,,,
2021,KLAMATH003,prefire,km,achmil,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,iris,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,madia big,live,fb,,2,,,
2021,KLAMATH003,prefire,km,madia sm,live,fb,,23,,,
2021,KLAMATH003,prefire,km,fravir,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,anaphalis?,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,torarv,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,seedling,live,fb,,tr,aspden?,,
2021,KLAMATH003,prefire,km,cirvul,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,vitcal,live,fb,,3,,,
2021,KLAMATH003,prefire,km,madia bigger,live,fb,,0.5,,,
2021,KLAMATH003,prefire,km,simple aster,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,rumace,live,fb,,tr,,,
2021,KLAMATH003,prefire,km,hairy lvs,live,gr,,tr,,,
2021,KLAMATH003,prefire,km,elygla,live,gr,,1,,,
2021,KLAMATH003,prefire,km,cynech,live,gr,,tr,,,
2021,KLAMATH003,prefire,km,carex curly,live,gr,,0.5,,,
2021,KLAMATH003,prefire,km,bromus sm,live,gr,,tr,,,
2021,KLAMATH004,prefire,km,artdou,live,fb,,2,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,vicia,live,fb,,0.25,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,rumex crispus,live,fb,,0.25,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,sapoff,live,fb,,tr,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,round tse,live,fb,,tr,*plot set at 5.65m radius,maybe soapwort,
2021,KLAMATH004,prefire,km,rubarm,live,sh,,2,*plot set at 5.65m radius,,
2021,KLAMATH004,prefire,km,toxdiv,live,sh,,tr,*plot set at 5.65m radius,,
