site,year,plotid,obs,species,status,lifeform,layer_code,percent,notes,pre_post_fire,postTime
odell,2022,Odell001,AG,quwi,live,TR,TOV,95,,prefire,NA
odell,2022,Odell001,AG,quwi,live,TR,TSA,10,,prefire,NA
odell,2022,Odell001,AG,quwi,live,TR,TSE,tr,,prefire,NA
odell,2022,Odell001,AG,pinsab,live,TR,TOV,5,,prefire,NA
odell,2022,Odell001,AG,pinsab,live,TR,TSE,tr,pinus sabiana,prefire,NA
odell,2022,Odell001,AG,arvi,dead,SH,,2,,prefire,NA
odell,2022,Odell001,AG,quke,live,TR,TOV,1,,prefire,NA
odell,2022,Odell001,AG,quch,live,TR,TSE,tr,,prefire,NA
odell,2022,Odell001,AG,hear,live,SH,,2,,prefire,NA
odell,2022,Odell001,AG,fracal,live,SH,,1,frangula californica,prefire,NA
odell,2022,Odell001,AG,toxdiv,live,SH,,2,,prefire,NA
odell,2022,Odell001,AG,arvi,live,SH,,10,arcto viscida,prefire,NA
odell,2022,Odell001,AG,symmol,live,SH,,tr,,prefire,NA
odell,2022,Odell001,AG,sancra,live,FB,,2,sanicula crassicaulis,prefire,NA
odell,2022,Odell001,AG,galpor,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,iris,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,torillis,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,grass,live,GR,,tr,,prefire,NA
odell,2022,Odell001,AG,lathryus,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,caroli,live,FB,,tr,cardamine oligosperma,prefire,NA
odell,2022,Odell001,AG,fescue,live,GR,,tr,,prefire,NA
odell,2022,Odell001,AG,peland,live,FERN,,tr,pelleae abromedifolia,prefire,NA
odell,2022,Odell001,AG,pentri,live,FERN,,tr,pentagramma triangularus,prefire,NA
odell,2022,Odell001,AG,plagio,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,chopom,live,FB,,tr,soap plant,prefire,NA
odell,2022,Odell001,AG,carcal,live,FB,,0.25,cardamine californica,prefire,NA
odell,2022,Odell001,AG,gallium,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,nemophili,live,FB,,tr,,prefire,NA
odell,2022,Odell001,AG,stemed,live,FB,,tr,stellaria media,prefire,NA
odell,2022,Odell001,AG,frittalaria,live,FB,,tr,,prefire,NA
odell,2022,Odell003,AG,quwi,live,TR,TOV,48,,prefire,NA
odell,2022,Odell003,AG,aeca,live,TR,TSE,tr,buckeye,prefire,NA
odell,2022,Odell003,AG,quwi,live,TR,TSE,tr,,prefire,NA
