site,year,plotid,pre_post_fire,obs,species,status,lifeform,layer_code,percent,notes,collected,pic,
shaverlake,2021,SHAVER001,prefire,km,symmol,dead,sh,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,ribroe,dead,sh,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,ribmon,dead,sh,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,abco,dead,tr,TSA,1.75,,,,
shaverlake,2021,SHAVER001,prefire,km,cade,dead,tr,TSA,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,salsco,dead,tr,TSA,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,abco,dead,tr,TSE,0.75,,,,
shaverlake,2021,SHAVER001,prefire,km,cade,dead,tr,TSE,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,pila,dead,tr,TSE,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,colpar,live,fb,,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,erycap,live,fb,,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,boerep,live,fb,,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,pteaqu,live,fern,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,brocar,live,gr,,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,stipa,live,gr,,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,carmul,live,gr,,tr,carex multicaulis,,,
shaverlake,2021,SHAVER001,prefire,km,ribmon,live,sh,,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,ceacor,live,sh,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,ribroe,live,sh,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,symmol,live,sh,,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,rosspi,live,sh,,tr,rosa spithamea,,,
shaverlake,2021,SHAVER001,prefire,km,abco,live,tr,TOV,10,,,,
shaverlake,2021,SHAVER001,prefire,km,cade,live,tr,TOV,22,,,,
shaverlake,2021,SHAVER001,prefire,km,pije,live,tr,TOV,1,overhanging,,,
shaverlake,2021,SHAVER001,prefire,km,cade,live,tr,TSA,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,abco,live,tr,TSA,2.5,,,,
shaverlake,2021,SHAVER001,prefire,km,cade,live,tr,TSE,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,pije,live,tr,TSE,0.25,,,,
shaverlake,2021,SHAVER001,prefire,km,abco,live,tr,TSE,1.25,,,,
shaverlake,2021,SHAVER001,prefire,km,quke,live,tr,TSE,tr,,,,
shaverlake,2021,SHAVER001,prefire,km,pila,live,tr,TSE,tr,,,,
shaverlake,2021,SHAVER002,prefire,km,cade,dead,tr,TOV,0.5,,,,
