site,year,plotid,pre_post_fire,postTime,obs,species,status,lifeform,layer_code,percent,notes,
slypark,2021,SPI1,postfire,1yr,km,cade,live,TR,TOV,3,,
slypark,2021,SPI1,postfire,1yr,km,cade,live,TR,TSE,0.25,,
slypark,2021,SPI1,postfire,1yr,km,cade,dead,TR,TOV,1,,
slypark,2021,SPI1,postfire,1yr,km,cade,dead,TR,TSE,2,,
slypark,2021,SPI1,postfire,1yr,km,pipo,live,TR,TOV,67,,
slypark,2021,SPI1,postfire,1yr,km,abco,live,TR,TSE,tr,,
slypark,2021,SPI1,postfire,1yr,km,quke,live,TR,TSE,tr,,
slypark,2021,SPI1,postfire,1yr,km,abco,dead,TR,TSE,tr,,
slypark,2021,SPI1,postfire,1yr,km,chafol,live,SH,,tr,,
slypark,2021,SPI1,postfire,1yr,km,ceaint,live,SH,,tr,,
slypark,2021,SPI1,postfire,1yr,km,rubleu,live,SH,,tr,,
slypark,2021,SPI1,postfire,1yr,km,polcor,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,irihar,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,osmber,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,hieracium sp,live,FB,,tr,young with just tiny basal lvs,
slypark,2021,SPI1,postfire,1yr,km,artemesia sp,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,pyrpic,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,kelgal,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,quwi,live,TR,TSE,tr,,
slypark,2021,SPI1,postfire,1yr,km,clarho,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,latnev,live,FB,,tr,,
slypark,2021,SPI1,postfire,1yr,km,luzcom,live,GR,,tr,,
slypark,2021,SPI1,postfire,1yr,km,elygla,live,GR,,tr,,
slypark,2021,SPI1,postfire,1yr,km,carexy grass,live,GR,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,pipo,live,TR,TOV,90,,
slypark,2021,SPI10,postfire,1yr,ag,cade,dead,TR,TSE,tr,,
slypark,2021,SPI10,postfire,1yr,ag,cade,live,TR,TSA,1,,
slypark,2021,SPI10,postfire,1yr,ag,pila,live,TR,TSE,tr,,
slypark,2021,SPI10,postfire,1yr,ag,quke,live,TR,TSE,tr,,
slypark,2021,SPI10,postfire,1yr,ag,pteaqu,live,FERN ,,10,,
slypark,2021,SPI10,postfire,1yr,ag,chafol,live,SH,,0.5,,
slypark,2021,SPI10,postfire,1yr,ag,rharub,live,SH,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,galapa,live,FB,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,galbol,live,FB,,2,,
slypark,2021,SPI10,postfire,1yr,ag,osmber,live,FB,,1,,
slypark,2021,SPI10,postfire,1yr,ag,lupalf,live,FB,,8,,
slypark,2021,SPI10,postfire,1yr,ag,clarho,live,FB,,0.25,,
slypark,2021,SPI10,postfire,1yr,ag,latnev,live,FB,,0.5,,
slypark,2021,SPI10,postfire,1yr,ag,colhet,live,FB,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,irihar,live,FB,,0.5,,
slypark,2021,SPI10,postfire,1yr,ag,chimen,live,FB,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,polcor,live,FB,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,elygla,live,GR,,tr,,
slypark,2021,SPI10,postfire,1yr,ag,luzcom,live,GR,,tr,,
slypark,2021,SPI11,postfire,1yr,km,cade,live,TR,TSE,tr,,
slypark,2021,SPI11,postfire,1yr,km,quke,live,TR,TSE,tr,,
slypark,2021,SPI11,postfire,1yr,km,pipo,live,TR,TOV,40,,
slypark,2021,SPI11,postfire,1yr,km,cade,dead,TR,TSA,0.25,,
slypark,2021,SPI11,postfire,1yr,km,pipo,dead,TR,TSA,1.25,,
slypark,2021,SPI11,postfire,1yr,km,quke,live,TR,TOV,20,,
slypark,2021,SPI11,postfire,1yr,km,cade,live,TR,TOV,13,,
slypark,2021,SPI11,postfire,1yr,km,pipo,live,TR,TSE,tr,,
slypark,2021,SPI11,postfire,1yr,km,unk ,dead,TR,TOV,tr,,
slypark,2021,SPI11,postfire,1yr,km,psme,live,TR,TOV,2,added during QAQC using tree and photo data,
slypark,2021,SPI11,postfire,1yr,km,quwi,live,TR,TSE,tr,,
slypark,2021,SPI11,postfire,1yr,km,chafol,live,SH,,30,,
slypark,2021,SPI11,postfire,1yr,km,colhet,live,FB,,tr,,
slypark,2021,SPI11,postfire,1yr,km,osmber,live,FB,,tr,,
slypark,2021,SPI11,postfire,1yr,km,clarho,live,FB,,tr,,
slypark,2021,SPI11,postfire,1yr,km,clapar,live,FB,,tr,x,
slypark,2021,SPI11,postfire,1yr,km,latsul,live,FB,,0.5,,
slypark,2021,SPI11,postfire,1yr,km,galbol,live,FB,,0.5,,
