site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes
springsfire,2020,postfire,Springs12,ag,ANTROS,live,FB,na,tr,
springsfire,2020,postfire,Springs12,ag,boechera,live,FB,na,tr,
springsfire,2020,postfire,Springs33,vs,boechera,live,FB,na,tr,
springsfire,2020,postfire,Springs38,km,boechera,live,FB,na,tr,
springsfire,2020,postfire,Springs01,vs,ARTR,dead,SH,na,tr,resp
springsfire,2020,postfire,Springs01,vs,ARTR,live,SH,na,7,
springsfire,2020,postfire,Springs03,vs,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs04,vs,ARTR,dead,SH,na,tr,resp
springsfire,2020,postfire,Springs08,vs,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs08,vs,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs13,ag,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs14,ag,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs16,km,ARTR,dead,SH,na,1,
springsfire,2020,postfire,Springs16,km,ARTR,live,SH,na,tr,resp
springsfire,2020,postfire,Springs16,km,ARTR,live,SH,na,5,
springsfire,2020,postfire,Springs17,km,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs17,km,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs23,vs,ARTR,live,SH,na,13,
springsfire,2020,postfire,Springs23,vs,ARTR,dead,SH,na,1,resp
springsfire,2020,postfire,Springs23,vs,ARTR,live,SH,na,tr,resp
springsfire,2020,postfire,Springs24,vs,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs33,vs,ARTR,live,SH,na,1,
springsfire,2020,postfire,Springs33,vs,ARTR,live,SH,na,tr,resp
springsfire,2020,postfire,Springs33,vs,ARTR,dead,SH,na,2,
springsfire,2020,postfire,Springs39,km,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs39,km,ARTR,dead,SH,na,0.5,
springsfire,2020,postfire,Springs40,ag,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs40,ag,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs41,vs,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs42,ag,ARTR,live,SH,na,1,
springsfire,2020,postfire,Springs42,ag,ARTR,dead,SH,na,tr,
springsfire,2020,postfire,Springs44,km,ARTR,live,SH,na,tr,
springsfire,2020,postfire,Springs45,ag,ARTR,live,SH,na,1,
springsfire,2020,postfire,Springs45,ag,ARTR,dead,SH,na,tr,resp
