site,plotid,obs,pre_post_fire,year,species,status,lifeform,layer_code,percent,notes,collected?,,
wilderranch,WIL001,km,prefire,2021,seqsem,live,TR,TSE,tr,,,,look up torilis break
wilderranch,WIL001,km,prefire,2021,node,live,TR,TSE,tr,"notholithocarpus densiflorus, tanoak",,,check if kinky grass is kinky grass
wilderranch,WIL001,km,prefire,2021,qu entire,live,TR,TSE,tr,,,,
wilderranch,WIL001,km,prefire,2021,seqsem,live,TR,TSA,26,,,,
wilderranch,WIL001,km,prefire,2021,node,live,TR,TSA,2,,,,
wilderranch,WIL001,km,prefire,2021,seqsem,live,TR,TOV,93,,,,
wilderranch,WIL001,km,prefire,2021,node,live,TR,TOV,3,,,,
wilderranch,WIL001,km,prefire,2021,seqsem,dead,TR,TSE,tr,,,,
wilderranch,WIL001,km,prefire,2021,seqsem,dead,TR,TSA,1,,,,
wilderranch,WIL001,km,prefire,2021,ruburs,live,SH,,18,,,,
wilderranch,WIL001,km,prefire,2021,toxdiv,live,SH,,16,,,,
wilderranch,WIL001,km,prefire,2021,corcor,live,SH,,0.75,,,,
wilderranch,WIL001,km,prefire,2021,symalblae,live,SH,,tr,,,,
wilderranch,WIL001,km,prefire,2021,lonhis,live,SH,,0.25,,,,
wilderranch,WIL001,km,prefire,2021,asacau,live,FB,,1,asarum caudatum,,,
wilderranch,WIL001,km,prefire,2021,galapa,live,FB,,tr,"3-6 per whorl, bristle on lv tips, mostly 4 when small, 6 when big",,,
wilderranch,WIL001,km,prefire,2021,gal4,live,FB,,tr,not galcal,,,
wilderranch,WIL001,km,prefire,2021,triova,live,FB,,0.25,trillium ovatum,,,
wilderranch,WIL001,km,prefire,2021,prohoo,live,FB,,tr,some branching and .9m tall,,,
wilderranch,WIL001,km,prefire,2021,lyslat,live,FB,,0.25,,,,
wilderranch,WIL001,km,prefire,2021,polcal,live,FB,,tr,,,,
wilderranch,WIL001,km,prefire,2021,clidou,live,FB,,tr,clinopodium douglasii?,,,
wilderranch,WIL001,km,prefire,2021,fuzzy fb,live,FB,,tr,,,,
wilderranch,WIL001,km,prefire,2021,viola,live,FB,,tr,sempervirens?,,,
wilderranch,WIL001,km,prefire,2021,glandular opp,live,FB,,0.25,salvia mellifera?,,,
wilderranch,WIL001,km,prefire,2021,iridou,live,FB,,0.25,,,,
wilderranch,WIL001,km,prefire,2021,stabul,live,FB,,tr,,,,
wilderranch,WIL001,km,prefire,2021,pteaqu,live,FERN ,,0.5,,,,
wilderranch,WIL001,km,prefire,2021,dryarg,live,FERN ,,0.25,,,,
wilderranch,WIL001,km,prefire,2021,polmun,live,FERN ,,0.75,polystichum munitum,,,
wilderranch,WIL001,km,prefire,2021,wil carex,live,GR,,tr,very long greenish blue,,,
wilderranch,WIL001,km,prefire,2021,wil juncus,live,GR,,tr,,,,
wilderranch,WIL001,km,prefire,2021,limp grass,live,GR,,tr,,,,
wilderranch,WIL002,km,prefire,2021,node,live,TR,TSE,1,,,,
wilderranch,WIL002,km,prefire,2021,seqsem,live,TR,TSE,0.5,,,,
wilderranch,WIL002,km,prefire,2021,qu entire,live,TR,TSE,tr,,,,
wilderranch,WIL002,km,prefire,2021,psme,live,TR,TSE,0.5,,,,
