plot_id,location,mass,fuel_size
BM1,BearMtn,0.021799023,mass_1hr
BM1,BearMtn,0.417213088,mass_10hr
BM1,BearMtn,0.553396829,mass_100hr
BM1,BearMtn,0.365181344,mass_cwd_sound
BM10,BearMtn,0.007266341,mass_1hr
BM10,BearMtn,0.139071029,mass_10hr
BM10,BearMtn,0.276698415,mass_100hr
BM10,BearMtn,3.942298599,mass_cwd_sound
BM11,BearMtn,0.083562921,mass_1hr
BM11,BearMtn,0.139071029,mass_10hr
BM11,BearMtn,0.276698415,mass_100hr
BM11,BearMtn,0.51004667,mass_cwd_sound
BM12,BearMtn,0.214357059,mass_1hr
BM12,BearMtn,1.04303272,mass_10hr
BM12,BearMtn,2.766984146,mass_100hr
BM12,BearMtn,35.25961686,mass_cwd_sound
BM12,BearMtn,0.579461306,mass_cwd_rotten
BM13,BearMtn,0.018165852,mass_1hr
BM13,BearMtn,0.208606544,mass_10hr
BM13,BearMtn,0,mass_100hr
BM13,BearMtn,2.610593905,mass_cwd_sound
BM14,BearMtn,0.029209266,mass_1hr
BM14,BearMtn,0.139759567,mass_10hr
BM14,BearMtn,0.278068342,mass_100hr
BM15,BearMtn,0.069648213,mass_1hr
BM15,BearMtn,0.841896139,mass_10hr
BM15,BearMtn,0,mass_100hr
BM15,BearMtn,0.368450526,mass_cwd_sound
BM16,BearMtn,0.050864387,mass_1hr
BM16,BearMtn,1.390710293,mass_10hr
BM16,BearMtn,1.383492073,mass_100hr
BM16,BearMtn,6.327023315,mass_cwd_sound
BM17,BearMtn,0.081926091,mass_1hr
BM17,BearMtn,0.855266962,mass_10hr
BM17,BearMtn,2.836092868,mass_100hr
BM17,BearMtn,15.34611108,mass_cwd_sound
BM18,BearMtn,0.15259316,mass_1hr
BM18,BearMtn,1.738387866,mass_10hr
BM18,BearMtn,1.383492073,mass_100hr
BM18,BearMtn,3.16591099,mass_cwd_sound
BM19,BearMtn,0.047231216,mass_1hr
BM19,BearMtn,0.834426176,mass_10hr
BM19,BearMtn,0,mass_100hr
BM19,BearMtn,8.922768524,mass_cwd_sound
BM2,BearMtn,0.066110293,mass_1hr
BM2,BearMtn,0.140587746,mass_10hr
BM2,BearMtn,0.279716104,mass_100hr
