location,plot_id,species_id,status,mean_dbh,mean_ht,total_trees_acre,diameter_class
BearMtn,BM1,cade,dead,26.4,4.933333333,30,4
BearMtn,BM1,cade,live,38.425,14.125,40,4
BearMtn,BM1,pipo,live,39.25,17.25,20,4
BearMtn,BM10,cade,dead,8.6,1.7,10,2
BearMtn,BM10,cade,live,34.46666667,13.93333333,30,4
BearMtn,BM10,pipo,live,56.65,32.25,40,5
BearMtn,BM11,cade,dead,15.84285714,5.285714286,70,3
BearMtn,BM11,cade,live,22.35,7.5,20,3
BearMtn,BM11,pipo,live,19.3,5,10,3
BearMtn,BM12,abco,dead,35.65,14.5,20,4
BearMtn,BM12,cade,dead,80.03333333,4.666666667,30,6
BearMtn,BM12,pila,live,100.3,40,10,6
BearMtn,BM12,pipo,live,82.7,35,10,6
BearMtn,BM13,cade,dead,8,4,10,2
BearMtn,BM13,cade,live,27.2,9.666666667,30,4
BearMtn,BM13,pipo,dead,31.25,18.5,20,4
BearMtn,BM13,pipo,live,41.1,19,10,4
BearMtn,BM13,quke,dead,25.2,3.5,20,3
BearMtn,BM14,cade,dead,20.4,6.5,80,3
BearMtn,BM14,cade,live,31.6,10.5,20,4
BearMtn,BM14,pipo,live,20.7,6,10,3
BearMtn,BM15,cade,dead,15.9,5,20,3
BearMtn,BM15,pipo,dead,22.2,2,10,3
BearMtn,BM15,pipo,live,36.96666667,19.76666667,30,4
BearMtn,BM15,quke,dead,52.85,9,20,5
BearMtn,BM15,quke,live,20.6,7.05,20,3
BearMtn,BM16,cade,dead,23.6,10,10,3
BearMtn,BM16,cade,live,46.35,15.5,20,5
BearMtn,BM16,pije,live,46.6,24.33333333,30,5
BearMtn,BM16,pipo,dead,27.2,13,20,4
BearMtn,BM16,pipo,live,45.7,26,20,5
BearMtn,BM16,quke,dead,39.4,1.45,10,4
BearMtn,BM17,pipo,dead,54.7,3.5,10,5
BearMtn,BM18,cade,dead,30.45,10.5,20,4
BearMtn,BM18,cade,live,47.85,17.33333333,60,5
BearMtn,BM18,pipo,dead,34.75,16.75,40,4
BearMtn,BM18,pipo,live,13.5,7,40,3
BearMtn,BM18,quke,dead,16.7,6,10,3
BearMtn,BM18,quke,live,31.7,23,10,4
BearMtn,BM19,cade,live,117.7,27,10,6
BearMtn,BM19,pipo,dead,42.75,9.555,20,4
BearMtn,BM19,pipo,live,40.1,19,10,4
BearMtn,BM2,cade,live,39.6,14.5,20,4
BearMtn,BM2,pipo,dead,83.2,2.2,10,6
BearMtn,BM2,pipo,live,46.4,24,30,5
BearMtn,BM2,quke,dead,24,3,10,3
BearMtn,BM20,cade,live,147,33,10,6
BearMtn,BM20,pipo,live,44.6,20.5,20,4
BearMtn,BM21,abco,dead,25.45,9.5,20,4
BearMtn,BM21,cade,dead,19.4,7,10,3
BearMtn,BM21,cade,live,28.225,10.25,40,4
BearMtn,BM21,pipo,dead,33.8,15,10,4
BearMtn,BM22,cade,dead,10.2,4,10,2
BearMtn,BM22,pipo,live,60.66666667,16.66666667,30,5
BearMtn,BM22,quch,dead,20.91666667,5.166666667,120,3
BearMtn,BM22,quch,live,55.7,9,10,5
BearMtn,BM22,quke,dead,10.5,5,10,2
BearMtn,BM24,cade,dead,28.8,9.25,20,4
BearMtn,BM24,cade,live,43.06666667,19.13333333,30,4
BearMtn,BM24,pipo,dead,35.2,1.6,10,4
BearMtn,BM24,pipo,live,40.9,18.5,20,4
BearMtn,BM25,pipo,dead,39.1,18,10,4
BearMtn,BM25,pipo,live,41.8,27,10,4
BearMtn,BM25,quke,dead,58.2,13,20,5
BearMtn,BM26,cade,dead,53.43333333,28.96666667,30,5
BearMtn,BM26,pipo,dead,66.375,17.475,40,5
BearMtn,BM26,psme,dead,44,21,10,4
BearMtn,BM26,quke,dead,16.75,6.533333333,60,3
BearMtn,BM27,cade,dead,58.175,16.225,40,5
BearMtn,BM27,pipo,dead,23.3,1.8,10,3
BearMtn,BM27,psme,dead,36.6,9.9,20,4
BearMtn,BM27,quke,dead,45.7,3.5,10,5
BearMtn,BM3,cade,live,21.95,10.5,20,3
BearMtn,BM3,psme,live,55.1,28,10,5
BearMtn,BM4,cade,dead,15.08,4.9,50,3
BearMtn,BM4,cade,live,27.84545455,10.77272727,110,4
BearMtn,BM4,pipo,live,34.7,16.66666667,30,4
BearMtn,BM5,cade,dead,15.55,6.35,40,3
BearMtn,BM5,cade,live,20.4,10.3,20,3
BearMtn,BM6,cade,dead,18.7,6,10,3
BearMtn,BM6,cade,live,67.6,19.5,20,5
BearMtn,BM7,cade,live,65.8,21.5,20,5
BearMtn,BM7,pipo,dead,7.8,1.4,10,2
BearMtn,BM7,pipo,live,52.45,27.05,20,5
BearMtn,BM8,cade,dead,8,4,10,2
BearMtn,BM8,cade,live,29.3,9.483333333,60,4
BearMtn,BM8,pipo,dead,65.125,24.675,40,5
BearMtn,BM8,pipo,live,26.36666667,11,30,4
BearMtn,BM8,quke,dead,60.5,3.7,10,5
FrenchMeadows,fm10-1,abco,dead,51.14,12.96,50,5
FrenchMeadows,fm10-1,abco,live,19.54,8.75,100,3
FrenchMeadows,fm10-1,abma,live,77.2,45.9,20,6
FrenchMeadows,fm10-1,cade,live,31.05,12.325,40,4
FrenchMeadows,fm10-1,pila,live,82.73333333,38.6,30,6
FrenchMeadows,fm10-10,abco,dead,15.3,2.05,20,3
FrenchMeadows,fm10-10,abco,live,20.7,10.20454545,220,3
FrenchMeadows,fm10-10,abma,dead,9.8,4,10,2
FrenchMeadows,fm10-10,cade,live,26.675,10.625,80,4
FrenchMeadows,fm10-10,pila,live,86.5,34,10,6
FrenchMeadows,fm10-11,abco,dead,50.46666667,16.33333333,30,5
FrenchMeadows,fm10-11,abco,live,16.26,8.68,200,3
FrenchMeadows,fm10-11,cade,live,124,34,10,6
FrenchMeadows,fm10-12,abco,dead,12,7,10,3
FrenchMeadows,fm10-12,abco,live,29.85714286,16.11904762,210,4
FrenchMeadows,fm10-12,abma,dead,50.6,15.2,10,5
FrenchMeadows,fm10-12,cade,live,79.95,27.5,20,6
FrenchMeadows,fm10-12,pila,live,104.8,40,10,6
FrenchMeadows,fm10-13,cade,live,9.456666667,4.333333333,30,2
FrenchMeadows,fm10-13,pipo,live,35.1,13.67142857,70,4
FrenchMeadows,fm10-14,abco,live,23.18571429,15.10714286,140,3
FrenchMeadows,fm10-14,abma,dead,15.275,10.625,40,3
FrenchMeadows,fm10-14,abma,live,22.98666667,15.76666667,150,3
