plot_id,species_id,mean_dbh,mean_ht,mean_ht2crwn,total_trees,total_trees_acre
bliss1,abco,28.5,13.3363636363636,5.19772727272727,22,220
bliss10,abco,36.9,17.1470588235294,8.5,17,170
bliss10,abma,53,20.8,13,1,10
bliss10,pila,135.5,33,21,1,10
bliss11,abco,41.6363636363636,18.2090909090909,7.99090909090909,11,110
bliss11,pije,32.25,17.075,10.925,4,40
bliss11,pila,31.1,15.4,6.8,1,10
bliss12,abco,15.4,4.7,1,1,10
bliss12,pije,42.65,18,7.8,1,10
bliss12,pila,83.8166666666667,27.6333333333333,6.03333333333333,3,30
bliss13,abco,41.1625,13.5,4.4,8,80
bliss13,cade,28.6,9.5,2,1,10
bliss13,pila,57.4,18.25,6.75,2,20
bliss14,abco,48.56,18.8,7.3,5,50
bliss14,pije,43.8,21,8,1,10
bliss14,pila,39.9,16.6666666666667,8.66666666666667,3,30
bliss15,abco,33.1857142857143,15.7142857142857,4.32857142857143,7,70
bliss15,pije,64.8,24.95,10.4,2,20
bliss15,pila,34.38,12.34,3.11,5,50
bliss2,abco,41.54,16.24,7.7,5,50
bliss2,cade,22.75,7.33333333333333,3.23333333333333,3,30
bliss2,pila,38.65,13,6.5,2,20
bliss3,abco,31.2142857142857,12.7357142857143,5.59285714285714,14,140
bliss3,pije,58,21,8.3,1,10
bliss4,abco,33.3,15,6,1,10
bliss4,cade,45.1,11.5,4.5,1,10
bliss4,pila,34.1,12.8,4.75,2,20
bliss5,abco,56.7,21,9,1,10
bliss5,pije,44.3,19.6,9.5,2,20
bliss5,pila,52.72,20.96,8.96,5,50
bliss6,abco,47.725,18.5,5.5,2,20
bliss6,abma,14.3,5,2,1,10
bliss6,pije,54.75,25.5,12,1,10
bliss6,pila,43.6833333333333,15,4.66666666666667,3,30
bliss7,abco,37.6777777777778,17.7777777777778,11.0555555555556,9,90
bliss7,pije,31.49375,16.09375,10.96875,16,160
bliss7,pila,29.2333333333333,12.8333333333333,8.5,6,60
bliss8,abco,43.64,16.66,9.9,5,50
bliss8,pije,32.4,17,11,1,10
bliss9,abco,35.1666666666667,12.3666666666667,3.41666666666667,3,30
bliss9,pila,32.3,11.5,3.25,2,20
burton1,abco,49.1,20.3,4.4,8,80
burton1,abma,75.9,28,12,1,10
burton10,abco,31.525,12.75,5.94166666666667,12,120
burton10,pije,42.6,22,13,1,10
burton11,abco,61.35,26.05,8.25,4,40
burton11,abma,61.6,25,16.8,2,20
burton12,abco,22.8333333333333,10.9166666666667,3.2,6,60
burton12,cade,13.35,5.15,1.675,8,80
burton12,pije,46,16.5,6.65,2,20
burton13,abco,25.65,12.4625,4.80416666666667,24,240
burton13,pije,40.15,20.5,9.5,2,20
burton13,pila,38.5,14,8,1,10
burton14,abco,35.6545454545455,13.8363636363636,5.8,11,110
burton14,abma,35.8,9.5,2.75,2,20
burton14,pije,70.2,28,14,1,10
burton14,pila,35.5333333333333,14.1666666666667,4.33333333333333,3,30
burton15,abco,50.4,21.3333333333333,15.1,3,30
burton15,abma,46.6,21.8,9.9,5,50
burton15,pije,73.75,30.5,18,2,20
burton15,pila,73,25,14,1,10
burton16,abco,71.4666666666667,26.3333333333333,7,3,30
burton16,abma,34.3,12,4,1,10
burton16,pije,35.2,21,8,1,10
burton17,abco,54.0285714285714,20.9714285714286,6.95714285714286,7,70
burton18,abco,29.2391304347826,14.0130434782609,4.22608695652174,23,230
burton18,pije,62.725,25.225,12.5,4,40
burton19,abco,15.0380952380952,6.90476190476191,2.34761904761905,42,420
burton19,abma,8.3,3.5,1,1,10
burton19,cade,8,3,1.5,1,10
burton19,pije,82.6,26,10,1,10
burton2,abco,49.3,20.375,5.0375,8,80
burton2,abma,38.4333333333333,18.6666666666667,6.5,3,30
burton20,abco,52.2222222222222,24.5,9.66666666666667,9,90
burton20,cade,10,3,1.5,1,10
burton21,abco,22.8236842105263,11.6421052631579,6.09078947368421,38,380
burton21,pije,50.68,19.68,10,5,50
burton22,abco,29.195,12.83,5.725,20,200
burton22,pije,28.1375,12.6875,6.9375,8,80
burton23,abco,42.18,14.9,4.98,10,100
burton23,cade,13.15,3.875,1.675,4,40
burton23,pico,48.2,20,10,1,10
burton23,pije,34.6,15,7.5,2,20
burton24,abco,8.2,3,2.2,1,10
burton24,cade,9.90163934426229,4.01803278688525,2.04180327868852,61,610
burton24,pije,39.5076923076923,16.5692307692308,8.92307692307692,13,130
burton3,abco,28.95,14.3210526315789,5.62894736842105,19,190
burton3,abma,34.353125,16.525,6.625,16,160
burton3,pico,16.7,16,14,1,10
burton4,abco,18.5767441860465,9.79767441860465,3.44186046511628,43,430
burton4,cade,11.5,4,1.5,1,10
burton4,pije,43.3,15.7,6.125,4,40
burton5,abco,21.6159090909091,11.0590909090909,2.55,22,220
burton5,abma,14.6,9,2.5,1,10
burton5,pico,41.8,17,4,1,10
burton5,pije,49.49,21,7.78,5,50
burton6,abco,27.275,13.940625,5.509375,32,320
burton6,abma,27.72,13.65,7.22,10,100
burton6,adco,23.7,12,5,1,10
burton7,abco,38.0333333333333,14.0111111111111,3.93333333333333,9,90
burton7,abma,37.975,15.25,6.75,4,40
burton7,pije,99,22,12,1,10
burton8,abco,58.72,26.22,12.18,5,50
burton8,abma,88.5,31,15,1,10
burton9,abco,28.3142857142857,12.9857142857143,4.81428571428571,7,70
burton9,abma,71.6,29.4,15,1,10
