Site,Date,plot_id,Azimuth,Slope %,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
lakesdistrict,2019,burton1,N,0,2,2,4,11.3,32,5,1,3,1,6,0.05,
lakesdistrict,2019,burton1,S,0,2,2,4,11.3,19,4,6,3,0.05,4,1,
lakesdistrict,2019,burton1,E,0,2,2,4,11.3,7,4,3,1,1,0,2,
lakesdistrict,2019,burton1,W,0,2,2,4,11.3,1,4,0,1,3,2,10,
lakesdistrict,2019,burton2,N,0,2,2,4,11.3,11,3,3,1,0.05,2,0.05,
lakesdistrict,2019,burton2,S,0,2,2,4,11.3,16,9,3,6,2,2,2,
lakesdistrict,2019,burton2,E,0,2,2,4,11.3,35,15,1,1,0.05,6,0,
lakesdistrict,2019,burton2,W,0,2,2,4,11.3,21,12,4,2,0,6,1,
lakesdistrict,2019,burton3,N,27,2,2,4,11.3,49,37,8,1,3,5,4,
lakesdistrict,2019,burton3,S,20,2,2,4,11.3,7,0,0,0,0.05,1,3,
lakesdistrict,2019,burton3,E,0,2,2,4,11.3,13,7,5,7,6,5,6,
lakesdistrict,2019,burton3,W,22,2,2,4,11.3,38,19,0,8,2,3,4,
lakesdistrict,2019,burton4,N,0,2,2,4,11.3,31,5,0,0,1,0,1.5,
lakesdistrict,2019,burton4,S,0,2,2,4,11.3,13,4,0,2,1,0,1,
lakesdistrict,2019,burton4,E,0,2,2,4,11.3,4,0,1,5,2,6,6,
lakesdistrict,2019,burton4,W,0,2,2,4,11.3,67,8,0,2,0.05,5,3,
lakesdistrict,2019,burton5,N,0,2,2,4,11.3,5,1,0,4,2,2,2,
lakesdistrict,2019,burton5,S,0,2,2,4,11.3,8,7,3,6,3,7,2,
lakesdistrict,2019,burton5,E,0,2,2,4,11.3,21,3,0,2,0.05,2.5,0.05,
lakesdistrict,2019,burton5,W,0,2,2,4,11.3,35,22,0,2,0.05,1,0.05,
lakesdistrict,2019,burton6,N,0,2,2,4,11.3,52,13,1,3,1,2,2,
lakesdistrict,2019,burton6,S,0,2,2,4,11.3,16,4,4,1,1,2,1,
lakesdistrict,2019,burton6,E,0,2,2,4,11.3,56,5,1,5,1,0,1,
lakesdistrict,2019,burton6,W,0,2,2,4,11.3,37,13,2,3,1,4,2,
lakesdistrict,2019,burton7,N,0,2,2,4,11.3,16,7,3,0,1,0,1,
lakesdistrict,2019,burton7,S,0,2,2,4,11.3,47,11,3,2,1,0,1,
lakesdistrict,2019,burton7,E,0,2,2,4,11.3,21,6,14,5,0.5,2.5,0.5,
lakesdistrict,2019,burton7,W,0,2,2,4,11.3,3,1,3,1,0.5,1,1,
lakesdistrict,2019,burton8,N,0,2,2,4,11.3,11,3,0,6,3,2,1,
lakesdistrict,2019,burton8,S,0,2,2,4,11.3,6,2,0,0.05,1,1,1,
