site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crownlive,ht_to_crowndead,crown_class,crown_width,deacy,bolechar,stump_diam,stump_ht,scorch_ht,scorch,torch_ht,torch,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTES
,,,,,,cm,m,m,m,,m,,m,cm,m,m,%,m,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,423,live,abco,24.1,10,1,0.2,IN,1.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,5,,6.9,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,dead,abco,8.3,1.75,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,424,live,abco,48,24,1,1.4,CO,2.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,425,live,abco,40.2,18,2,0.3,OV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,3,,6.4,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,1,,37,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,1,,14,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,1,,30,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,4,,28,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,4,,57,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,1,,21,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,,,,,,,4,,17,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,426,live,abco,57,22,5,1.2,CO,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,427,live,abco,62.7,23,2,1.1,CO,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,428,live,abco,29.2,14,4,1.2,IN,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco,19,,,,,,1,,19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,429,live,abma,75.9,28,12,8,CO,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,430,live,abco,54.4,25,9.2,2.4,CO,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,,stump,abco ,,,,,,,1,,16,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton1,431,live,abco,77.2,26.4,11,1.8,CO,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lakesdistrict,2019,burton2,756,dead,abma,49.8,5.2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
