plot_id,species_id,mean_dbh,mean_ht,mean_ht2crwn,total_trees,total_trees_acre
BM1,cade,38.425,14.125,5.2,4,40
BM1,pipo,39.25,17.25,5,2,20
BM10,cade,34.4666666666667,13.9333333333333,8.66666666666667,3,30
BM10,pipo,56.65,32.25,14,4,40
BM11,cade,22.35,7.5,5.25,2,20
BM11,pipo,19.3,5,3,1,10
BM12,pila,100.3,40,24,1,10
BM12,pipo,82.7,35,15,1,10
BM13,cade,27.2,9.66666666666667,6.33333333333333,3,30
BM13,pipo,41.1,19,9,1,10
BM14,cade,31.6,10.5,4.5,2,20
BM14,pipo,20.7,6,1.5,1,10
BM15,pipo,36.9666666666667,19.7666666666667,8.66666666666667,3,30
BM15,quke,20.6,7.05,1.5,2,20
BM16,cade,46.35,15.5,7,2,20
BM16,pije,46.6,24.3333333333333,9.66666666666667,3,30
BM16,pipo,45.7,26,7.5,2,20
BM18,cade,47.85,17.3333333333333,8.16666666666667,6,60
BM18,pipo,13.5,7,3.75,4,40
BM18,quke,31.7,23,2.5,1,10
BM19,cade,117.7,27,5.5,1,10
BM19,pipo,40.1,19,7,1,10
BM2,cade,39.6,14.5,6.5,2,20
BM2,pipo,46.4,24,9,3,30
BM20,cade,147,33,12,1,10
BM20,pipo,44.6,20.5,7.5,2,20
BM21,cade,28.225,10.25,4.05,4,40
BM22,pipo,60.6666666666667,16.6666666666667,7,3,30
BM22,quch,55.7,9,6,1,10
BM24,cade,43.0666666666667,19.1333333333333,12.1666666666667,3,30
BM24,pipo,40.9,18.5,8.5,2,20
BM25,pipo,41.8,27,11,1,10
BM3,cade,21.95,10.5,7.25,2,20
BM3,psme,55.1,28,14,1,10
BM4,cade,27.8454545454545,10.7727272727273,5.22727272727273,11,110
BM4,pipo,34.7,16.6666666666667,7,3,30
BM5,cade,20.4,10.3,7.25,2,20
BM6,cade,67.6,19.5,8,2,20
BM7,cade,65.8,21.5,8.25,2,20
BM7,pipo,52.45,27.05,9.5,2,20
BM8,cade,29.3,9.48333333333333,3.73333333333333,6,60
BM8,pipo,26.3666666666667,11,2.5,3,30
