plot_id,litter_duff,depth_cm
BM1,mean_litter,1.875
BM1,mean_duff,0.1625
BM10,mean_litter,1.8125
BM10,mean_duff,0.3875
BM11,mean_litter,1.70625
BM11,mean_duff,0.25625
BM12,mean_litter,2.125
BM12,mean_duff,0.81875
BM13,mean_litter,2.875
BM13,mean_duff,0.3875
BM14,mean_litter,0.4625
BM14,mean_duff,0.275
BM15,mean_litter,
BM15,mean_duff,0.38125
BM16,mean_litter,4
BM16,mean_duff,0.38125
BM17,mean_litter,1.69375
BM17,mean_duff,1.08125
BM18,mean_litter,2.3125
BM18,mean_duff,0.45
BM19,mean_litter,2
BM19,mean_duff,1.0125
BM2,mean_litter,3.4375
BM2,mean_duff,0.4375
BM20,mean_litter,1.88125
BM20,mean_duff,1.01875
BM21,mean_litter,1.8875
BM21,mean_duff,0.75625
BM22,mean_litter,3.25625
BM22,mean_duff,1.1375
BM23,mean_litter,3.1875
BM23,mean_duff,2.26875
BM24,mean_litter,4.075
BM24,mean_duff,0.01875
BM25,mean_litter,3.125
BM25,mean_duff,0.50625
BM26,mean_litter,2.5
BM26,mean_duff,0.64375
BM27,mean_litter,2.25
BM27,mean_duff,0.1375
BM3,mean_litter,6.5625
BM3,mean_duff,2.0625
BM4,mean_litter,
BM4,mean_duff,2.25625
BM5,mean_litter,
BM5,mean_duff,
BM6,mean_litter,2.13125
BM6,mean_duff,0.7625
BM7,mean_litter,4.5
BM7,mean_duff,1.51875
BM8,mean_litter,3.075
BM8,mean_duff,0.33125
BM9,mean_litter,1.88125
BM9,mean_duff,0.525
