Site,year,plot_id,tag,status,species_id,dbh,height,ht_to_crown,crown_class,crown_width,stump_diam,stump_ht,decay,scorch_ht,scorch,torch_ht,torch,bolechar_ht,resprout,note,Notes,
,,,,,,cm,m,m,,m,cm,m,,m,%,m,%,m,,,,
bearmtn,2019,BM 1,975,live,pipo,37.5,14,3,1.9,IN,3.9,,,2,,,,,0.5,,,
bearmtn,2019,BM 1,,live,cade,40.6,14,4,2,IN,2.25,,,2,,,,,1.75,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,23,0.32,2,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,24,0.1,,,,,,,,,
bearmtn,2019,BM 1,,live,cade,39.5,10,5,none,IN,2.1,,,1,,,,,1.3,,,
bearmtn,2019,BM 1,,dead,cade,12.9,5,,3,,1.4,,,1,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,18,0.18,2,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,13,0.7,2,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,42,0.24,2,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,22,0.8,2,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,15,0.4,3,,,,,,,,
bearmtn,2019,BM 1,,live,cade,39.1,16.3,5.9,4,CO,5,,,2,,,,,1.7,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,22,0.13,3,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,14,0.1,3,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,60,0.65,3,,,,,,,,
bearmtn,2019,BM 1,,stump,pipo,,,,,,,10,0.8,3,,,,,,,,
bearmtn,2019,BM 1,,live,cade,34.5,16.2,5.9,2,CO,2.9,,,2,,,,,1.2,,,
bearmtn,2019,BM 1,,stump,pipo,,,,,,,15,0.1,2,,,,,,,,
bearmtn,2019,BM 1,,dead,cade,8.2,3.1,,,,,,,2,,,,,0.2,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,28,0.21,2,,,,,,,,
bearmtn,2019,BM 1,,live,pipo,41,20.5,7,1.5,CO,4.5,,,1,,,,,0.5,,possible hybrid,
bearmtn,2019,BM 1,,dead,cade,58.1,6.7,,,,,,,4,,,,,,,,
bearmtn,2019,BM 1,,stump,cade,,,,,,,8,0.13,3,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,45,0.32,2,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,10,0.52,2,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,15,0.49,2,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,25,0.18,2,,,,,,,,
bearmtn,2019,BM2,976,live,pipo,67.5,28,9,8.7,CO,3.5,,,2,,,,,7.7,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,13,0.29,2,,,,,,,,
bearmtn,2019,BM2,,dead,quke,24,3,,,,,,,3,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,50,0.17,3,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,14,0.32,3,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,30,0.32,4,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,48,0.36,4,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,15,0.3,3,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,43,0.37,4,,,,,,,,
bearmtn,2019,BM2,,live,pipo,44.2,29,13,8,CO,3,,,1,,,,,3,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,44,0.6,5,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,17,0.2,3,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,12,0.44,3,,,,,,,,
bearmtn,2019,BM2,,dead,pipo,83.2,2.2,,,,,,,3,,,,,2.2,,,
bearmtn,2019,BM2,,stump,unk,,,,,,,12.5,0.25,2,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,35,0.35,4,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,19,0.24,2,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,27,0.42,2,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,13,0.2,3,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,25,0.39,4,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,100,0.85,3,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,57,0.43,1,,,,,,,,
bearmtn,2019,BM2,,stump,pipo,,,,,,,14,0.27,2,,,,,,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,82,0.83,2,,,,,,,,
bearmtn,2019,BM2,,live,cade,59.3,22,10,3,CO,4.5,,,2,,,,,2.5,,,
bearmtn,2019,BM2,,stump,cade,,,,,,,30,0.43,2,,,,,,,,
bearmtn,2019,BM2,,live,cade,19.9,7,3,0.35,IN,2,,,2,,,,,2.5,,,
bearmtn,2019,BM2,,live,pipo,27.5,15,5,0.9,IN,3,,,,2,1,4.8,20,1.7,,,
bearmtn,2019,BM3,,stump,pipo,,,,,,,14,0.31,2,,,,,,,,
bearmtn,2019,BM3,977,live,cade,24.8,12,7,1.1,IN,1.5,,,1,,,,,2.5,,,
bearmtn,2019,BM3,,stump,pipo,,,,,,,26,0.19,3,,,,,,,,
bearmtn,2019,BM3,,live,psme,55.1,28,14,2.5,CO,3.5,,,1,,,,,6,,,
bearmtn,2019,BM3,,stump,cade,,,,,,,8,0.24,2,,,,,,,,
bearmtn,2019,BM3,,stump,pipo,,,,,,,12,0.21,2,,,,,,,,
bearmtn,2019,BM3,,stump,pipo,,,,,,,33,0.34,2,,,,,,,,
bearmtn,2019,BM3,,stump,cade,,,,,,,11,0.35,2,,,,,,,,
bearmtn,2019,BM3,,live,cade,19.1,9,7.5,1.3,IN,0.5,,,2,,,,,2,,,
bearmtn,2019,BM3,,stump,cade,,,,,,,137,1,3,,,,,,,,
bearmtn,2019,BM3,,stump,pipo,,,,,,,22.5,0.49,2,,,,,,,,
bearmtn,2019,BM4,978,live,pipo,28.9,15,5,1.7,IN,2,,,2,2.5,5,,,1,,,
bearmtn,2019,BM4,,live,cade,21.7,8,5,1.7,IN,1,,,2,,,,,3,,,
bearmtn,2019,BM4,,live,cade,13.1,6,4.5,1,IN,0.5,,,2,,,,,2,,,
bearmtn,2019,BM4,,live,cade,19.2,5.5,4.5,1,IN,1.5,,,2,,,,,2,,,
bearmtn,2019,BM4,,dead,cade,19.2,5,,0.1,,,,,2,,,,,2,,,
bearmtn,2019,BM4,,live,cade,26.8,9,5,1.8,IN,1.5,,,2,,,,,3.5,,,
bearmtn,2019,BM4,,stump,pipo,,,,,,,29,0.25,2,,,,,,,,
bearmtn,2019,BM4,,stump,pipo,,,,,,,23,0.24,2,,,,,,,,
bearmtn,2019,BM4,,stump,pipo,,,,,,,17,0.45,2,,,,,,,,
bearmtn,2019,BM4,,live,cade,20.5,9,5,1.6,IN,1,,,2,,,,,2.5,,,
bearmtn,2019,BM4,,live,cade,27.7,10,4,1.3,IN,2,,,2,,,,,4,,,
bearmtn,2019,BM4,,live,cade,36.1,15,6,3,IN,2,,,2,,,,,6,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,24,0.33,2,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,8.5,0.22,2,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,21,0.35,2,,,,,,,,
bearmtn,2019,BM4,,stump,UKN,,,,,,,10.5,0.26,3,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,19,0.2,2,,,,,,,,
bearmtn,2019,BM4,,live,pipo,8.5,4,3,0.4,OV,1,,,2,,,,,0.5,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,17,0.28,2,,,,,,,,
bearmtn,2019,BM4,,live,cade,40.6,17,5.5,0.5,IN,2,,,2,,,,,4,,,
bearmtn,2019,BM4,,dead,cade,8,3.5,,2,,,,,2,,,,,0.6,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,16,0.17,2,,,,,,,,
bearmtn,2019,BM4,,live,cade,36.9,18,7,1.5,IN,2.5,,,2,,,,,5,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,19,0.34,2,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,16,0.25,2,,,,,,,,
bearmtn,2019,BM4,,live,cade,28.1,9,5,1.3,IN,2,,,2,,,,,4.5,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,25,0.24,2,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,19,0.33,2,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,14,0.24,2,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,32,0.32,2,,,,,,,,
bearmtn,2019,BM4,,dead,cade,20.2,7,,0.2,,,,,1,,,,,2,,,
bearmtn,2019,BM4,,dead,cade,8.3,3,,0.3,,,,,1,,,,,1.2,,,
bearmtn,2019,BM4,,dead,cade,19.7,6,,0.4,,,,,1,,,,,2,,,
bearmtn,2019,BM4,,live,pipo,66.7,31,13,,CO,3,,,2,,,,,3.5,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,13.4,0.48,3,,,,,,,,
bearmtn,2019,BM4,,stump,cade,,,,,,,45.5,1.1,2,,,,,,,,
bearmtn,2019,BM4,,live,cade,35.6,12,6,2.1,IN,2,,,2,,,,,3,,,
bearmtn,2019,BM5,,dead,cade,20.4,8,,4,,,,,2,,,,,4.5,,,
bearmtn,2019,BM5,,dead,cade,9,4,,2.4,,,,,2,,,,,2.3,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,13,0.18,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,19,0.25,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,14,0.18,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,14,0.15,3,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,67,1,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,24,0.15,4,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,63,1.2,2,,,,,,,,
bearmtn,2019,BM5,,stump,pipo,,,,,,,13,0.23,4,,,,,,,,
bearmtn,2019,BM5,,dead,cade,25,10.9,,4,,,,,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,11,0.37,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,8,0.27,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,19,0.23,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,15,0.3,2,,,,,,,,
bearmtn,2019,BM5,979,live,cade,16.7,8.6,6.5,2.5,IN,0.5,,,2,,,,,6,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,12,0.35,3,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,10,0.31,3,,,,,,,,
bearmtn,2019,BM5,,dead,cade,7.8,2.5,,0.1,,,,,2,,,,,0.3,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,17,0.24,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,78,1,2,,,,,,,,
bearmtn,2019,BM5,,stump,pipo,,,,,,,32,0.38,3,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,15,0.28,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,20,0.14,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,15,0.13,2,,,,,,,,
bearmtn,2019,BM5,,live,cade,24.1,12,8,7,IN,1.5,,,2,,,,,4,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,19,0.36,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,13,0.34,2,,,,,,,,
bearmtn,2019,BM5,,stump,pipo,,,,,,,28,0.22,3,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,9.2,0.24,3,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,28,0.4,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,20,0.19,2,,,,,,,,
bearmtn,2019,BM5,,stump,cade,,,,,,,24,0.35,2,,,,,,,,
bearmtn,2019,BM6,980,live,cade,45.8,16,8,4,IN,2,,,2,,,,,8,,,
bearmtn,2019,BM6,,live,cade,89.4,23,8,3.5,CO,7,,,2,,,,,8,,,
bearmtn,2019,BM6,,dead,cade,18.7,6,,0.6,,,,,1,,,,,3,,,
bearmtn,2019,BM6,,stump,pipo,,,,,,,25,0.9,1,,,,,,,,
