site,year,Plot ID,species_id,status,BAF,count,stand_BA
,,,,,,,ft2/ac
bearmtn,2019,BM1,pipo,live,20,3,60
bearmtn,2019,BM1,cade,live,20,2,40
bearmtn,2019,BM1,cade,dead,20,1,20
bearmtn,2019,BM2,pipo,live,10,4,40
bearmtn,2019,BM2,pipo,dead,10,2,20
bearmtn,2019,BM2,cade,live,10,2,20
bearmtn,2019,BM3,pipo,live,10,4,40
bearmtn,2019,BM3,psme,live,10,2,20
bearmtn,2019,BM4,cade,live,10,5,50
bearmtn,2019,BM4,pipo,live,10,10,100
bearmtn,2019,BM4,cade,dead,10,,0
bearmtn,2019,BM5,pipo,live,10,2,20
bearmtn,2019,BM5,quke,live,10,1,10
bearmtn,2019,BM5,cade,dead,10,2,20
bearmtn,2019,BM5,cade,live,10,1,10
bearmtn,2019,BM6,pipo,live,10,4,40
bearmtn,2019,BM6,cade,live,10,3,30
bearmtn,2019,BM7,cade,live,10,2,20
bearmtn,2019,BM7,pipo,live,10,4,40
bearmtn,2019,BM7,cade,dead,10,1,10
bearmtn,2019,BM7,quke,dead,10,1,10
bearmtn,2019,BM8,cade,live,10,5,50
bearmtn,2019,BM8,pipo,live,10,3,30
bearmtn,2019,BM9,pipo,live,10,6,60
bearmtn,2019,BM9,cade,live,10,1,10
bearmtn,2019,BM9,quke,dead,10,1,10
bearmtn,2019,BM10,pipo,live,20,6,120
bearmtn,2019,BM10,pipo,dead,20,1,20
bearmtn,2019,BM10,cade,live,20,3,60
bearmtn,2019,BM11,cade,live,5,3,15
bearmtn,2019,BM11,cade,dead,5,1,5
bearmtn,2019,BM11,pipo,live,5,1,5
bearmtn,2019,BM11,quke,dead,5,3,15
bearmtn,2019,BM12,cade,live,10,1,10
bearmtn,2019,BM12,cade,dead,10,2,20
bearmtn,2019,BM12,pipo,live,10,4,40
bearmtn,2019,BM12,pila,live,10,1,10
bearmtn,2019,BM12,abco,live,10,1,10
bearmtn,2019,BM12,abco,dead,10,2,20
bearmtn,2019,BM13,pipo,live,10,4,40
bearmtn,2019,BM13,pipo,dead,10,1,10
bearmtn,2019,BM13,cade,live,10,3,30
bearmtn,2019,BM13,quke,dead,10,1,10
bearmtn,2019,BM14,quke,dead,10,1,10
bearmtn,2019,BM14,cade,live,10,3,30
bearmtn,2019,BM14,cade,dead,10,4,40
bearmtn,2019,BM14,pipo,live,10,1,10
bearmtn,2019,BM15,cade,dead,10,3,30
bearmtn,2019,BM15,pipo,live,10,2,20
bearmtn,2019,BM15,quke,dead,10,2,20
bearmtn,2019,BM16,pipo,live,20,6,120
bearmtn,2019,BM16,cade,live,20,1,20
bearmtn,2019,BM17,pipo,live,5,1,5
bearmtn,2019,BM17,cade,dead,5,2,10
bearmtn,2019,BM17,quke,dead,5,2,10
bearmtn,2019,BM17,pipo,dead,5,1,5
bearmtn,2019,BM18,cade,live,20,5,100
bearmtn,2019,BM18,cade,dead,20,1,20
bearmtn,2019,BM18,pipo,dead,20,2,40
bearmtn,2019,BM19,quke,live,10,1,10
bearmtn,2019,BM19,pipo,live,10,4,40
bearmtn,2019,BM19,pipo,dead,10,4,40
bearmtn,2019,BM19,cade,live,10,1,10
bearmtn,2019,BM19,cade,live,20,2,40
bearmtn,2019,BM19,pipo,live,20,4,80
bearmtn,2019,BM21,cade,live,10,1,10
bearmtn,2019,BM21,pipo,live,10,1,10
bearmtn,2019,BM21,quke,live,10,2,20
bearmtn,2019,BM21,abco,live,10,2,20
bearmtn,2019,BM22,pipo,dead,10,2,20
bearmtn,2019,BM22,pipo,live,10,3,30
bearmtn,2019,BM22,quch,dead,10,2,20
bearmtn,2019,BM22,quch,live,10,1,10
bearmtn,2019,BM23,quke,dead,5,1,5
bearmtn,2019,BM24,quke,dead,20,2,40
bearmtn,2019,BM24,cade,live,20,2,40
bearmtn,2019,BM24,pipo,live,20,2,40
bearmtn,2019,BM24,pilo,dead,20,1,20
bearmtn,2019,BM25,quke,dead,10,3,30
bearmtn,2019,BM25,pipo,dead,10,2,20
bearmtn,2019,BM25,pipo,live,10,1,10
bearmtn,2019,BM25,psme,live,10,2,20
bearmtn,2019,BM25,psme,dead,10,1,10
bearmtn,2019,BM25,pipo,dead,10,4,40
bearmtn,2019,BM25,cade,dead,10,3,30
bearmtn,2019,BM25,psme,dead,10,1,10
bearmtn,2019,BM27,cade,dead,10,6,60
bearmtn,2019,BM27,psme,dead,10,2,20
bearmtn,2019,BM27,quke,dead,10,1,10
