site,year,Plot ID,azimuth,slope,x1h_length,x10h_length,x100h_length,x1000h_length,1hr,10hr,100hr,duff1,litter1,duff2,litter2,notes
,,,,%,m,m,m,m,count,count,count,cm,cm,cm,cm,
bearmtn,2019,BM1,N,,2,2,4,11.3,0,3,0,0.5,3,tr,2,
bearmtn,2020,BM1,S,,2,2,4,11.3,0,0,2,tr,0,tr,2,
bearmtn,2021,BM1,E,,2,2,4,11.3,3,3,0,tr,2,0.5,2,
bearmtn,2022,BM1,W,,2,2,4,11.3,3,0,0,tr,2,tr,2,
bearmtn,2023,BM2,N,,2,2,4,11.3,8,1,1,2,1,0,2,
bearmtn,2024,BM2,S,,2,2,4,11.3,3,1,0,0,2,1.5,0.5,inverted
bearmtn,2025,BM2,E,21,2,2,4,11.3,0,0,0,0,14,0,5,
bearmtn,2026,BM2,W,21,2,2,4,11.3,7,0,0,0,2,0,1,
bearmtn,2027,BM3,N,,2,2,4,11.3,2,1,3,1,4,1,1,
bearmtn,2028,BM3,S,,2,2,4,11.3,2,2,6,1,3.5,2,4,
bearmtn,2029,BM3,E,,2,2,4,11.3,1,1,7,0,0.5,0.5,1,
bearmtn,2030,BM3,W,,2,2,4,11.3,5,1,1,4,1.5,7,37,
bearmtn,2031,BM4,N,,2,2,4,11.3,8,0,0,2,3,2,4,
bearmtn,2032,BM4,S,,2,2,4,11.3,7,0,0,0,3,tr,8,
bearmtn,2033,BM4,E,,2,2,4,11.3,5,0,0,2,1,3,1,
bearmtn,2034,BM4,W,,2,2,4,11.3,2,3,0,6,2,3,,
bearmtn,2035,BM5,N,,2,2,4,11.3,1,0,1,0,0.5,2,1.5,
bearmtn,2036,BM5,S,,2,2,4,11.3,1,0,0,,,,,
bearmtn,2037,BM5,E,,2,2,4,11.3,11,5,0,0,3,0,5,
bearmtn,2038,BM5,W,,2,2,4,11.3,15,1,5,0,1,5,12,
bearmtn,2039,BM6,N,,2,2,4,11.3,2,1,4,1,2,1,1.5,
bearmtn,2040,BM6,S,,2,2,4,11.3,3,1,0,0,tr,tr,0.5,
bearmtn,2041,BM6,E,21,2,2,4,11.3,3,2,0,2,5,TR,1,
bearmtn,2042,BM6,W,,2,2,4,11.3,5,12,5,1,3,1,4,
bearmtn,2043,BM7,N,,2,2,4,11.3,0,0,1,2,1,0,3,
bearmtn,2044,BM7,S,,2,2,4,11.3,0,4,4,7,11,tr,4,
bearmtn,2045,BM7,E,,2,2,4,11.3,2,7,3,1,4,tr,6,
bearmtn,2046,BM7,W,,2,2,4,11.3,1,0,2,tr,3,2,4,
bearmtn,2047,BM8,N,,2,2,4,11.3,1,0,0,tr,3,0.5,1.5,
bearmtn,2048,BM8,S,,2,2,4,11.3,4,0,0,tr,tr,tr,tr,
bearmtn,2049,BM8,E,,2,2,4,11.3,9,7,0,0,6,2,1,
bearmtn,2050,BM8,W,,2,2,4,11.3,10,2,1,0,2,0,11,
bearmtn,2051,BM9,N,,2,2,4,11.3,5,1,2,tr,2,tr,3,
bearmtn,2052,BM9,S,,2,2,4,11.3,0,5,0,tr,3,3,4,
bearmtn,2053,BM9,E,,2,2,4,11.3,0,2,5,0.5,0.5,0.5,1.5,
bearmtn,2054,BM9,W,,2,2,4,11.3,0,1,0,0,1,tr,tr,
bearmtn,2055,BM10,N,,2,2,4,11.3,0,1,0,tr,2,tr,2.5,
bearmtn,2056,BM10,S,,2,2,4,11.3,0,0,0,2,3,0,1,big cluster of 10 and 100hr fuels 4.5m from edge of transect
bearmtn,2057,BM10,E,,2,2,4,11.3,0,1,1,0,1,1,0,
bearmtn,2058,BM10,W,,2,2,4,11.3,2,0,0,0,2,0,3,
bearmtn,2059,BM11,N,,2,2,4,11.3,5,0,0,0,2,0,3,
bearmtn,2060,BM11,S,,2,2,4,11.3,3,1,0,0,6,0,2,
bearmtn,2061,BM11,E,,2,2,4,11.3,8,1,1,h.5,tr,0.5,0.5,
bearmtn,2062,BM11,W,,2,2,4,11.3,7,0,0,tr,tr,1,tr,
bearmtn,2063,BM12,N,,2,2,4,11.3,9,2,0,0,1,0,1,
bearmtn,2064,BM12,S,,2,2,4,11.3,10,6,7,0,3,0,7,
bearmtn,2065,BM12,E,,2,2,4,11.3,28,4,2,4,2,2,1.5,
bearmtn,2066,BM12,W,,2,2,4,11.3,12,3,1,tr,0.5,0.5,1,
bearmtn,2067,BM13,N,,2,2,4,11.3,2,1,0,0,1,0,2,
bearmtn,2068,BM13,S,,2,2,4,11.3,1,2,0,0,2,0,6,
bearmtn,2069,BM13,E,,2,2,4,11.3,2,0,0,tr,3,tr,1,
bearmtn,2070,BM13,W,,2,2,4,11.3,0,0,0,1,4,2,4,
bearmtn,2071,BM14,N,,2,2,4,11.3,2,1,0,1,1,tr,1,
bearmtn,2072,BM14,S,20,2,2,4,11.3,1,0,0,0,tr,tr,1,
