site,month,day,year,plot_id,X,Y,burn,FireSeverity,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,Photos,NOTES
,,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,
bearmtn,9,18,2019,BM1,247212,4192146,no,,,,,15.4,292,quke,,,,,,,6,348,,,,,,,4.1,18,975,35,30,14,tr,5.9,,14,0,-,,0.27,tr,0.17,,,0,-,,,,,,,10,,,,tr,99.5,tr,tr,0,0,0,0,0.5,0,0,100,yes,"this plot pis on small tablet. all plots in rim fire burned 2012, low tomoderate severity"
bearmtn,9,19,2019,BM2,246751,4193353,no,,,,,41,225,quke,,,,,,,21,106,LL,LL,BS,100,9,,7.4,53,976,98,7,22,tr,59.1,7,22,0,-,tr,0.19,1,,93,,0,0,0,-,tr,,93,,tr,,tr,,tr,97.5,0.5,0.5,0,tr,1,0,0.5,tr,0,100,yes,
bearmtn,9,19,2019,BM3,246610,4193234,no,,,,,54.9,84,quke,,,,,,,14,38,LL,LL,BS,100,9,"pipo,cade,psme",7,68,977,97,9,12,0,-,9,12,0,-,tr,0.1,tr,0.75,70,,tr,,0,-,tr,0.45,70,0.25,tr,0.15,tr,0.4,tr,97,2,tr,0,tr,0,0,1,0,0,100,yes,
bearmtn,9,19,2019,BM4,246493,4193032,no,,,,,,,,,,,,,,28,140,LL,LL,BS,100,9,"pipo,cade,quke",6.6,14,978,96,30,9,3,4,28,9,tr,2,tr,0.1,tr,,60,0.3,0.5,0.75,0,-,30,0.45,60,0.2,tr,15,4,0.5,0.5,98,0.5,tr,0,tr,tr,0,1,0,0,100,yes,
bearmtn,9,19,2019,BM5,246630,4192893,no,,,,,,,,,,,,,,16,197,LL,LL,BS,100,9,"pipo,cade,quke",6.1,4,979,99,10,8.6,2,9,8,8.6,0,2,,,0.5,1.3,50.5,,0,-,0,-,30,0.45,50.5,0.2,2.5,0.15,2.5,0.45,tr,97,1,tr,0,tr,tr,0,2,tr,0,100,yes,drainage runs through plot
bearmtn,9,19,2019,BM6,246824,4193067,no,,,,,,,,,,,,,,21,86,LL,LL,BS,100,9,"pipo, cade, quke",2.9,34,980,99,10,16,tr,4,10,16,1,1,tr,7,0,-,95,,2,1.35,0,-,30,0.45,95,0.25,1,0.25,1,0.3,tr,98,2,tr,0,tr,tr,0,tr,0,0,100,yes,
bearmtn,9,20,2019,BM7,246918,4192836,no,,,,,,,,,,,,,,15,96,LL,LL,FS,100,9,"pipo, cade, quke",11,33,981,99,7,25,tr,30,7,25,tr,2,0.5,0.2,tr,2,55,0.2,0,-,0,-,tr,0.45,55,0.25,1,0.2,2,0.4,tr,98,1.5,tr,0,tr,tr,0,0.5,0,0,100,yes,
bearmtn,9,20,2019,BM8,246298,4192744,no,,,,,,,,,,,,,,14,88,LL,LL,BS,100,9,"cade,pipo,quke",2.5,39,982,90,35,34,0,-,35,34,tr,1.5,0,-,tr,1.5,55,0.2,0,-,0,-,20,0.45,55,0.35,1,0.2,1,0.4,2,97.5,tr,tr,0,tr,tr,0,0.5,0,0,100,yes,
bearmtn,9,20,2019,BM9,246581,4192519,no,,,,,15.8,272,pipo,,,,,,,12,86,UN,LL,,100,9,"pipo,cade,quke",10.45,241,983,95,2,12.4,6,28.2,1.5,12.4,tr,3,18,1,tr,0.75,1.5,0.4,0,-,0,-,0.5,0.75,1.5,0.3,5,0.2,5,0.4,tr,95.5,4,tr,0,tr,tr,0,0.5,0,0,100,yes,witness tree in southast quadrant (first live tree)/ 2 drainages run through plot
