site,year,Plot ID,azimuth,slope_percent,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
bearmtn,2019,BM1,N,0,0,3,0,0.5,3,0.05,2,
bearmtn,2019,BM1,S,0,0,0,2,0.05,0,0.05,2,
bearmtn,2019,BM1,E,0,3,3,0,0.05,2,0.5,2,
bearmtn,2019,BM1,W,0,3,0,0,0.05,2,0.05,2,
bearmtn,2019,BM2,N,0,8,1,1,2,1,0,2,
bearmtn,2019,BM2,S,0,3,1,0,0,2,1.5,0.5,inverted
bearmtn,2019,BM2,E,21,0,0,0,0,14,0,5,
bearmtn,2019,BM2,W,21,7,0,0,0,2,0,1,
bearmtn,2019,BM3,N,0,2,1,3,1,4,1,1,
bearmtn,2019,BM3,S,0,2,2,6,1,3.5,2,4,
bearmtn,2019,BM3,E,0,1,1,7,0,0.5,0.5,1,
bearmtn,2019,BM3,W,0,5,1,1,4,1.5,7,37,
bearmtn,2019,BM4,N,0,8,0,0,2,3,2,4,
bearmtn,2019,BM4,S,0,7,0,0,0,3,0.05,8,
bearmtn,2019,BM4,E,0,5,0,0,2,1,3,1,
bearmtn,2019,BM4,W,0,2,3,0,6,2,3,,
bearmtn,2019,BM5,N,0,1,0,1,0,0.5,2,1.5,
bearmtn,2019,BM5,S,0,1,0,0,,,,,
bearmtn,2019,BM5,E,0,11,5,0,0,3,0,5,
bearmtn,2019,BM5,W,0,15,1,5,0,1,5,12,
bearmtn,2019,BM6,N,0,2,1,4,1,2,1,1.5,
bearmtn,2019,BM6,S,0,3,1,0,0,0.05,0.05,0.5,
bearmtn,2019,BM6,E,21,3,2,0,2,5,0.05,1,
bearmtn,2019,BM6,W,0,5,12,5,1,3,1,4,
bearmtn,2019,BM7,N,0,0,0,1,2,1,0,3,
bearmtn,2019,BM7,S,0,0,4,4,7,11,0.05,4,
bearmtn,2019,BM7,E,0,2,7,3,1,4,0.05,6,
bearmtn,2019,BM7,W,0,1,0,2,0.05,3,2,4,
bearmtn,2019,BM8,N,0,1,0,0,0.05,3,0.5,1.5,
bearmtn,2019,BM8,S,0,4,0,0,0.05,0.05,0.05,0.05,
bearmtn,2019,BM8,E,0,9,7,0,0,6,2,1,
bearmtn,2019,BM8,W,0,10,2,1,0,2,0,11,
bearmtn,2019,BM9,N,0,5,1,2,0.05,2,0.05,3,
bearmtn,2019,BM9,S,0,0,5,0,0.05,3,3,4,
bearmtn,2019,BM9,E,0,0,2,5,0.5,0.5,0.5,1.5,
bearmtn,2019,BM9,W,0,0,1,0,0,1,0.05,0.05,
bearmtn,2019,BM10,N,0,0,1,0,0.05,2,0.05,2.5,
bearmtn,2019,BM10,S,0,0,0,0,2,3,0,1,big cluster of 10 and 100hr fuels 4.5m from edge of transect
bearmtn,2019,BM10,E,0,0,1,1,0,1,1,0,
bearmtn,2019,BM10,W,0,2,0,0,0,2,0,3,
bearmtn,2019,BM11,N,0,5,0,0,0,2,0,3,
bearmtn,2019,BM11,S,0,3,1,0,0,6,0,2,
bearmtn,2019,BM11,E,0,8,1,1,0.5,0.05,0.5,0.5,
bearmtn,2019,BM11,W,0,7,0,0,0.05,0.05,1,0.05,
bearmtn,2019,BM12,N,0,9,2,0,0,1,0,1,
bearmtn,2019,BM12,S,0,10,6,7,0,3,0,7,
bearmtn,2019,BM12,E,0,28,4,2,4,2,2,1.5,
bearmtn,2019,BM12,W,0,12,3,1,0.05,0.5,0.5,1,
bearmtn,2019,BM13,N,0,2,1,0,0,1,0,2,
bearmtn,2019,BM13,S,0,1,2,0,0,2,0,6,
bearmtn,2019,BM13,E,0,2,0,0,0.05,3,0.05,1,
bearmtn,2019,BM13,W,0,0,0,0,1,4,2,4,
bearmtn,2019,BM14,N,0,2,1,0,1,1,0.05,1,
bearmtn,2019,BM14,S,20,1,0,0,0,0.05,0.05,1,
bearmtn,2019,BM14,E,0,2,1,1,0.05,0.05,0.5,0.05,
bearmtn,2019,BM14,W,0,3,0,0,0.05,0.05,0.5,0.5,
bearmtn,2019,BM15,N,27,4,5,0,0,2.5,0,0.5,
bearmtn,2019,BM15,S,0,13,2,0,3,0.05,0.05,,
bearmtn,2019,BM15,E,0,1,4,0,0,4,0,2,
bearmtn,2019,BM15,W,0,1,1,0,0,1,0,1,
bearmtn,2019,BM16,N,0,1,1,2,0,8,0,2,
bearmtn,2019,BM16,S,0,2,2,0,0,5,0,4,
bearmtn,2019,BM16,E,0,7,15,1,1,4,0.05,5,
bearmtn,2019,BM16,W,0,4,2,2,1,3,1,1,
bearmtn,2019,BM17,N,0,11,1,0,0.5,0.5,1,1,
bearmtn,2019,BM17,S,0,11,9,10,5,3,0.05,0.05,
bearmtn,2019,BM17,E,32,0,0,0,1,3,0.05,2,no fine fuels in 2 and 4m transects but huge dead tree down in middle of transect with at least 20 10hr and 100hr fuels each
bearmtn,2019,BM17,W,32,0,2,0,1,2,0.05,2,
bearmtn,2019,BM18,N,0,17,8,0,0.05,1,0,2,
bearmtn,2019,BM18,S,0,21,8,3,0.05,0.5,3.5,1,
bearmtn,2019,BM18,E,0,0,9,2,0,2,0,8,
bearmtn,2019,BM18,W,0,4,0,0,0,2,0,2,
bearmtn,2019,BM19,N,0,12,5,0,2,3,0.05,1,
bearmtn,2019,BM19,S,0,0,5,0,0.05,2,1,2,
bearmtn,2019,BM19,E,0,1,2,0,0,2,5,3,
bearmtn,2019,BM19,W,0,0,0,0,0,2,0,1,
bearmtn,2019,BM20,N,21,3,2,0,1,1,0.05,1,
bearmtn,2019,BM20,S,20,12,4,1,0.05,0.05,0,3,
bearmtn,2019,BM20,E,0,2,2,0,2,2,3,5,
bearmtn,2019,BM20,W,0,0,4,1,0.05,1,2,2,
