plot_id,species_id,mean_dbh,mean_ht,mean_ht2crwn,total_trees,total_trees_acre
fm10-1,abco,19.54,8.75,4.25,10,100
fm10-1,abma,77.2,45.9,18.75,2,20
fm10-1,cade,31.05,12.325,3.675,4,40
fm10-1,pila,82.7333333333333,38.6,13.6666666666667,3,30
fm10-10,abco,20.7,10.2045454545455,4.84090909090909,22,220
fm10-10,cade,26.675,10.625,4.375,8,80
fm10-10,pila,86.5,34,17,1,10
fm10-11,abco,16.26,8.68,4.85,20,200
fm10-11,cade,124,34,22,1,10
fm10-12,abco,29.8571428571429,16.1190476190476,6.90476190476191,21,210
fm10-12,cade,79.95,27.5,9,2,20
fm10-12,pila,104.8,40,19,1,10
fm10-13,cade,9.45666666666667,4.33333333333333,0.5,3,30
fm10-13,pipo,35.1,13.6714285714286,3.71428571428571,7,70
fm10-14,abco,23.1857142857143,15.1071428571429,8.35714285714286,14,140
fm10-14,abma,22.9866666666667,15.7666666666667,9.03333333333333,15,150
fm10-14,cade,96.7,33,22,1,10
fm10-15,abco,14.6238095238095,8.01904761904762,3.89285714285714,21,210
fm10-15,abma,14.875,6.5,3.75,4,40
fm10-15,cade,14.6357142857143,6.07142857142857,3,7,70
fm10-15,pila,34.98,16.3,6.2,5,50
fm10-2,abco,18.615625,10.796875,6.640625,32,320
fm10-2,abma,28.2307692307692,15.8461538461538,9.11538461538461,13,130
fm10-2,amba,47,28,20,1,10
fm10-2,cade,69.75,23,10.75,2,20
fm10-2,pila,20.1,9,5.5,1,10
fm10-3,abco,24.0318181818182,12.6636363636364,6.09090909090909,22,220
fm10-3,abma,14.5,7.58888888888889,3.27777777777778,9,90
fm10-3,cade,56.75,20.625,6.375,4,40
fm10-4,abco,33.7625,10.55,3.83333333333333,12,120
fm10-4,cade,14.9,4.5,2,2,20
fm10-5,abco,26.4333333333333,13.3333333333333,6.5,3,30
fm10-5,abma,26.8666666666667,15.1,6.33333333333333,3,30
fm10-5,cade,20.1461538461538,8.44615384615385,3.73076923076923,13,130
fm10-5,pila,53.3333333333333,21,11.1666666666667,3,30
fm10-6,abco,21.22,11.5,6.3,20,200
fm10-6,abma,9.5,4,2,1,10
fm10-6,cade,10.2,5,2,1,10
fm10-6,pila,98.7,47,19.5,2,20
fm10-7,abco,35.4666666666667,19.8222222222222,10.5833333333333,18,180
fm10-7,cade,20.1666666666667,8.5,3.33333333333333,3,30
fm10-8,abco,16.105,8.39,3.7,20,200
fm10-8,cade,9.75,4.25,2.5,2,20
fm10-8,pila,120.15,44.5,24.5,2,20
fm10-9,abco,25.1333333333333,11.0333333333333,6.05333333333333,15,150
fm10-9,cade,8.3,4,2.5,1,10
fm19-1,abco,31.3583333333333,14.1583333333333,3.39166666666667,12,120
fm19-1,cade,17.7,5.75,1.75,4,40
fm19-10,abco,31.41,16.8,9.4,10,100
fm19-10,abma,40.0181818181818,21.1818181818182,12,11,110
fm19-10,pila,48.125,15.05,7.3,4,40
fm19-11,abco,20.66,8.9,3.05,10,100
fm19-11,cade,17.4,6,0.5,1,10
fm19-11,pimo,64,21,6,1,10
fm19-12,abco,27.7333333333333,15.4933333333333,9.18666666666667,15,150
fm19-12,cade,40.8285714285714,13.4642857142857,4.71428571428571,7,70
fm19-12,pije,36.62,16.2,9.3,5,50
fm19-13,abco,26.365,13.4,4.55,10,100
fm19-13,abma,86.6666666666667,35.6666666666667,21.6666666666667,3,30
fm19-14,abco,9.2,4,0.1,1,10
fm19-14,cade,28.3,6.9,0.1,1,10
fm19-14,pipo,11,4,0.2,1,10
fm19-15,abco,28.144,12.032,1.742,25,250
fm19-15,pila,70.8,24.9,12,1,10
fm19-15,pipo,50.2,23.5,8,1,10
fm19-16,abco,36.064,14.88,2.236,25,250
fm19-16,abma,39.9833333333333,20.3333333333333,1.975,6,60
fm19-17,cade,8.85,5.25,0.525,2,20
fm19-17,pila,13.6,8.5,0.04,1,10
fm19-17,pipo,39.3272727272727,17.5909090909091,0.273181818181818,22,220
fm19-18,abco,31.7625,13.875,1.1875,8,80
fm19-18,cade,18.1583333333333,7.375,0.4825,12,120
fm19-18,pipo,18.3,8,1.6,1,10
fm19-19,abco,24.15,13.75,1.575,4,40
fm19-19,cade,16.52,5.36,1.24,5,50
fm19-19,pila,31.8,11.25,2.75,2,20
fm19-2,abco,35.4933333333333,15.1833333333333,7.7,15,150
fm19-2,abma,22,8.5,6,1,10
fm19-2,cade,18.675,6.8125,2.1375,8,80
fm19-20,abco,34.5117647058824,19.8529411764706,1.48058823529412,17,170
fm19-20,pipo,56.2,23.2,11,1,10
fm19-21,abco,35.5090909090909,18.2636363636364,0.731818181818182,11,110
fm19-21,abma,36.1,18,0.02,1,10
fm19-21,cade,72.2,17.4,0.04,1,10
fm19-3,abco,29.6166666666667,14.0166666666667,7.66666666666667,6,60
fm19-3,abma,38.9571428571429,22.8571428571429,10.8571428571429,7,70
fm19-3,cade,37.5,12,4.5,2,20
fm19-3,pila,54.5,20,8,1,10
fm19-4,abco,21.0655172413793,11.8586206896552,7.37931034482759,29,290
fm19-4,cade,83.525,22.5,9,4,40
fm19-4,pije,83.25,30,13,2,20
fm19-5,abco,29.1621212121212,14.4363636363636,7.42424242424242,33,330
fm19-5,abma,59.9,16.3,7.66666666666667,3,30
fm19-5,cade,30.6,10.5,3,1,10
fm19-6,cade,10.1,4,1.5,1,10
fm19-6,pije,43.175,13.625,4.9,4,40
fm19-7,abco,9.05,4,1.75,2,20
fm19-7,abma,38.6333333333333,14.6833333333333,7.76666666666667,6,60
fm19-8,abco,23.6363636363636,11.6909090909091,4.55,11,110
fm19-8,cade,37.4388888888889,14.1444444444444,5.16666666666667,18,180
fm19-8,pije,34.4,10,3.7,1,10
fm19-9,cade,26.4125,9.9375,1.98125,8,80
fm19-9,pije,27.6,12.125,4.15,4,40
