plot_id,status,species_id,stand_ba
fm10-1,live,pila,120
fm10-1,live,abma,80
fm10-1,live,abco,40
fm10-1,dead,abco,40
fm10-10,live,pila,40
fm10-10,live,abco,120
fm10-10,live,cade,80
fm10-11,live,cade,60
fm10-11,live,pila,20
fm10-11,live,abco,80
fm10-12,live,abco,240
fm10-12,live,cade,120
fm10-12,live,pila,40
fm10-12,live,abma,40
fm10-13,live,pipo,60
fm10-13,live,abco,20
fm10-13,live,cade,10
fm10-14,live,cade,80
fm10-14,dead,cade,40
fm10-14,live,abco,80
fm10-14,live,abma,160
fm10-14,live,pila,40
fm10-15,live,pila,60
fm10-15,live,abco,20
fm10-15,dead,abco,40
fm10-15,live,cade,20
fm10-2,live,abma,240
fm10-2,live,abco,80
fm10-2,live,cade,40
fm10-3,live,cade,120
fm10-3,live,abco,80
fm10-3,live,abma,120
fm10-4,live,cade,40
fm10-4,dead,abco,20
fm10-4,live,abco,80
fm10-4,live,pila,20
fm10-4,live,cade,60
fm10-4,live,abco,40
fm10-4,live,pila,40
fm10-4,dead,abma,40
fm10-4,live,abma,20
fm10-6,live,pila,160
fm10-6,dead,abco,120
fm10-6,live,abco,40
fm10-7,live,abco,240
fm10-7,live,cade,80
fm10-8,live,abco,40
fm10-8,live,pila,100
fm10-9,live,abco,80
fm10-9,dead,abco,40
fm10-9,live,cade,20
fm10-9,live,pila,20
fm19-1,live,pipo,40
fm19-1,live,abco,120
fm19-1,dead,abco,40
fm19-1,live,cade,80
fm19-1,dead,cade,40
fm19-2,live,abco,40
fm19-2,dead,abco,40
fm19-2,live,cade,40
fm19-3,live,pila,40
fm19-3,live,abco,80
fm19-3,live,amba,120
fm19-4,live,cade,200
fm19-4,live,abco,40
fm19-4,live,pije,80
fm19-4,dead,pije,40
fm19-5,live,abco,320
fm19-5,live,abma,40
fm19-6,dead,abco,60
fm19-6,live,pije,80
fm19-7,live,abma,240
fm19-7,dead,abma,40
fm19-7,live,pimo,40
fm19-8,live,cade,280
fm19-8,live,abco,120
fm19-9,live,pije,40
fm19-9,live,cade,60
fm19-9,live,abma,20
fm19-10,live,abma,80
fm19-10,live,abco,240
fm19-10,dead,abco,80
fm19-10,dead,pila,160
fm19-11,live,abco,60
fm19-11,dead,abco,40
fm19-11,live,pije,20
fm19-11,live,pila,20
fm19-12,live,pije,80
fm19-12,live,cade,80
fm19-12,live,abco,80
fm19-12,dead,abco,40
fm19-13,live,abco,160
fm19-13,dead,abco,40
fm19-13,live,abma,120
fm19-14,live,cade,20
fm19-14,live,abco,5
fm19-14,dead,abco,5
fm19-15,live,pila,40
fm19-15,live,abco,320
fm19-15,dead,abco,80
fm19-16,live,abco,240
fm19-16,dead,abco,40
fm19-16,live,abma,80
fm19-17,live,pipo,220
fm19-18,live,abco,120
fm19-18,live,pipo,80
fm19-18,live,cade,40
fm19-19,live,abco,30
fm19-19,live,cade,30
fm19-19,dead,abco,10
fm19-19,live,pila,10
fm19-19,live,pipo,10
fm19-20,live,abco,200
fm19-20,dead,abco,80
fm19-20,live,pipo,40
fm19-21,live,abco,90
fm19-21,live,abma,10
fm19-21,live,cade,10
fm19-21,dead,abco,20
