site,month,day,year,plot_id,X,Y,burn,FireSeverity,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,photos,NOTES
,,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,
frenchmeadows,7,13,2019,fm10-1,719822,4331262,no,,,,,,,,,,,,,,16,301,LL,LL,FS,100,9,"pila,abco,abma",11.2,91,84,50,30,25,1,20,30,25,tr,3,tr,0.02,0,,20,0.4,tr,0.6,0,,tr,1,20,0.3,tr,0.3,tr,0.7,tr,94.5,4,tr,0,tr,tr,0,1.5,0,0,100,yes,
frenchmeadows,7,15,2019,fm10-10,720120,4331317,no,,,,,24,163,abma,,,,,,,18,317,LL,LL,FS,100,9,"abco, cade, pila",7,1,93,55,50,15,tr,2,50,15,tr,3,tr,0.02,0,,10,0.25,0,,tr,2,tr,1.4,10,0.3,1,0.2,tr,0.6,tr,96,2,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,15,2019,fm10-11,720194,4331392,no,,,,,30,65,pila,45,329,abma,,,,17,11,LL,LL,FS,100,9,"abco, cade, conu",10.3,4,94,80,70,10,3,22,55,10,30,3,5,0.1,0,,25,0.3,0,,3,2.2,15,1.8,15,0.3,2,0.1,0.5,0.5,1,95.5,1.5,tr,0,tr,tr,0,2,tr,0,100,yes,
frenchmeadows,7,16,2019,fm10-12,720003,4331390,no,,,,,,,,,,,,,,26,330,LL,LL,FS,100,9,"abco,conu,cade",0.3,1,95,70,40,15,tr,11,40,8,1,2,3,0.1,0,,2,1,0,,tr,2.3,tr,1,tr,0.1,7,0.2,tr,0.1,tr,93,4,tr,0,tr,tr,0,3,0,0,100,yes,old skid road running through E side of plot
frenchmeadows,7,16,2019,fm10-13,719888,4331376,no,,,,,12,360,abco,,,,,,,21,307,LL,LL,FS,100,9,"pipo, cade, abco",9.2,74,96,95,35,11,0,,33,10,2,1.5,tr,0.02,0,,75,1,tr,0.4,tr,2,60,0.6,75,0.2,1,0.2,tr,0.5,tr,98,tr,t4,0,tr,tr,0,1,0,0,99,yes,
frenchmeadows,7,16,2019,fm10-14,719686,4331490,no,,,,,,,,,,,,,,15,271,LL,LL,TS,100,9,"abco, abma, cade",11,30,97,70,70,25,tr,7.5,70,10,tr,1.4,tr,0.2,0,,6,0.3,0,,0,,3,0.5,2,0.1,1,0.2,0,,tr,92,6,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,16,2019,fm10-15,719810,4331533,no,,,,,,,,,,,,,,38,4,LL,LL,TS,100,9,"abco, pila, cade",8,4,98,55,55,5,tr,7,45,22,2,2,tr,0.2,0,,5,0.3,0,,0,,1,0.5,4,0.3,1,0.2,tr,0.1,1,93,4,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,13,2019,fm10-2,719875,4331106,no,,,,,32,246,pije,,,,,,,27,330,LL,LL,FS,100,9,"abma, abco, conu",3.69,8,85,80,70,15,tr,9,70,15,3,6,3,0.3,0,,1,0.5,0,,0,,0.5,1,1,0.4,tr,0.4,tr,0.3,tr,95,2,tr,0,tr,tr,0,3,0,0,100,yes,
frenchmeadows,7,13,2019,fm10-3,719958,4331268,no,,,,,14.5,296,pila,,,,,,,12,313,CC,CC,FS,100,9,"abco, abma, cade",7.3,2,86,75,60,9,0,,60,9,1,5,tr,0.3,0,,6,1,0,,0,,5,1,5,0.4,2,0.3,tr,0.4,tr,95.5,2.5,tr,0,tr,tr,0,2,0,0,100,yes,
