site,year,plot_id,azimuth,slope_percent,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2,Notes:
frenchmeadows,2019,fm10-1,N,0,15,5,0,5,3,5,3,
frenchmeadows,2019,fm10-1,S,16,17,5,0,0,1,0,3,
frenchmeadows,2019,fm10-1,E,0,6,3,8,12,3,3,4,
frenchmeadows,2019,fm10-1,W,0,13,10,1,2,6,3,4,
frenchmeadows,2019,fm10-10,N,0,6,2,1,2,4,2,4,
frenchmeadows,2019,fm10-10,S,0,19,3,0,4,4,7,4,
frenchmeadows,2019,fm10-10,E,0,98,51,2,6,1,11,0.5,
frenchmeadows,2019,fm10-10,W,0,35,16,0,14,2,4,1,
frenchmeadows,2019,fm10-11,N,0,22,20,4,4,2,0,2,
frenchmeadows,2019,fm10-11,S,22,43,18,4,2,1,3,2,
frenchmeadows,2019,fm10-11,E,0,36,4,0,16,1,1,0.05,
frenchmeadows,2019,fm10-11,W,0,37,12,3,5,1,5,2,
frenchmeadows,2019,fm10-12,N,27,23,2,1,12,4,5,7,
frenchmeadows,2019,fm10-12,S,20,22,4,0,2,4,4,2,
frenchmeadows,2019,fm10-12,E,0,24,4,0,6,0.5,2,1,
frenchmeadows,2019,fm10-12,W,0,48,9,5,14,2,4,2,
frenchmeadows,2019,fm10-13,N,0,45,2,0,3,4,0.05,0.05,
frenchmeadows,2019,fm10-13,S,0,6,0,1,1,2,2,4,
frenchmeadows,2019,fm10-13,E,0,10,3,1,0,0,0,0,
frenchmeadows,2019,fm10-13,W,0,15,5,3,10,1,0,1,
frenchmeadows,2019,fm10-14,N,0,4,1,1,1,3,1,3,first 4m of transect on old skid road
frenchmeadows,2019,fm10-14,S,0,29,18,3,1,3,1,4,
frenchmeadows,2019,fm10-14,E,0,32,6,2,10,3,15,2,
frenchmeadows,2019,fm10-14,W,0,29,2,0,1,1,6,3,
frenchmeadows,2019,fm10-15,N,38,12,2,5,2,2,8,2,
frenchmeadows,2019,fm10-15,S,36,44,1,2,2,0.05,4,1,
frenchmeadows,2019,fm10-15,E,0,66,24,1,12,3,10,2,
frenchmeadows,2019,fm10-15,W,0,21,3,1,1,0.05,2,0.05,
frenchmeadows,2019,fm10-2,N,25,36,10,0,0,1,3,2,
frenchmeadows,2019,fm10-2,S,26,88,16,6,4,2,5,3,
frenchmeadows,2019,fm10-2,E,0,92,26,1,17,1,9,1,
frenchmeadows,2019,fm10-2,W,20,82,8,2,4,1,3,2,
frenchmeadows,2019,fm10-3,N,0,6,5,2,2,5,6,3,
frenchmeadows,2019,fm10-3,S,0,22,4,2,5,3,1,4,
frenchmeadows,2019,fm10-3,E,0,62,19,2,1,0.5,7,3,
frenchmeadows,2019,fm10-3,W,0,43,11,2,2,2,6,2,
frenchmeadows,2019,fm10-4,N,0,77,15,0,0,0,0,2.5,l/d 1 at center of plot = dirt hill
frenchmeadows,2019,fm10-4,S,0,47,10,0,7,0.5,5,0.5,
frenchmeadows,2019,fm10-4,E,37,4,2,3,5,10,2,4,
frenchmeadows,2019,fm10-4,W,29,39,41,2,5,5,1,2,
frenchmeadows,2019,fm10-5,N,0,12,1,1,1,3,2,2,
frenchmeadows,2019,fm10-5,S,0,43,21,5,2,2,7,7,
frenchmeadows,2019,fm10-5,E,0,11,12,0,20,1,6,3,duff 1 right on class 5 cwd
frenchmeadows,2019,fm10-5,W,0,5,18,7,2,3,0,1,
frenchmeadows,2019,fm10-6,N,0,10,11,3,3,3,7,7,
frenchmeadows,2019,fm10-6,S,0,90,21,1,5,3,5,4,
frenchmeadows,2019,fm10-6,E,0,37,8,2,3.5,0.5,0,0.5,
frenchmeadows,2019,fm10-6,W,0,76,37,1,4.5,6,7,6,
frenchmeadows,2019,fm10-7,N,0,26,4,2,2,1,2,1,
frenchmeadows,2019,fm10-7,S,0,33,2,3,3,1,6,2,
frenchmeadows,2019,fm10-7,E,0,40,5,4,8,2,10,2,
frenchmeadows,2019,fm10-7,W,0,36,6,3,1,5,1,4,
frenchmeadows,2019,fm10-8,N,0,35,9,4,0,2,0,2,
frenchmeadows,2019,fm10-8,S,0,34,3,0,3,2,5,2,
frenchmeadows,2019,fm10-8,E,0,13,6,0,3,2,15,3,
frenchmeadows,2019,fm10-8,W,0,20,6,3,18,3,27,6,
frenchmeadows,2019,fm10-9,N,0,6,6,1,2,5,2,6,
frenchmeadows,2019,fm10-9,S,0,13,4,0,1,2,3,3,
frenchmeadows,2019,fm10-9,E,0,25,3,1,0,2,2,1,
frenchmeadows,2019,fm10-9,W,0,9,7,3,0,1,4,2,
frenchmeadows,2019,fm19-1,N,0,0,4,2,0.05,2,3,3,
frenchmeadows,2019,fm19-1,S,0,46,21,2,9,1,5,4,
