site,plot_id,year,species_id,status,lifeform,layer_code,percent,notes
frenchmeadows,fm10-1,2019,abco,live,TR,TOV,7,
frenchmeadows,fm10-1,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-1,2019,abco,dead,TR,TOV,1,
frenchmeadows,fm10-10,2019,abco,live,TR,TOV,40,
frenchmeadows,fm10-10,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-10,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-10,2019,abco,dead,TR,TOV,tr,
frenchmeadows,fm10-11,2019,abco,live,TR,TOV,35,
frenchmeadows,fm10-11,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-11,2019,abco,live,TR,TSE,1,
frenchmeadows,fm10-11,2019,abco,dead,TR,TSE,tr,
frenchmeadows,fm10-11,2019,abco,dead,TR,TOV,3,
frenchmeadows,fm10-12,2019,abco,live,TR,TOV,8,
frenchmeadows,fm10-12,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-12,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-13,2019,abco,live,TR,TOV,tr,
frenchmeadows,fm10-13,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-13,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-14,2019,abco,live,TR,TOV,20,
frenchmeadows,fm10-14,2019,abco,dead,TR,TOV,tr,
frenchmeadows,fm10-14,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-14,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-15,2019,abco,live,TR,TOV,40,
frenchmeadows,fm10-15,2019,abco,live,TR,TSA,1,
frenchmeadows,fm10-15,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-2,2019,abco,live,TR,TOV,20,
frenchmeadows,fm10-2,2019,abco,live,TR,TSA,2,
frenchmeadows,fm10-2,2019,abco,dead,TR,TSA,tr,
frenchmeadows,fm10-2,2019,abco,dead,TR,TSE,tr,
frenchmeadows,fm10-3,2019,abco,live,TR,TOV,55,
frenchmeadows,fm10-3,2019,abco,live,TR,TSA,0.5,
frenchmeadows,fm10-3,2019,abco,live,TR,TSE,tr,
frenchmeadows,Fm10-4,2019,abco,live,TR,TOV,30,
frenchmeadows,Fm10-4,2019,abco,dead,TR,TOV,2,
frenchmeadows,Fm10-4,2019,abco,live,TR,TSA,tr,
frenchmeadows,Fm10-4,2019,abco,live,TR,TSE,tr,
frenchmeadows,Fm10-5,2019,abco,live,TR,TOV,3,
frenchmeadows,Fm10-5,2019,abco,live,TR,TSA,tr,
frenchmeadows,Fm10-5,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-6,2019,abco,live,TR,TOV,30,
frenchmeadows,fm10-6,2019,abco,dead,TR,TOV,2,
frenchmeadows,fm10-6,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-6,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-7,2019,abco,live,TR,TOV,30,
frenchmeadows,fm10-7,2019,abco,dead,TR,TOV,1,
frenchmeadows,fm10-7,2019,abco,live,TR,TSA,1,
frenchmeadows,fm10-7,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-8,2019,abco,live,TR,TOV,45,
frenchmeadows,fm10-8,2019,abco,live,TR,TSA,5,
frenchmeadows,fm10-8,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-9,2019,abco,live,TR,TOV,35,
frenchmeadows,fm10-9,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm10-9,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm10-9,2019,abco,dead,TR,TOV,tr,
frenchmeadows,fm19-1,2019,abco,live,TR,TOV,45,
frenchmeadows,fm19-1,2019,abco,dead,TR,,tr,
frenchmeadows,fm19-1,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm19-1,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm19-2,2019,abco,live,TR,TOV,40,
frenchmeadows,fm19-2,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm19-2,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm19-3,2019,abco,live,TR,TOV,7,
frenchmeadows,fm19-3,2019,abco,live,TR,TSE,tr,
frenchmeadows,Fm19-4,2019,abco,live,TR,TOV,40,
frenchmeadows,Fm19-4,2019,abco,dead,TR,TOV,1,
frenchmeadows,Fm19-4,2019,abco,live,TR,TSE,tr,
frenchmeadows,fm19-5,2019,abco,live,TR,TOV,60,
frenchmeadows,fm19-5,2019,abco,live,TR,TSA,tr,
frenchmeadows,fm19-5,2019,abco,live,TR,TSE,tr,
