plot_id,fuel_size,mass,treatment_type,time,mass_mgha
springs1,mass_1hr,0.010899511,control,postburn20_mass,0.004861181906
springs1,mass_10hr,0.139071029,control,postburn20_mass,0.062025678934
springs1,mass_100hr,0,control,postburn20_mass,0
springs1,mass_cwd_sound,0,control,postburn20_mass,0
springs1,mass_cwd_rotten,0,control,postburn20_mass,0
springs1,total_fuel,0.149970541,control,postburn20_mass,0.066886861286
springs10,mass_1hr,0.039964875,control,postburn20_mass,0.01782433425
springs10,mass_10hr,0,control,postburn20_mass,0
springs10,mass_100hr,0.276698415,control,postburn20_mass,0.12340749309
springs10,mass_cwd_sound,0,control,postburn20_mass,0
springs10,mass_cwd_rotten,0,control,postburn20_mass,0
springs10,total_fuel,0.31666329,control,postburn20_mass,0.14123182734
springs11,mass_1hr,0.018165852,2007rx,postburn20_mass,0.008101969992
springs11,mass_10hr,1.112568234,2007rx,postburn20_mass,0.496205432364
springs11,mass_100hr,0.276698415,2007rx,postburn20_mass,0.12340749309
springs11,mass_cwd_sound,0,2007rx,postburn20_mass,0
springs11,mass_cwd_rotten,0,2007rx,postburn20_mass,0
springs11,total_fuel,1.407432501,2007rx,postburn20_mass,0.627714895446
springs12,mass_1hr,0.039964875,2007rx,postburn20_mass,0.01782433425
springs12,mass_10hr,0.486748602,2007rx,postburn20_mass,0.217089876492
springs12,mass_100hr,0.553396829,2007rx,postburn20_mass,0.246814985734
springs12,mass_cwd_sound,0.550790043,2007rx,postburn20_mass,0.245652359178
springs12,mass_cwd_rotten,0,2007rx,postburn20_mass,0
springs12,total_fuel,1.630900351,2007rx,postburn20_mass,0.727381556546
springs13,mass_1hr,0.010899511,2007rx,postburn20_mass,0.004861181906
springs13,mass_10hr,0,2007rx,postburn20_mass,0
springs13,mass_100hr,1.660190488,2007rx,postburn20_mass,0.740444957648
springs13,mass_cwd_sound,0.301802764,2007rx,postburn20_mass,0.134604032744
springs13,mass_cwd_rotten,0,2007rx,postburn20_mass,0
springs13,total_fuel,1.972892763,2007rx,postburn20_mass,0.879910172298
