plot_id,time,fuel_size,mass,treatment_type
springs1,preburn_mass,mass_1hr,0.014532682,control
springs1,preburn_mass,mass_10hr,1.182103749,control
springs1,preburn_mass,mass_100hr,1.106793659,control
springs1,preburn_mass,mass_cwd_sound,1.180803313,control
springs1,preburn_mass,mass_cwd_rotten,0,control
springs1,preburn_mass,total_fuel,3.484233402,control
springs1,postburn_mass,mass_1hr,0.007266341,control
springs1,postburn_mass,mass_10hr,0.278142059,control
springs1,postburn_mass,mass_100hr,0,control
springs1,postburn_mass,mass_cwd_sound,1.800253485,control
springs1,postburn_mass,mass_cwd_rotten,0,control
springs1,postburn_mass,total_fuel,2.085661884,control
springs11,preburn_mass,mass_1hr,0.018165852,2007rx
springs11,preburn_mass,mass_10hr,1.112568234,2007rx
springs11,preburn_mass,mass_100hr,2.766984146,2007rx
springs11,preburn_mass,mass_cwd_sound,2.82567553,2007rx
springs11,preburn_mass,mass_cwd_rotten,0,2007rx
springs11,preburn_mass,total_fuel,6.723393763,2007rx
springs11,postburn_mass,mass_1hr,0,2007rx
springs11,postburn_mass,mass_10hr,0.695355146,2007rx
springs11,postburn_mass,mass_100hr,1.106793659,2007rx
springs11,postburn_mass,mass_cwd_sound,0.419520931,2007rx
springs11,postburn_mass,mass_cwd_rotten,0,2007rx
springs11,postburn_mass,total_fuel,2.221669736,2007rx
springs12,preburn_mass,mass_1hr,0.047590971,2007rx
springs12,preburn_mass,mass_10hr,0.90396169,2007rx
springs12,preburn_mass,mass_100hr,1.106793659,2007rx
springs12,preburn_mass,mass_cwd_sound,2.733361533,2007rx
springs12,preburn_mass,mass_cwd_rotten,0.081486746,2007rx
springs12,preburn_mass,total_fuel,4.873194599,2007rx
springs12,postburn_mass,mass_1hr,0.007338292,2007rx
springs12,postburn_mass,mass_10hr,0.557661192,2007rx
springs12,postburn_mass,mass_100hr,1.106793659,2007rx
springs12,postburn_mass,mass_cwd_sound,0.218052497,2007rx
springs12,postburn_mass,mass_cwd_rotten,0,2007rx
springs12,postburn_mass,total_fuel,1.889845639,2007rx
springs13,preburn_mass,mass_1hr,0.050864387,2007rx
springs13,preburn_mass,mass_10hr,0.90396169,2007rx
springs13,preburn_mass,mass_100hr,5.533968293,2007rx
springs13,preburn_mass,mass_cwd_sound,10.24243129,2007rx
springs13,preburn_mass,mass_cwd_rotten,0.439123021,2007rx
springs13,preburn_mass,total_fuel,17.17034868,2007rx
springs13,postburn_mass,mass_1hr,0.007266341,2007rx
springs13,postburn_mass,mass_10hr,0.486748602,2007rx
springs13,postburn_mass,mass_100hr,1.106793659,2007rx
springs13,postburn_mass,mass_cwd_sound,0.743943812,2007rx
springs13,postburn_mass,mass_cwd_rotten,0,2007rx
springs13,postburn_mass,total_fuel,2.344752414,2007rx
springs14,preburn_mass,mass_1hr,0.043598046,2007rx
springs14,preburn_mass,mass_10hr,0.973497205,2007rx
springs14,preburn_mass,mass_100hr,1.106793659,2007rx
springs14,preburn_mass,mass_cwd_sound,0,2007rx
springs14,preburn_mass,mass_cwd_rotten,0,2007rx
springs14,preburn_mass,total_fuel,2.123888909,2007rx
springs14,postburn_mass,mass_1hr,0,2007rx
springs14,postburn_mass,mass_10hr,0.486748602,2007rx
springs14,postburn_mass,mass_100hr,1.383492073,2007rx
springs14,postburn_mass,mass_cwd_sound,3.20743905,2007rx
springs14,postburn_mass,mass_cwd_rotten,0,2007rx
springs14,postburn_mass,total_fuel,5.077679725,2007rx
springs15,preburn_mass,mass_1hr,0.058130728,2007rx
springs15,preburn_mass,mass_10hr,0.90396169,2007rx
springs15,preburn_mass,mass_100hr,4.980571463,2007rx
springs15,preburn_mass,mass_cwd_sound,0.048288442,2007rx
springs15,preburn_mass,mass_cwd_rotten,0,2007rx
springs15,preburn_mass,total_fuel,5.990952324,2007rx
springs15,postburn_mass,mass_1hr,0.092040319,2007rx
springs15,postburn_mass,mass_10hr,0.741712156,2007rx
springs15,postburn_mass,mass_100hr,1.844656098,2007rx
springs15,postburn_mass,mass_cwd_sound,0,2007rx
springs15,postburn_mass,mass_cwd_rotten,0,2007rx
springs15,postburn_mass,total_fuel,2.678408573,2007rx
springs16,preburn_mass,mass_1hr,0.025432193,2007rx
springs16,preburn_mass,mass_10hr,0.764890661,2007rx
springs16,preburn_mass,mass_100hr,1.383492073,2007rx
springs16,preburn_mass,mass_cwd_sound,0,2007rx
springs16,preburn_mass,mass_cwd_rotten,0,2007rx
