plot_id,status,species_id,stand_ba,treatment_type
springs1,live,pije,180,control
springs2,live,pije,60,control
springs3,live,pije,120,control
springs4,live,pije,40,control
springs5,live,pije,140,control
springs6,live,pije,140,control
springs7,live,pico,140,control
springs8,live,pije,80,control
springs8,live,pico,100,control
springs9,live,pije,20,control
springs9,live,pico,160,control
springs11,live,pije,120,2007rx
springs12,live,pije,120,2007rx
springs13,live,pije,30,2007rx
springs14,live,pije,90,2007rx
springs15,live,pije,50,2007rx
springs15,live,pico,15,2007rx
springs15,dead,pico,5,2007rx
springs16,live,pije,80,2007rx
springs17,live,pije,60,2007rx
springs18,live,pije,140,control
springs19,live,pije,80,control
springs19,live,pije,120,control
springs20,live,pije,120,control
springs21,live,pije,140,control
springs22,live,pije,90,control
springs23,live,pije,120,control
springs24,live,pije,100,control
springs25,live,pije,60,control
springs26,live,pico,80,2010rx
springs26,dead,pico,40,2010rx
springs26,live,pije,120,2010rx
springs27,live,pije,120,2010rx
springs27,live,pico,40,2010rx
springs28,live,pije,160,2010rx
springs29,live,pije,80,2010rx
springs30,live,pije,180,2010rx
springs37,live,pije,120,control
springs37,live,pico,20,control
springs38,live,pije,160,2013rx
springs38,dead,pico,20,2013rx
springs39,live,pije,80,2013rx
springs39,live,pico,20,2013rx
springs39,dead,pico,20,2013rx
springs40,live,pico,40,control
springs40,live,pije,30,control
