plot_id,species_id,status,total_tsa_count,avg_tsa_ht,avg_tsa_age,tsa_count_acre,treatment_type
springs10,pico,live,2,,,20,control
springs13,pije,live,1,2,16,10,2007rx
springs24,pije,live,1,1.85,14,10,control
springs26,pije,live,8,2.625,15.125,80,2010rx
springs28,pije,live,7,2.5,26.4285714285714,70,2010rx
springs30,pije,live,1,3,20,10,2010rx
springs40,pije,live,2,1.725,10.5,20,control
springs6,pico,live,4,2.1,33.25,40,control
springs7,pico,live,1,2.5,23,10,control
springs9,pico,live,1,2,29,10,control
