site,year,plot_id,species_id,status,BAF,count,stand_BA_ft2/ac
lakesdistrict,2019,burton1,abco,live,20,8,160
lakesdistrict,2019,burton1,abma,live,20,1,20
lakesdistrict,2019,burton2,abco,live,40,5,200
lakesdistrict,2019,burton2,abco,dead,40,1,40
lakesdistrict,2019,burton2,abma,live,40,1,40
lakesdistrict,2019,burton2,abma,dead,40,2,80
lakesdistrict,2019,burton3,abco,live,40,7,280
lakesdistrict,2019,burton3,abma,live,40,3,120
lakesdistrict,2019,burton4,pije,live,20,3,60
lakesdistrict,2019,burton4,abco,live,20,4,80
lakesdistrict,2019,burton5,abco,live,40,4,160
lakesdistrict,2019,burton5,pije,live,40,3,120
lakesdistrict,2019,burton6,abco,live,40,7,280
lakesdistrict,2019,burton6,abma,dead,40,1,40
lakesdistrict,2019,burton7,abco,live,20,5,100
lakesdistrict,2019,burton7,abco,dead,20,2,40
lakesdistrict,2019,burton7,abma,live,20,1,20
lakesdistrict,2019,burton7,pije,live,20,1,20
lakesdistrict,2019,burton8,abco,live,20,7,140
lakesdistrict,2019,burton8,abco,dead,20,1,20
lakesdistrict,2019,burton8,abma,live,20,2,40
lakesdistrict,2019,burton9,abco,live,20,4,80
lakesdistrict,2019,burton9,abco,dead,20,3,60
lakesdistrict,2019,burton9,abma,live,20,1,20
lakesdistrict,2019,burton10,abco,live,40,5,200
lakesdistrict,2019,burton10,abco,dead,40,1,40
lakesdistrict,2019,burton11,abco,live,40,3,120
lakesdistrict,2019,burton11,abco,dead,40,2,80
lakesdistrict,2019,burton11,abma,live,40,1,40
lakesdistrict,2019,burton12,cade,live,10,1,10
lakesdistrict,2019,burton12,pico,live,10,1,10
lakesdistrict,2019,burton12,abco,dead,10,3,30
lakesdistrict,2019,burton12,abco,live,10,5,50
lakesdistrict,2019,burton12,pije,live,10,1,10
lakesdistrict,2019,burton13,abco,live,40,4,160
lakesdistrict,2019,burton13,pije,live,40,2,80
lakesdistrict,2019,burton14,abco,live,20,6,120
