site,month,day,year,plot_id,X,Y,burn,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,history,notes,
,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,,
lakesdistrict,8,26,2019,burton1,747517,4341906,no,,,,14.6,284,pila,29.1,269,pije,,,,13,314,LL,LL,BS,100,9,"abco, abma, cepr",8.5,20,423,67,35,24,tr,1.6,35,24,0,,tr,0.07,0,,32,0.05,0,,0,,tr,1,32,0.05,tr,0.3,0,,0.25,97.75,1,tr,0,tr,0,0,1,0,0,100,,,
lakesdistrict,8,26,2019,burton2,747503,4342004,no,,,,33.1,34,pije,81,10,pila,,,,4,103,LL,LL,BS,100,9,"abco, abma, cepr",8,5,432,67,55,17,1,2.5,50,17,tr,1.5,4,0.6,0,,12,0.05,0,,0,,0.5,0.6,12,0.05,tr,0.3,0,,tr,85,12,tr,0,tr,tr,0,3,0,0,100,,fabma1d10-02 plot,
lakesdistrict,8,27,2019,burton3,747232,4342352,no,,,,16.1,178,pije,,,,,,,25,50,LL,LL,BS,97,9,"abco, abma, pico",5,11,437,96,80,14,tr,4,70,2,5,2,5,0.4,0,,35,0.3,tr,0.2,0,,3.5,0.7,35,0.3,2,0.3,tr,0.4,tr,73,20,tr,0,1,4,0,2,0,0,100,close proximity to burton creek ,,
lakesdistrict,8,27,2019,burton4,746963,4342314,no,,,,20,340,abma,,,,,,,13,273,LL,LL,BS,100,9,"abco,pije,abma",6.1,2,473,85,50,7,0.5,6,59.5,1,18,2.5,2,0.5,0,,25,0.35,tr,0.35,0,,3,0.65,25,0.1,1,0.3,tr,0.35,4,92,tr,tr,0,0.5,0.5,0,3,tr,0,100,,,
lakesdistrict,8,27,2019,burton5,746731,4342344,no,,,,25,126,abma,,,,,,,8,125,LL,LL,BS,100,9,"abco, pije, abma",10.9,14,521,70,58,13,0,,57,13,1,2,tr,0.3,0,,10.5,0.45,tr,0.6,0,,10,1,10.5,0.3,tr,0.2,0,,tr,96.5,tr,tr,0,tr,2,0,1.5,0,0,100,,lots of rock under soil,
lakesdistrict,8,28,2019,burton6,746579,4342168,no,,,,,,,,,,,,,10,136,LL,LL,BS,100,9,"abco, abma, ceco",3.15,8,550,63,64,17,2,16,61,17,1.5,5,tr,0.02,0,,1,0.3,tr,0.05,0,,0.5,0.55,1,0.15,tr,0.05,0,,tr,93.5,3,tr,0,tr,0.5,0,3,0,0,100,,,
lakesdistrict,9,5,2019,burton7,747345,4342113,no,,,,,,,,,,,,,11,126,LL,LL,BS,100,9,"abco, pije, abma",2.3,53,597,60,33,15,1,15,32,15,1,1.9,tr,0.03,0,,27,0.4,0,,0,,8,0.55,19,0.07,tr,0.08,0,,2,91,3,tr,0,tr,1,0,3,0,0,100,,,
lakesdistrict,9,5,2019,burton8,747373,4342024,no,,,,16.5,356,pije,,,,,,,10,139,LL,LL,BS,100,9,"abco,abma,ceco",3.15,56,611,85,25,25,1,20,24,25,0,,tr,0.04,0,,61,0.4,0,,0,,0.75,0.55,61,0.2,tr,0.15,0,,3,94,1.5,tr,0,0.5,0,0,1,0,0,100,,,
lakesdistrict,9,5,2019,burton9,747285,4341959,no,,,,14,111,pije,,,,,,,12,129,LL,LL,BS,100,9,"abco,abma,ceco",7.4,1,618,35,20,17.5,2,4,18,17.5,0.5,,tr,0.1,0,,15,0.3,0,,0,,5,0.65,15,0.2,tr,0.15,0,,tr,96,2,tr,0,tr,1,0,1,0,0,100,,,
lakesdistrict,9,5,2019,burton10,747242,4342060,no,,,,12,268,abma,,,,,,,14,115,LL,LL,BS,100,9,"abco,abma,ceco",7,42,626,30,20,9,tr,6,19.5,9,tr,2.5,tr,0.04,0,,9,0.45,0,,0,,5,0.6,0.3,9,tr,0.3,0,,1,92,4,tr,0,1,1,0,1,0,0,100,,,
lakesdistrict,9,5,2019,burton11,747394,4341893,no,,,,40.2,97,pije,,,,,,,8,139,LL,LL,BS,100,9,"abco,abma,ceco",6.4,78,640,25.5,25,25,0.5,6.5,24.5,25,0,,tr,0.02,0,,0.5,0.25,2,,0,,0,,0.5,0.25,tr,0.1,0,,tr,96,2,tr,0,tr,1,0,1,0,0,100,,,
lakesdistrict,9,6,2019,burton12,746718,4341870,no,,,,,,,,,,,,,7,47,LL,LL,BS,100,9,"abco,cade,pije",9,10,646,95,40,9,2,11,36,9,1,,tr,0.02,2,2.5,18,,0,,0,,0,,18,0.1,6,0.2,0,,1,95,2,tr,0,tr,1,0,1,0,0,100,,control,
lakesdistrict,9,6,2019,burton13,746292,4341955,no,,,,,,,,,,,,,16,150,LL,LL,BS,100,9,"abco,pije,pila",4,4,662,65,60,15,0,,60,15,1,3.5,tr,0.02,0,,6,0.5,0,,0,,3.5,0.75,6,0.5,tr,0.3,0,,tr,91.5,5,tr,0,tr,1.5,0,2,0,0,100,,control,
lakesdistrict,9,6,2019,burton14,747162,4341936,no,,,,,,,,,,,,,14,155,LL,LL,BS,100,9,"abco,pije,pila",7.2,22,689,60,45,11,tr,12,45,11,0,,tr,0.1,0,,14,0.35,0,,0,,6,0.75,14,0.15,tr,0.1,0,,tr,96.5,0.5,tr,0,tr,2,0,1,0,0,100,,,
lakesdistrict,9,6,2019,burton15,747229,4341818,no,,,,,,,,,,,,,6,125,LL,LL,BS,100,9,"abma,pije,abco",4,25,707,50,50,30,tr,5,50,30,0,,tr,0.07,0,,0.5,0.2,0,,0,,0,,0.5,0.2,tr,0.1,0,,tr,95.5,3,0.5,0,tr,0,0,1,0,0,100,,,
lakesdistrict,9,7,2019,burton16,747381,4341781,no,,,,,,,,,,,,,4,137,LL,LL,BS,100,9,"abco, abma, pije",3.7,32,718,61,25,24,0,,25,24,0.5,1.7,0.5,1.1,0,,35,,0,,0,,3.5,0.6,35,0.2,0.5,0.35,tr,0.15,tr,96.5,2,tr,0,tr,1,0,0.5,0,0,100,,,
