Site,year,plot_id,species_id,status,lifeform,layer_code,percent,notes
lakesdistrict,2019,burton1,abco,live,TR,TOV,33,
lakesdistrict,2019,burton1,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton1,abco,dead,TR,TOV,tr,
lakesdistrict,2019,burton1,abma,live,TR,TOV,2,
lakesdistrict,2019,burton1,abma,live,TR,TSE,tr,
lakesdistrict,2019,burton1,arahol,live,FB,,tr,
lakesdistrict,2019,burton1,arne,live,SH,SL,1,
lakesdistrict,2019,burton1,ceco,live,SH,SL,tr,
lakesdistrict,2019,burton1,cepr,live,SH,SL,31,
lakesdistrict,2019,burton1,chme,live,FB,,tr,
lakesdistrict,2019,burton1,coltor,live,FB,,tr,
lakesdistrict,2019,burton1,cormac,live,FB,,tr,
lakesdistrict,2019,burton1,gaydif,live,FB,,tr,
lakesdistrict,2019,burton1,kega,live,FB,,tr,
lakesdistrict,2019,burton1,monodo,live,FB,,tr,
lakesdistrict,2019,burton1,phahas,live,FB,,tr,
lakesdistrict,2019,burton1,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton1,pila,live,TR,TSE,tr,
lakesdistrict,2019,burton1,ptan,live,FB,,tr,
lakesdistrict,2019,burton1,pypi,live,FB,,tr,
lakesdistrict,2019,burton1,rine,live,SH,SL,0.25,
lakesdistrict,2019,burton1,rine,live,SH,SM,0.25,
lakesdistrict,2019,burton1,riro,live,SH,SL,tr,
lakesdistrict,2019,burton1,stla,live,FB,,tr,
lakesdistrict,2019,burton1,symo,live,SH,SL,0.2,
lakesdistrict,2019,burton10,abco,live,TR,TOV,20,
lakesdistrict,2019,burton10,apan,live,FB,,tr,
lakesdistrict,2019,burton10,arahol,live,FB,,tr,
lakesdistrict,2019,burton10,arne,live,FB,,tr,
lakesdistrict,2019,burton10,arpa,live,SH,SL,1,
lakesdistrict,2019,burton10,arpa,live,SH,SM,1,
lakesdistrict,2019,burton10,ceco,live,SH,SL,5,
lakesdistrict,2019,burton10,ceco,live,SH,SM,3,
lakesdistrict,2019,burton10,cepr,live,SH,SL,,
lakesdistrict,2019,burton10,chum,live,FB,,tr,
lakesdistrict,2019,burton10,gaydif,live,FB,,tr,
lakesdistrict,2019,burton10,ortsec,live,FB,,tr,
lakesdistrict,2019,burton10,penros,live,FB,,tr,
lakesdistrict,2019,burton10,penros,live,FB,,tr,
lakesdistrict,2019,burton10,phahyd,live,FB,,tr,
lakesdistrict,2019,burton10,pije,live,TR,TOV,0.5,
lakesdistrict,2019,burton10,ptan,live,FB,,tr,
lakesdistrict,2019,burton10,pypi,live,FB,,tr,
lakesdistrict,2019,burton10,riro,live,FB,,tr,
lakesdistrict,2019,burton10,sasc,live,FB,,tr,
lakesdistrict,2019,burton10,symo,live,SH,SL,1,
lakesdistrict,2019,burton11,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton11,abco,dead,TR,TOV,0.5,
