Site,Date,Plot ID,Observers,Species,Status,BAF,#,Stand basal area (ft2/ac)
modoc,6/23/2020,1,mm,pipo,live,20,5,100
modoc,6/23/2020,1,mm,abco,live,20,3,60
modoc,6/23/2020,3,mm,abco,live,20,4,80
modoc,6/23/2020,3,mm,pipo,live,20,3,60
modoc,6/23/2020,3,mm,cade,live,20,1,20
modoc,6/24/2020,5,pm,abco,live,20,5,100
modoc,6/24/2020,5,pm,pipo,live,20,7,140
modoc,6/24/2020,5,pm,pipo,dead,20,4,80
modoc,6/24/2020,5,pm,pila,live,20,2,40
modoc,6/25/2020,9,mm,abco,live,20,5,100
modoc,6/25/2020,9,mm,pipo,live,20,4,80
modoc,6/25/2020,11,mm,pipo,live,20,7,140
modoc,6/25/2020,11,mm,abco,live,20,1,20
modoc,6/25/2020,13,mm,abco,live,20,4,80
modoc,6/25/2020,13,mm,pipo,live,20,4,80
modoc,6/26/2020,15,pm,pipo,live,10,6,60
modoc,6/26/2020,15,pm,abco,live,10,3,30
modoc,6/26/2020,17,pm,pipo,live,10,3,30
modoc,6/26/2020,17,pm,cade,live,10,2,20
modoc,6/26/2020,19,pm,pipo,live,20,4,80
modoc,6/26/2020,19,pm,cade,live,20,1,20
modoc,6/26/2020,19,pm,abco,live,20,1,20
modoc,6/26/2020,21,km,pipo,live,20,5,100
modoc,6/26/2020,21,km,pila,dead,20,1,20
modoc,6/26/2020,21,km,abco,live,20,2,40
modoc,6/27/2020,23,mm,pipo,live,20,3,60
modoc,6/27/2020,23,mm,abco,live,20,2,40
modoc,6/23/2020,modoc02,ag,abco,live,20,7,140
modoc,6/23/2020,modoc02,ag,pila,live,20,2,40
modoc,6/23/2020,modoc02,ag,cade,live,20,1,20
modoc,6/23/2020,modoc02,ag,pila,dead,20,1,20
modoc,6/23/2020,modoc02,ag,pipo,live,20,1,20
modoc,6/23/2020,modoc04,pm,abco,live,20,3,60
modoc,6/23/2020,modoc04,pm,abco,dead,20,1,20
modoc,6/23/2020,modoc04,pm,cade,live,20,1,20
modoc,6/23/2020,modoc04,pm,pipo,live,20,4,80
modoc,6/23/2020,modoc04,pm,pipo,dead,20,1,20
modoc,6/24/2020,modoc06,jw,pipo,live,20,10,200
modoc,6/24/2020,modoc06,jw,abco,live,20,2,40
modoc,6/24/2020,modoc07,ag,pipo,live,20,3,60
modoc,6/24/2020,modoc07,ag,abco,live,20,3,60
modoc,6/24/2020,modoc07,ag,cade,live,20,1,20
modoc,6/24/2020,modoc08,ag,pipo,live,20,2,40
modoc,6/24/2020,modoc08,ag,abco,live,20,1,20
modoc,6/25/2020,modoc10,ag,abco,live,20,2,40
modoc,6/25/2020,modoc10,ag,abco,dead,20,4,80
modoc,6/25/2020,modoc10,ag,pipo,dead,20,2,40
modoc,6/25/2020,modoc12,ag,abco,live,20,5,100
modoc,6/25/2020,modoc12,ag,pipo,live,20,2,40
modoc,6/25/2020,modoc12,ag,cade,live,20,1,20
modoc,6/25/2020,modoc14,ag,abco,live,20,8,160
modoc,6/25/2020,modoc14,ag,pipo,live,20,3,60
modoc,6/26/2020,modoc16,mm,abco,live,20,3,60
modoc,6/26/2020,modoc16,mm,pipo,live,20,3,60
modoc,6/26/2020,modoc18,ag,cade,live,20,4,80
modoc,6/26/2020,modoc18,ag,pipo,live,20,1,20
modoc,6/26/2020,modoc18,ag,pipo,dead,20,1,20
modoc,6/26/2020,modoc18,ag,abco,live,20,1,20
modoc,6/26/2020,modoc20,ag,cade,live,20,5,100
modoc,6/26/2020,modoc20,ag,pipo,live,20,3,60
modoc,6/26/2020,modoc22,ag,pipo,live,20,4,80
modoc,6/26/2020,modoc22,ag,abco,live,20,6,120
modoc,6/27/2020,modoc24,km,abco,live,20,1,20
modoc,6/27/2020,modoc24,km,pipo,live,20,3,60
modoc,6/27/2020,modoc24,km,cade,live,20,1,20
modoc,6/27/2020,modoc26,km,abco,live,20,3,60
modoc,6/27/2020,modoc26,km,pipo,dead,20,1,20
modoc,6/27/2020,modoc28,km,cade,live,10,5,50
modoc,6/27/2020,modoc28,km,pipo,live,10,2,20
modoc,6/27/2020,modoc28,km,abco,live,10,1,10
