Site,Date,Plot ID,Observers,X,Y,Burn (y/n),FireSeverity,NearestRegen(m),NearestRegen(species),NearestSeedSource1(m),NearestSeedSource1(species),NearestSeedSource2(m),NearestSeedSource2(species),NearestSeedSource3(m),NearestSeedSource3(species),Slope%,Aspect_degree,HorizontalShape,VerticalShape,SlopePosition,ExistingVeg (Top3TOV),WTreeDistance_m,WTreeAzimuth_deg,WTreeTagNo,TOT VEG (%),TOT(%)all,TOT_modHT(m),DT(%)all,DT_modHT(m),TOV(%)>1.8m live,TOV_modHT(m),TSA(%)<1.8m live,TSA_modHT(m),TSE(%),TSE_modHT(m),TRE(%),TRE_modHT(m),TOS(%),TOS_modHT(m),DS(%),DS_modHT(m),ST(%) >6.1ft,ST_modHT(m),6.1ft> SM(%) >1.6ft,SM_modHT(m),SL(%) <1.6ft,SL_modHT(m),TOF(%),TOF_modHT(m),TOG(%),TOG_modHT(m),BARESOIL,LITTER,WOOD,CONES% / dom spp.,Bedrock,SMROCK (2-600mm),ROCK (>600mm),ASH,BASALVEG,MOSS/LICHEN,RD,Total Ground Cover (%) ,Photos,History,NOTES,
modoc,6/23/2020,1,"jw, vs, mm",630008,4592280,no,,,,,,,,,,2,24,LL,LL,VB,"pipo, cade, abco",2,83,35,30,18,22,1,14,18,22,tr,2,tr,0.05,0,na,20,0.25,tr,0.4,0,na,2,0.8,20,0.25,tr,0.1,tr,0.2,tr,94,5,1/pipo,0,tr,0,0,1,tr,0,100,yes,,,
modoc,6/23/2020,2,"ag, pm, km",630235,4592163,no,,,,,,,,,,4,280,LL,LL,,"abco, pije, cade",5.5,13,301,75,75,,tr,,75,,15,,tr,,0,na,tr,0.4,0,na,0,na,0,na,tr,0.4,1,0.2,tr,0.3,tr,98,1,tr,0,tr,tr,0,1,tr,0,100,yes,,declination 14.5 changed!!,
modoc,6/23/2020,3,"jw, vs, mm",630475,4592239,no,,,,,,,,,,2,8,LL,LL,VB,"pipo, cade, abco",9.7,190,42,35,28,28,tr,33,28,28,tr,2.2,tr,0.4,0,na,tr,0.4,0,na,0,na,tr,0.5,tr,0.2,tr,0.2,tr,0.3,1,94,4,tr,0,tr,0,0,1,tr,0,100,yes,,,
modoc,6/23/2020,4,"ag, pm, km",630739,4592163,no,,,,,,,,,,2,128,LL,LL,,"pipo, abco, cade",2.29,28,341,30,30,,tr,2,30,,tr,4,tr,0.1,0,na,1,0.6,tr,0.5,0,na,tr,0.6,tr,0.1,tr,0.4,tr,0.2,tr,96.75,1.5,0.75,0,tr,0,0,1,tr,0,100,yes,,black bear babe :),
modoc,6/24/2020,5,"km,vs, pm",630243,4591673,no,,,,38,cade,,,,,5,181,LL,LL,VB,"abco, cade, pipo",8.1,17,351,75,75,,tr,tr,70,,12,3.5,tr,0.1,0,na,tr,0.1,0,na,0,na,0,,tr,0.1,tr,0.1,0,,tr,73.5,25,tr,0,tr,tr,0,1.5,tr,0,100,yes,,,
modoc,6/24/2020,6,"ag, jw, mm",630488,4591705,no,,,,,,,,,,5,28,LL,LL,,"pipo, abco, cade",7,7,52,65,65,,0,,65,,tr,2,tr,0.05,0,na,tr,0.5,0,na,0,na,tr,0.6,tr,0.5,tr,,tr,,0,97.25,1.5,0.5,0,tr,tr,0,0.75,tr,0,100,yes,,,
modoc,6/24/2020,7,"ag, mm",630353,4591901,no,,,,,,,,,,5,64,LL,LL,,"pipo, cade, abco",2,2,59,32,30,,0,na,30,,0,na,tr,,0,na,2,0.2,tr,0.3,0,na,tr,0.7,2,0.3,tr,0.02,tr,0.2,tr,90.5,2,tr,5,tr,2,0,0.5,tr,0,100,yes,masticated,lots o grazing,
modoc,6/24/2020,8,"ag, mm",630598,4592034,no,,,,,,,,,,9,318,LL,LL,,"pipo, abco, cade",4,83,69,20,20,,0,na,20,,2,3,tr,0.5,0,na,2,0.25,7,0.4,0,na,tr,0.6,2,0.25,1,0.1,1,0.1,3,93,0.5,tr,tr,tr,3,0,0.5,tr,0,100,yes,masticated,,
modoc,6/25/2020,9,"km, vs, mm",626860,4589712,yes,,,,20.5,cade,,,,,0.5,274,LL,LL,VB,"abco, pipo, carex1",9,18,76,13,22,,tr,21,22,,0,na,tr,0.1,0,na,tr,0.05,tr,0.2,0,na,tr,0.5,tr,0.05,tr,0.5,2,0.4,tr,90,9,tr,0,tr,0,tr,1,tr,0,100,yes,,,
modoc,6/25/2020,10,"ag, pm",627009,4589884,no,,,,,,,,,,2,342,LL,LL,,"abco, cade, pipo",9,101,382,26,7,,20,,7,,0,na,3,0.05,tr,0.2,2,0.025,0,na,0,na,0,na,2,0.025,6,0.3,10,0.6,4.5,93,tr,tr,0,tr,1.5,tr,1,tr,0,100,yes,2018 burn,grazing lots og deer poop,
