Site,Date,Plot ID,Observers,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_HT(m),TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_DBH(of tallest),TRE_Age(Of Tallest),,NOTES
modoc,23-Jun,1,vs,abco,live,TSE,8,,0,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,65,,1,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,31,,2,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,4,,3,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,2,,4,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,2,,6,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,1,,7,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,2,,9,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,2,,0,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,29,,1,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,20,,2,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,6,,3,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,1,,4,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,2,,5,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,1,,10,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,7,,0,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,37,,1,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,19,,2,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,1,,3,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,1,,6,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,6,,7,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,2,,0,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,6,,1,,,,,,,,
modoc,23-Jun,1,vs,pipo,live,TSE,1,,2,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,33,,0,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,34,,1,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,23,,2,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,3,,3,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,9,,4,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,5,,5,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,16,,6,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,8,,7,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSE,2,,10,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,353,,0,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,18,,1,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,22,,2,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,6,,3,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,7,,4,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,4,,5,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,8,,6,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,10,,7,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,3,,8,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,5,,9,,,,,,,,
modoc,23-Jun,1,vs,cade,live,TSE,12,,10,,,,,,,,
modoc,23-Jun,1,vs,abco,live,TSA,,,,3.4,2.5,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,7,,0,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,37,,1,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,19,,2,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,1,,3,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,0,,4,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,0,,5,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,1,,6,,,,,,,,
modoc,23-Jun,3,vs,pipo,live,TSE,6,,7,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,8,,0,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,65,,1,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,31,,2,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,4,,3,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,2,,4,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,0,,5,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,2,,6,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,1,,7,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,0,,8,,,,,,,,
modoc,23-Jun,3,vs,abco,live,TSE,2,,9,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,2,,0,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,29,,1,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,20,,2,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,6,,3,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,1,,4,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,2,,5,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,0,,6,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,0,,7,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,0,,8,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,0,,9,,,,,,,,
modoc,23-Jun,3,vs,cade,dead,TSE,2,,,,,,,,,,
modoc,23-Jun,3,vs,cade,live,TSE,1,,10,,,,,,,,
modoc,23-Jun,3,vs,na,,TSA,,,,n/a,,,,,,,
modoc,24-Jun,5,vs,cade,live,TSE,1,,0,,,,,,,,
modoc,24-Jun,5,vs,cade,live,TSE,1,,1,,,,,,,,
modoc,24-Jun,5,vs,cade,live,TSE,4,,3,,,,,,,,
modoc,24-Jun,5,vs,cade,live,TSE,1,,4,,,,,,,,
modoc,24-Jun,5,vs,cade,live,TSE,1,,8,,,,,,,,
modoc,24-Jun,5,vs,cade,live,TSE,2,,10,,,,,,,,
modoc,24-Jun,5,vs,abco,live,TSE,1,,10,,,,,,,,
modoc,24-Jun,5,vs,abco,live,TSA,,,,5.5,6,,,,,,
modoc,24-Jun,5,vs,abco,live,TSA,,,,7,8,,,,,,
modoc,24-Jun,5,vs,abco,live,TSA,,,,4,4,,,,,,
modoc,24-Jun,5,vs,abco,live,TSA,,,,3.5,4,,,,,,
modoc,24-Jun,5,vs,abco,live,TSA,,,,7.5,8.2,,,,,,
modoc,6/25/2020,9,vs,abco,live,TSE,7,,0,,,,,,,,
modoc,6/25/2020,9,vs,abco,live,TSE,144,,1,,,,,,,,
modoc,6/25/2020,9,vs,abco,live,TSE,30,,2,,,,,,,,
modoc,6/25/2020,9,vs,cade,live,TSE,10,,1,,,,,,,,
modoc,6/25/2020,9,vs,cade,live,TSE,2,,2,,,,,,,,
modoc,6/25/2020,9,vs,pipo,live,TSE,4,,1,,,,,,,,
modoc,6/25/2020,11,vs,abco,live,TSE,20,,1,,,,,,,,
modoc,6/25/2020,11,vs,,,,3,,2,,,,,,,,
modoc,6/25/2020,13,vs,abco,live,TSE,13,,0,,,,,,,,
modoc,6/25/2020,13,vs,abco,live,TSE,385,,1,,,,,,,,
modoc,6/25/2020,13,vs,abco,live,TSE,1,,2,,,,,,,,
modoc,6/25/2020,13,vs,abco,live,TSE,1,,5,,,,,,,,
modoc,6/25/2020,13,vs,abco,live,TSE,1,,7,,,,,,,,
modoc,6/25/2020,13,vs,abco,live,TSE,1,,10,,,,,,,,
modoc,6/25/2020,13,vs,pipo,live,TSE,5,,0,,,,,,,,
modoc,6/25/2020,13,vs,pipo,live,TSE,7,,1,,,,,,,,
modoc,6/26/2020,15,vs,pipo,live,TSE,7,,1,,,,,,,,
modoc,6/26/2020,17,vs,cade,live,TSE,1,,0,,,,,,,,
modoc,6/26/2020,17,vs,cade,live,TSE,4,,1,,,,,,,,
modoc,6/26/2020,17,vs,cade,live,TSE,1,,2,,,,,,,,
modoc,6/26/2020,19,vs,pipo,live,TSE,2,,1,,,,,,,,
modoc,6/26/2020,21,vs,abco,live,TSE,2,,1,,,,,,,,
modoc,6/27/2020,23,vs,abco,live,TSE,1,,0,,,,,,,,
