Site,Date,Plot ID,Observers,Tag#,Status,SPP,DBH(cm),Height(m),HTtoCrown_live(m),HTtoCrown_Dead(m),CrownWidth,Stump Diameter (cm),Stump Height (m),Decay,ScorchHT,Scorch(%),TorchHT,Torch(%),BoleCharHT,Resprouting?,Notes
Modoc,6/23/2020,modoc01,JNW,35,live,ABCO,39.1,21,2,,5,,,,,,,,,,"WITNESS TREE. 2m fom center, AZ=290"
Modoc,6/23/2020,modoc01,JNW,36,live,ABCO,34.9,22,4,1.4,4.5,,,,,,,,,,
Modoc,6/23/2020,modoc01,JNW,37,live,PIPO,93.6,45,15,10,7,,,,,,,,,,
Modoc,6/23/2020,modoc01,JNW,38,live,PIPO,51.1,29,12,9,4,,,,,,,,,,
Modoc,6/23/2020,modoc01,JNW,39,live,CADE,9,4,1,,3,,,,,,,,,,
Modoc,6/23/2020,modoc01,JNW,40,live,ABCO,57.1,30,5,2.5,6,,,,,,,,,,
Modoc,6/23/2020,modoc01,JNW,41,live,PIPO,35,23,8,3,3.2,,,,,,,,,,
Modoc,6/23/2020,modoc01,JNW,,dead,ABCO,39.7,22,,3.5,,,,1,,,,,,,
Modoc,6/23/2020,modoc01,JNW,,dead,ABCO,14.3,9,,3,,,,1,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",301,live,abco,21.8,15,3.5,0.4,3,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",302,live,abco,11.4,7,5,0.5,2.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",303,live,abco,36.8,20,12,7,3,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",,dead,abco,11.2,6,na,2,na,,,1,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",304,live,pipo,25.5,17,14,15,1,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",305,live,abco,10.5,7,1.4,0.4,2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",306,live,abco,37.2,20,14,4,2.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",307,live,abco,24.4,17,10,0.6,2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",,dead,abco,13.2,10,na,1.8,na,,,1,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",308,live,abco,39.1,21,15,4,4,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",309,live,abco,42.8,20,15,13,3.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",310,live,abco,11.9,8,6.5,0.5,1.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",311,live,abco,14,11.9,3,0.5,1,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",312,live,abco,15.5,12,6.9,1,2.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",313,live,abco,18.5,12.5,4.8,0.5,2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",314,live,abco,10,8.2,3,0.5,2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",315,live,abco,14.5,9.3,2.6,1.1,3,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",316,live,abco,35.1,18.4,4.4,2.9,3.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",317,live,abco,13.7,10.9,5,0.55,2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",318,live,abco,14.4,11.2,5.7,0.7,1.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",319,live,cade,14,8.8,3,0.4,3,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",320,live,pipo,10.4,5.8,2.4,0.03,2.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",321,live,abco,46.6,24,7.8,0.5,6,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",322,live,abco,81.4,34,10.7,0.3,4,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",323,live,abco,19.5,10.3,4.2,0.6,4,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",324,live,abco,15.6,5.5,0.6,0.4,2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",325,live,abco,7.7,4.2,0.5,0,1.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",326,live,pipo,9.2,6.2,3,0.5,1.5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",327,live,pipo,9.3,6.3,2,0.7,1.2,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",328,live,cade,9.4,6,3,0.1,1.8,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",329,live,abco,41.7,35.5,6,1.1,5,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",330,live,pipo,8.6,5,3.7,1.8,0.75,,,,,,,,,,
modoc,6/23/2020,modoc02,"km, pm",331,live,abco,10.6,5.5,2,0,1.7,,,,,,,,,,
