Site,Plot ID,X,Y
modoc,2,630235,4592163
modoc,4,630739,4592163
modoc,6,630488,4591705
modoc,7,630353,4591901
modoc,8,630598,4592034
modoc,10,627009,4589884
modoc,12,626692,4589860
modoc,14,627007,4590112
modoc,16,627251,4590984
modoc,18,627129,4590669
modoc,20,626958,4590460
modoc,22,626486,4589883
modoc,24,627413,4591052
modoc,26,626879,4591706
modoc,28,626760,4591545
modoc,1,630008,4592280
modoc,3,630475,4592239
modoc,5,630243,4591673
modoc,9,626860,4589712
modoc,11,626633,4589741
modoc,13,626853,4589967
modoc,15,627120,4590813
modoc,17,626948,4590880
modoc,19,626726,4590503
modoc,21,626636,4589981
modoc,23,627436,4591246
modoc,25,626811,4591915
modoc,27,626694,4591741
