plotid,TSLF,burn_unit,burn
springs1,nopriorburn,alpha,yes
springs10,nopriorburn,foxtrot,yes
springs11,2007rx,charlie,yes
springs12,2007rx,charlie,yes
springs13,2007rx,charlie,yes
springs14,2007rx,charlie,yes
springs15,2007rx,delta,yes
springs16,2007rx,delta,yes
springs17,2007rx,delta,yes
springs18,nopriorburn,alpha,yes
springs19,nopriorburn,alpha,yes
springs2,nopriorburn,bravo,yes
springs20,nopriorburn,alpha,yes
springs21,nopriorburn,alpha,yes
springs22,nopriorburn,alpha,yes
springs23,nopriorburn,alpha,yes
springs24,nopriorburn,alpha,yes
springs25,nopriorburn,alpha,yes
springs26,2010rx,golf,yes
springs27,2010rx,golf,yes
springs28,2010rx,golf,yes
springs29,2010rx,golf,yes
springs3,nopriorburn,bravo,yes
springs30,2010rx,golf,yes
springs37,nopriorburn,hotel,yes
springs38,2013rx,hotel,yes
springs39,2013rx,hotel,yes
springs4,nopriorburn,bravo,yes
springs40,nopriorburn,hotel,yes
springs41,control,controlA,no
springs42,control,controlA,no
springs43,control,controlA,no
springs44,control,controlA,no
springs45,control,controlA,no
springs46,control,controlB,no
springs47,control,controlB,no
springs48,control,controlB,no
springs49,control,controlB,no
springs5,nopriorburn,echo,yes
springs50,control,controlB,no
springs51,control,controlB,no
springs6,nopriorburn,foxtrot,yes
springs7,nopriorburn,foxtrot,yes
springs8,nopriorburn,foxtrot,yes
springs9,nopriorburn,foxtrot,yes
