site,plotid,year,pre_post_fire,fuel_type_size,mass_ton_acre,mass_mg_ha,burn,burn_unit,priorburn_rx,PriorBurn
springsfire,springs1,2019,postfire,mass_1hr,0.00726634097560976,0.00324078807512195,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,mass_10hr,0.278142058536585,0.124051358107317,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,mass_100hr,0,0,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,mass_cwd_sound,0.90012674226396,0.401456527049726,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,mass_cwd_rotten,0,0,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,avg_litter,0.40625,0.1811875,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,avg_duff,0.50625,0.2257875,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,avg_fueldepth,,,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,postfire,total_fuel,1.18553514177615,0.528748673232165,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,mass_1hr,0.0145326819512195,0.0064815761502439,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,mass_10hr,1.18210374878049,0.527218271956098,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,mass_100hr,1.10679365853659,0.493629971707317,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,mass_cwd_sound,1.180803312358,0.526638277311669,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,mass_cwd_rotten,0,0,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,avg_litter,3.88125,1.7310375,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,avg_duff,3.38125,1.5080375,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,avg_fueldepth,,,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2019,prefire,total_fuel,3.4842334016263,1.55396809712533,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,mass_1hr,0.0108995114634146,0.00486118211268293,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,mass_10hr,0.139071029268293,0.0620256790536585,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,mass_100hr,0,0,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,mass_cwd_sound,0,0,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,mass_cwd_rotten,0,0,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,avg_litter,0.1375,0.061325,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,avg_duff,0.075,0.03345,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,avg_fueldepth,0.325,0.14495,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs1,2020,postfire,total_fuel,0.149970540731707,0.0668868611663415,yes,alpha,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,mass_1hr,0.0726634097560976,0.0324078807512195,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,mass_10hr,0.278142058536585,0.124051358107317,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,mass_100hr,0.553396829268293,0.246814985853659,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,mass_cwd_sound,0.386307537333736,0.172293161650846,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,mass_cwd_rotten,5.52299057281826,2.46325379547694,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,avg_litter,2,0.892,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,avg_duff,0.025,0.01115,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,avg_fueldepth,,,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2019,prefire,total_fuel,6.81350040771297,3.03882118183999,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,mass_1hr,0.0399648753658537,0.0178243344131707,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,mass_10hr,0,0,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,mass_100hr,0.276698414634146,0.123407492926829,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,mass_cwd_sound,0,0,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,mass_cwd_rotten,0,0,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,avg_litter,2,0.892,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,avg_duff,0,0,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,avg_fueldepth,4.4375,1.979125,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs10,2020,postfire,total_fuel,0.31666329,0.14123182734,yes,foxtrot,NoPriorBurn,NoPriorBurn
springsfire,springs11,2019,postfire,mass_1hr,0,0,yes,charlie,rx2007_fall,PriorBurn
springsfire,springs11,2019,postfire,mass_10hr,0.695355146341463,0.310128395268293,yes,charlie,rx2007_fall,PriorBurn
