plot_id,litter_duff,depth_cm
springs1,mean_litter,3.88125
springs1,mean_duff,3.38125
springs10,mean_litter,2
springs10,mean_duff,0.025
springs11,mean_litter,2.0125
springs11,mean_duff,1.13125
springs12,mean_litter,1.3875
springs12,mean_duff,1.0125
springs13,mean_litter,0.8875
springs13,mean_duff,0.75
springs14,mean_litter,0.3875
springs14,mean_duff,0.38125
springs15,mean_litter,1.69375
springs15,mean_duff,0.28125
springs16,mean_litter,1.38125
springs16,mean_duff,0.375
springs17,mean_litter,0.65625
springs17,mean_duff,0.2625
springs18,mean_litter,1.8875
springs18,mean_duff,1.0625
springs19,mean_litter,1.94375
springs19,mean_duff,1.875
springs2,mean_litter,1.15
springs2,mean_duff,1.5125
springs20,mean_litter,1.4375
springs20,mean_duff,1.25625
springs21,mean_litter,3.375
springs21,mean_duff,1.125
springs22,mean_litter,0.40625
springs22,mean_duff,2.375
springs23,mean_litter,4.125
springs23,mean_duff,0
springs24,mean_litter,3.0625
springs24,mean_duff,0.9
springs25,mean_litter,1.1375
springs25,mean_duff,1.5
springs26,mean_litter,2.075
springs26,mean_duff,2.38125
springs27,mean_litter,2.25625
springs27,mean_duff,1.64375
springs28,mean_litter,1.875
springs28,mean_duff,0
springs29,mean_litter,2.075
springs29,mean_duff,0.025
springs3,mean_litter,1.63125
springs3,mean_duff,1.13125
springs30,mean_litter,3
springs30,mean_duff,2
springs31,mean_litter,1.7
springs31,mean_duff,0.5125
springs37,mean_litter,1.88125
springs37,mean_duff,3.00625
springs38,mean_litter,1.75
springs38,mean_duff,1
springs39,mean_litter,1.7625
springs39,mean_duff,0.13125
springs4,mean_litter,0.89375
springs4,mean_duff,0.38125
springs40,mean_litter,1.03125
springs40,mean_duff,0.625
springs5,mean_litter,1.64375
springs5,mean_duff,2.75625
springs6,mean_litter,0.8875
springs6,mean_duff,0.125
springs7,mean_litter,1.5875
springs7,mean_duff,3.1875
springs8,mean_litter,2.575
springs8,mean_duff,1.3125
springs9,mean_litter,1.75
springs9,mean_duff,1.2625
