plot_id,species_id,status,total_tse_count,avg_tse_ht,tse_count_acre,treatment_type
springs11,pije,live,5,0.0466666666666667,50,2007rx
springs12,pije,live,13,6,130,2007rx
springs13,pije,live,1,16,10,2007rx
springs14,pije,live,8,0.06,80,2007rx
springs15,pije,live,1,6,10,2007rx
springs16,pico,live,8,4.5,80,2007rx
springs16,pije,live,37,7.16666666666667,370,2007rx
springs17,pico,live,1,5,10,2007rx
springs17,pije,live,23,9.75,230,2007rx
springs18,pije,live,5,13.25,50,control
springs19,pico,live,2,6,20,control
springs2,pije,live,2,0.525,20,control
springs20,pije,live,25,19.1428571428571,250,control
springs21,pije,live,2,11.5,20,control
springs22,pije,live,3,16,30,control
springs23,pije,live,12,6,120,control
springs24,pije,live,4,7.66666666666667,40,control
springs26,pico,live,1,6,10,2010rx
springs27,pico,live,8,4,80,2010rx
springs28,pije,dead,1,50,10,2010rx
springs29,pije,live,15,10,150,2010rx
springs3,pije,live,5,69.75,50,control
springs30,pije,live,2,92.5,20,2010rx
springs38,pico,live,1,5,10,2013rx
springs38,pije,live,5,6.75,50,2013rx
springs39,pico,live,4,6.5,40,2013rx
springs4,pije,live,1,20,10,control
springs40,pije,live,1,0.48,10,control
springs5,pije,live,2,0.555,20,control
springs6,pico,live,4,82,40,control
springs7,pico,live,5,110.75,50,control
springs8,pije,live,1,0.17,10,control
springs9,pico,live,1,5,10,control
