plotid_time,antros,BOEPLA,ARAHOL,boechera,artr,boragespp,calumb,casapp,mimnan,elci,ELYELY,ELYMUL,eridav,eridis,ERILAN,erinud,erisuf,eriumb,erycap,gaydif,gayram,grass19,liapun,luparb,luparg,luplep,penspe,phabol,phahas,purtri,rice,steexi,steten,symrot,ANTROS,ARTR,boechera1,boechera2,boechera3,BROTEC,carex,carex1,carex2,cryptanthasmall,cryptanthatall,MIMNAN,ELYGLA,ERIDIS,ERINUD,ERISPU,ERISUF,ERIUMB,ERIWIL,ERYCAP,GAYDIF,GAYRAM,LIAPUN,LUPARB,LUPARG,LUPDUR,lupine,LUPLEP,mycroseris,PENPAT,penstemon,PHAHAS,PRUNUS,PURTRI,RIVI,SPEARV,STEEXI,stipa,stipa1,stipa2,SYMROT
springs12 prefire,0.05,0.05,0.05,0,0,0,0,0.05,0,2,1,0,0,0,0.05,0.05,0.05,0,0,0.05,0,0,0.5,0,12,0.05,0.05,0,0.05,3.5,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs11 prefire,0,0.05,0.05,0,0,0,0,0,0,1.5,2,0.05,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0.5,0.05,11,0.05,0,0,0.05,4,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs28 prefire,0,0.05,0.05,0,0.1,0,0,0,0,0.05,2,0,0,0,0,0.05,0,0.05,0,0.05,0.05,0,0.05,0,0.05,0.05,0,0.05,0.05,1.05,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs29 prefire,0,0.05,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,1,0,0,0,0,0,0.05,5,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs5 prefire,0,0,0.05,0,0,0.05,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs1 prefire,0,0,0.05,0,15,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0.05,0,0,13,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs2 prefire,0,0,0.1,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,1,0.05,1,0,0,0,0,25,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs3 prefire,0,0,0.1,0,0.1,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,35,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs7 prefire,0,0,0.05,0,0,0,0,0,0,0.05,2,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs8 prefire,0,0,0.05,0,0.1,0,0,0,0,0.05,1,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0.05,12,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs9 prefire,0,0,0.05,0,0,0,0.05,0,0,0.05,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0,0,0.05,0,0.05,0.05,0,0,0.05,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
