plotid,diam_class,priorburn_rx,condition,n_trees_ha,NRV,NRV_upper,NRV_lower
spings32,[20-40],NA,n_treesPreFireHa,4.05,41.1,23.5,58.7
spings32,[20-40],NA,n_treesPostFireha,,41.1,23.5,58.7
spings32,[40-60],NA,n_treesPreFireHa,8.1,29.2,23.6,34.8
spings32,[40-60],NA,n_treesPostFireha,,29.2,23.6,34.8
springs1,[20-40],NoPriorBurn,n_treesPreFireHa,24.3,41.1,23.5,58.7
springs1,[20-40],NoPriorBurn,n_treesPostFireha,24.3,41.1,23.5,58.7
springs1,[40-60],NoPriorBurn,n_treesPreFireHa,16.2,29.2,23.6,34.8
springs1,[40-60],NoPriorBurn,n_treesPostFireha,16.2,29.2,23.6,34.8
springs1,[60-80],NoPriorBurn,n_treesPreFireHa,4.05,18.3,15.3,21.3
springs1,[60-80],NoPriorBurn,n_treesPostFireha,4.05,18.3,15.3,21.3
springs10,[<20],NoPriorBurn,n_treesPreFireHa,12.15,31.7,10.6,52.8
springs10,[<20],NoPriorBurn,n_treesPostFireha,12.15,31.7,10.6,52.8
springs10,[20-40],NoPriorBurn,n_treesPreFireHa,8.1,41.1,23.5,58.7
springs10,[20-40],NoPriorBurn,n_treesPostFireha,12.15,41.1,23.5,58.7
springs10,[40-60],NoPriorBurn,n_treesPreFireHa,20.25,29.2,23.6,34.8
springs10,[40-60],NoPriorBurn,n_treesPostFireha,16.2,29.2,23.6,34.8
springs10,[60-80],NoPriorBurn,n_treesPreFireHa,12.15,18.3,15.3,21.3
springs10,[60-80],NoPriorBurn,n_treesPostFireha,8.1,18.3,15.3,21.3
springs11,[>100],rx2007_fall,n_treesPreFireHa,4.05,7.7,0,17.6
springs11,[>100],rx2007_fall,n_treesPostFireha,4.05,7.7,0,17.6
springs11,[20-40],rx2007_fall,n_treesPreFireHa,12.15,41.1,23.5,58.7
springs11,[20-40],rx2007_fall,n_treesPostFireha,12.15,41.1,23.5,58.7
springs11,[40-60],rx2007_fall,n_treesPreFireHa,4.05,29.2,23.6,34.8
springs11,[40-60],rx2007_fall,n_treesPostFireha,4.05,29.2,23.6,34.8
