plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha,plotid
springs1 postfire 1yr,live,PIJE,1.549223992,11,41.52272727,64,32.3,5.5,15.5,2.118181818,44.51546,6.269492603,springs1 postfire 1yr
springs2 postfire 1yr,live,PIJE ,0.765639116,6,39.73333333,52,30.6,3.466666667,12.9,,24.28116,3.098434315,springs2 postfire 1yr
springs3 postfire 1yr,live,PIJE,0.292376247,2,42.05,51.7,32.4,7,12.5,3.25,8.09372,1.18320574,springs3 postfire 1yr
springs3 postfire 1yr,live,PIJE ,1.134568123,8,39.8875,71.3,26.9,4.9375,12.375,1.575,32.37488,4.591438353,springs3 postfire 1yr
springs4 postfire 1yr,live,PIJE ,0.399498274,3,41.16666667,42,39.9,2.666666667,12.66666667,1,12.14058,1.616713583,springs4 postfire 1yr
springs5 postfire 1yr,live,PIJE ,1.457141359,5,59.96,69.3,43.6,4.7,18.2,2.2,20.2343,5.896847078,springs5 postfire 1yr
springs6 postfire 1yr,dead,PICO,0.030034411,3,10.63333333,16,7.9,,5.366666667,0.633333333,12.14058,0.121545057,springs6 postfire 1yr
springs6 postfire 1yr,live,PICO,1.274218199,26,20.54615385,67.1,7.5,3.015384615,8.992307692,0.630769231,105.21836,5.156582662,springs6 postfire 1yr
springs7 postfire 1yr,dead,PICO,0.010386891,1,11.5,11.5,11.5,,10.2,,4.04686,0.042034293,springs7 postfire 1yr
springs7 postfire 1yr,live,PICO,1.873119642,17,33.07058824,72.2,14.3,4.164705882,13.38823529,,68.79662,7.580252954,springs7 postfire 1yr
springs8 postfire 1yr,dead,PICO,0.088901574,3,17.83333333,28.7,11.8,,9.3,0.466666667,12.14058,0.359772225,springs8 postfire 1yr
springs8 postfire 1yr,dead,PIJE,0.020631624,2,11.15,13.8,8.5,,4.1,0.55,8.09372,0.083493295,springs8 postfire 1yr
springs8 postfire 1yr,live,PICO,0.784982688,4,48.475,59.7,28.6,5.625,15.675,0.95,16.18744,3.17671504,springs8 postfire 1yr
springs8 postfire 1yr,live,PIJE,0.888974117,8,33.4125,58.6,10.2,5.6625,10.825,1.1125,32.37488,3.597553795,springs8 postfire 1yr
springs9 postfire 1yr,dead,PICO,0.421770595,4,26.725,69.1,7.8,,9.25,0.45,16.18744,1.706846549,springs9 postfire 1yr
springs9 postfire 1yr,live,PICO,0.572150781,10,25.57,44.4,14.5,2.465,10.14,0.27,40.4686,2.31541411,springs9 postfire 1yr
springs1 prefire na,live,pije,1.511997493,11,40.99090909,63.5,31.6,4.918181818,14.19090909,,44.51546,6.118842176,springs1 prefire na
springs1 prefire na,stump,pije,,15,,,,,,,60.7029,,springs1 prefire na
springs10 postfire 1yr,dead,PICO,0.005026548,1,8,8,8,2,5.5,1.2,4.04686,0.020341737,springs10 postfire 1yr
springs10 postfire 1yr,live,PICO,1.68966791,10,42.2,75.9,13.7,2.83,15.42,1.15,40.4686,6.837849477,springs10 postfire 1yr
springs10 postfire 1yr,live,PIJE,0.111938873,2,25.15,34.1,16.2,2.95,11.55,1.8,8.09372,0.453000949,springs10 postfire 1yr
springs10 prefire na,live,pico,1.700980785,11,39.25454545,75.3,8.1,2.618181818,13.78181818,0.731818182,44.51546,6.883631099,springs10 prefire na
springs10 prefire na,live,pije,0.10955519,2,24.9,33.7,16.1,2.5,11.1,1.25,8.09372,0.443354515,springs10 prefire na
springs11 postfire 1yr,live,PIJE,1.189438395,5,49.44,94.3,28.1,7,15.6,2.46,20.2343,4.813490661,springs11 postfire 1yr
springs11 prefire na,live,pije,1.177666062,5,49.14,94,27.9,6.46,15.4,2.88,20.2343,4.765849678,springs11 prefire na
springs11 prefire na,stump,pije,,6,,,,,,,24.28116,,springs11 prefire na
springs12 postfire 1yr,live,PIJE,1.335638692,9,41.84444444,67.3,30.7,7.222222222,15.11111111,2.311111111,36.42174,5.405142797,springs12 postfire 1yr
springs12 prefire na,live,pije,1.328017188,9,41.86666667,66.6,30.7,,,,36.42174,5.374299638,springs12 prefire na
springs12 prefire na,stump,pije,,5,,,,,,,20.2343,,springs12 prefire na
springs13 postfire 1yr,live,PIJE,0.414257476,5,29.18,41.5,8.8,2.98,8.92,0.594,20.2343,1.676442009,springs13 postfire 1yr
springs13 prefire na,live,pije,0.40220397,5,28.92,40.9,9.6,1.79,8.33,0.95,20.2343,1.627663159,springs13 prefire na
springs13 prefire na,stump,pije,,2,,,,,,,8.09372,,springs13 prefire na
springs14 postfire 1yr,live,PIJE,1.282122446,10,38.31,69.9,23.8,6.9,14.1,2.57,40.4686,5.188570044,springs14 postfire 1yr
