site,year,plot_id,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
springsfire,2019,springs1,0,0,2,2,4,11.3,2,1,0,0,0,1,1,
springsfire,2019,springs1,180,0,2,2,4,11.3,0,3,0,0,0.05,1,2,
springsfire,2019,springs1,90,0,2,2,4,11.3,0,0,0,0,0.05,1,0.05,
springsfire,2019,springs1,270,0,2,2,4,11.3,0,0,0,1,0.05,0.05,0.05,
springsfire,2019,springs2,0,0,2,2,4,11.3,2,3,5,1,3,1,2,
springsfire,2019,springs2,180,0,2,2,4,11.3,2,0,0,0,0.05,0,0.05,
springsfire,2019,springs2,90,0,2,2,4,11.3,13,2,0,0,0,0,1,
springsfire,2019,springs2,270,0,2,2,4,11.3,1,1,0,0.05,2,0.05,2,
springsfire,2019,springs3,0,0,2,2,4,11.3,0,2,0,0,0.05,0,1,
springsfire,2019,springs3,180,0,2,2,4,11.3,0,0,0,0,2,0,1,
springsfire,2019,springs3,90,0,2,2,4,11.3,0,1,1,1,0.05,4,1,
springsfire,2019,springs3,270,0,2,2,4,11.3,1,0,0,0,0.05,0,1,
springsfire,2019,springs4,0,0,2,2,4,11.3,0,1,2,0,1,0,2,
springsfire,2019,springs4,180,0,2,2,4,11.3,1,1,0,0,1,0,3,
springsfire,2019,springs4,90,0,2,2,4,11.3,3,0,0,0.05,2,1,3,
springsfire,2019,springs4,270,0,2,2,4,11.3,1,2,1,0,0.05,0,0.05,
springsfire,2019,springs11,0,0,2,2,4,11.3,0,1,1,0.05,0.05,1,1,
springsfire,2019,springs11,180,0,2,2,4,11.3,0,0,0,0,2,0,1,
springsfire,2019,springs11,90,0,2,2,4,11.3,0,6,1,0,0.05,0,2,
springsfire,2019,springs11,270,0,2,2,4,11.3,0,3,2,0,1,0,1,
springsfire,2019,springs12,0,20,2,2,4,11.3,1,1,0,0,0,0,0.05,
springsfire,2019,springs12,180,0,2,2,4,11.3,0,3,1,0,0.05,0,0.05,
springsfire,2019,springs12,90,0,2,2,4,11.3,0,3,0,0,0.05,0,0.05,
springsfire,2019,springs12,270,0,2,2,4,11.3,1,1,3,0,0.05,0,2,
