site,year,plot_id,species_id,status,BAF,count,stand_ba
,,,,,,,ft2/ac
springsfire,2019,springs1,pije,live,20,9,180
springsfire,2019,springs2,pije,live,10,6,60
springsfire,2019,springs3,pije,live,10,12,120
springsfire,2019,springs4,pije,live,5,8,40
springsfire,2019,springs5,pije,live,20,7,140
springsfire,2019,springs6,pije,live,10,14,140
springsfire,2019,springs7,pico,live,20,7,140
springsfire,2019,springs8,pije,live,20,4,80
springsfire,2019,springs8,pico,live,20,5,100
springsfire,2019,springs9,pije,live,20,1,20
springsfire,2019,springs9,pico,live,20,8,160
springsfire,2019,springs11,pije,live,20,6,120
springsfire,2019,springs12,pije,live,20,6,120
springsfire,2019,springs13,pije,live,5,6,30
springsfire,2019,springs14,pije,live,10,9,90
springsfire,2019,springs15,pije,live,5,10,50
springsfire,2019,springs15,pico,live,5,3,15
springsfire,2019,springs15,pico,dead,5,1,5
springsfire,2019,springs16,pije,live,10,8,80
springsfire,2019,springs17,pije,live,10,6,60
springsfire,2019,springs18,pije,live,20,7,140
springsfire,2019,springs19,pije,live,10,8,80
springsfire,2019,springs19,pije,live,20,6,120
springsfire,2019,springs20,pije,live,20,6,120
springsfire,2019,springs21,pije,live,20,7,140
springsfire,2019,springs22,pije,live,10,9,90
springsfire,2019,springs23,pije,live,20,6,120
springsfire,2019,springs24,pije,live,10,10,100
springsfire,2019,springs25,pije,live,10,6,60
springsfire,2019,springs26,pico,live,40,2,80
springsfire,2019,springs26,pico,dead,40,1,40
springsfire,2019,springs26,pije,live,40,3,120
springsfire,2019,springs27,pije,live,20,6,120
springsfire,2019,springs27,pico,live,20,2,40
springsfire,2019,springs28,pije,live,20,8,160
springsfire,2019,springs29,pije,live,10,8,80
springsfire,2019,springs30,pije,live,20,9,180
springsfire,2019,springs37,pije,live,20,6,120
springsfire,2019,springs37,pico,live,20,1,20
springsfire,2019,springs38,pije,live,20,8,160
springsfire,2019,springs38,pico,dead,20,1,20
springsfire,2019,springs39,pije,live,20,4,80
springsfire,2019,springs39,pico,live,20,1,20
springsfire,2019,springs39,pico,dead,20,1,20
springsfire,2019,springs40,pico,live,10,4,40
springsfire,2019,springs40,pije,live,10,3,30
