plot_id,treatment_type
springs1,control
springs10,control
springs11,2007rx
springs12,2007rx
springs13,2007rx
springs14,2007rx
springs15,2007rx
springs16,2007rx
springs17,2007rx
springs18,control
springs19,control
springs2,control
springs20,control
springs21,control
springs22,control
springs23,control
springs24,control
springs25,control
springs26,2010rx
springs27,2010rx
springs28,2010rx
springs29,2010rx
springs3,control
springs30,2010rx
springs31,2013rx
springs37,control
springs38,2013rx
springs39,2013rx
springs4,control
springs40,control
springs5,control
springs6 ,control
springs7,control
springs8,control
springs9,control
