plotid,diam_class.x,plotType,condition,n_trees_ha,NRV,NRV_upper,NRV_lower
VR1,[<20],UpperMontane,n_trees2019ha,8.1,4,5,1
VR1,[<20],UpperMontane,n_trees2020ha,8.1,4,5,1
VR1,[20-40],UpperMontane,n_trees2019ha,36.45,8.5,15,3
VR1,[20-40],UpperMontane,n_trees2020ha,36.45,8.5,15,3
VR1,[40-60],UpperMontane,n_trees2019ha,24.3,12,24,6
VR1,[40-60],UpperMontane,n_trees2020ha,24.3,12,24,6
VR1,[60-80],UpperMontane,n_trees2019ha,16.2,14,22,7
VR1,[60-80],UpperMontane,n_trees2020ha,16.2,14,22,7
VR10,[<20],UpperMontane,n_trees2019ha,36.45,4,5,1
VR10,[<20],UpperMontane,n_trees2020ha,36.45,4,5,1
VR10,[>100],UpperMontane,n_trees2019ha,8.1,4,5,0
VR10,[>100],UpperMontane,n_trees2020ha,8.1,4,5,0
VR10,[20-40],UpperMontane,n_trees2019ha,16.2,8.5,15,3
VR10,[20-40],UpperMontane,n_trees2020ha,16.2,8.5,15,3
VR10,[60-80],UpperMontane,n_trees2019ha,16.2,14,22,7
VR10,[60-80],UpperMontane,n_trees2020ha,16.2,14,22,7
VR10N,[<20],UpperMontane,n_trees2019ha,4.05,4,5,1
VR10N,[<20],UpperMontane,n_trees2020ha,4.05,4,5,1
VR10N,[20-40],UpperMontane,n_trees2019ha,32.4,8.5,15,3
VR10N,[20-40],UpperMontane,n_trees2020ha,32.4,8.5,15,3
VR10N,[40-60],UpperMontane,n_trees2019ha,12.15,12,24,6
VR10N,[40-60],UpperMontane,n_trees2020ha,12.15,12,24,6
VR10N,[60-80],UpperMontane,n_trees2019ha,4.05,14,22,7
VR10N,[60-80],UpperMontane,n_trees2020ha,4.05,14,22,7
VR11,[<20],UpperMontane,n_trees2019ha,32.4,4,5,1
VR11,[<20],UpperMontane,n_trees2020ha,8.1,4,5,1
VR11,[20-40],UpperMontane,n_trees2019ha,24.3,8.5,15,3
VR11,[20-40],UpperMontane,n_trees2020ha,16.2,8.5,15,3
VR11,[40-60],UpperMontane,n_trees2019ha,20.25,12,24,6
VR11,[40-60],UpperMontane,n_trees2020ha,12.15,12,24,6
VR11,[60-80],UpperMontane,n_trees2019ha,16.2,14,22,7
VR11,[60-80],UpperMontane,n_trees2020ha,8.1,14,22,7
VR11N,[>100],UpperMontane,n_trees2019ha,4.05,4,5,0
VR11N,[>100],UpperMontane,n_trees2020ha,4.05,4,5,0
VR11N,[20-40],UpperMontane,n_trees2019ha,40.5,8.5,15,3
VR11N,[20-40],UpperMontane,n_trees2020ha,8.1,8.5,15,3
VR11N,[40-60],UpperMontane,n_trees2019ha,12.15,12,24,6
VR11N,[40-60],UpperMontane,n_trees2020ha,8.1,12,24,6
VR11N,[60-80],UpperMontane,n_trees2019ha,8.1,14,22,7
VR11N,[60-80],UpperMontane,n_trees2020ha,8.1,14,22,7
VR12,[<20],UpperMontane,n_trees2019ha,4.05,4,5,1
VR12,[<20],UpperMontane,n_trees2020ha,4.05,4,5,1
VR12,[>100],UpperMontane,n_trees2019ha,12.15,4,5,0
VR12,[>100],UpperMontane,n_trees2020ha,12.15,4,5,0
VR12,[20-40],UpperMontane,n_trees2019ha,44.55,8.5,15,3
VR12,[20-40],UpperMontane,n_trees2020ha,24.3,8.5,15,3
VR12,[40-60],UpperMontane,n_trees2019ha,4.05,12,24,6
VR12,[40-60],UpperMontane,n_trees2020ha,4.05,12,24,6
VR12,[60-80],UpperMontane,n_trees2019ha,20.25,14,22,7
VR12,[60-80],UpperMontane,n_trees2020ha,20.25,14,22,7
VR12N,[<20],UpperMontane,n_trees2019ha,8.1,4,5,1
VR12N,[<20],UpperMontane,n_trees2020ha,,4,5,1
VR12N,[>100],UpperMontane,n_trees2019ha,4.05,4,5,0
VR12N,[>100],UpperMontane,n_trees2020ha,,4,5,0
VR12N,[20-40],UpperMontane,n_trees2019ha,40.5,8.5,15,3
VR12N,[20-40],UpperMontane,n_trees2020ha,12.15,8.5,15,3
VR12N,[40-60],UpperMontane,n_trees2019ha,32.4,12,24,6
VR12N,[40-60],UpperMontane,n_trees2020ha,20.25,12,24,6
VR12N,[60-80],UpperMontane,n_trees2019ha,8.1,14,22,7
VR12N,[60-80],UpperMontane,n_trees2020ha,8.1,14,22,7
VR13,[<20],UpperMontane,n_trees2019ha,24.3,4,5,1
VR13,[<20],UpperMontane,n_trees2020ha,24.3,4,5,1
VR13,[>100],UpperMontane,n_trees2019ha,4.05,4,5,0
VR13,[>100],UpperMontane,n_trees2020ha,4.05,4,5,0
VR13,[20-40],UpperMontane,n_trees2019ha,28.35,8.5,15,3
VR13,[20-40],UpperMontane,n_trees2020ha,28.35,8.5,15,3
VR13,[40-60],UpperMontane,n_trees2019ha,20.25,12,24,6
VR13,[40-60],UpperMontane,n_trees2020ha,20.25,12,24,6
VR13,[60-80],UpperMontane,n_trees2019ha,8.1,14,22,7
VR13,[60-80],UpperMontane,n_trees2020ha,8.1,14,22,7
VR13N,[<20],UpperMontane,n_trees2019ha,32.4,4,5,1
VR13N,[<20],UpperMontane,n_trees2020ha,24.3,4,5,1
VR13N,[>100],UpperMontane,n_trees2019ha,4.05,4,5,0
VR13N,[>100],UpperMontane,n_trees2020ha,,4,5,0
VR13N,[20-40],UpperMontane,n_trees2019ha,60.75,8.5,15,3
VR13N,[20-40],UpperMontane,n_trees2020ha,48.6,8.5,15,3
