site,year,plotid,pre_post_fire,postFire,tag_id,status,species,dbh_cm,ht_m,ht2crown_m,livecrownratio_perc,ht2dead_m,crownclass,crownwidth_m,decay,scorch_ht_m,scorch_percent,torch_ht_m,torch_percent,bolechar_m,healthCode,healthCode2,resprout,stump_diameter_cm,stump_ht_m,presentPostThin,StatusPostThin,notes,diamclass,PlotType
Valentine,2020,VR1N,prefire,,490,L,ABMA,36.7,14.6,5.2,,,co,3.5,"",,,,,,,,,,,yes,L,"",[20-40],UpperMontane
Valentine,2020,VR1N,prefire,,491,L,PICO,9.8,2.4,0.5,,,do,0.5,"",,,,,,,,,,,yes,L,"",[>100],UpperMontane
Valentine,2020,VR1N,prefire,,492,L,PICO,48.5,19.9,9.4,,,ov,3,"",,,,,,,,,,,yes,L,"",[40-60],UpperMontane
Valentine,2020,VR1N,prefire,,493,L,ABMA,60.3,16.7,3.6,,,do,6,"",,,,,,,,,,,yes,L,"",[60-80],UpperMontane
Valentine,2020,VR1N,prefire,,494,L,ABMA,40.8,14.5,3.4,,,co,3,"",,,,,,,,,,,yes,D,"",[40-60],UpperMontane
Valentine,2020,VR1N,prefire,,495,D,ABMA,48.2,16.6,0,,,-,-,2,,,,,,,,,,,yes,D,"",[40-60],UpperMontane
Valentine,2020,VR1N,prefire,,496,L,ABMA,65.7,16.6,8,,,co,3,"",,,,,,,,,,,yes,D,"",[60-80],UpperMontane
Valentine,2020,VR1N,prefire,,497,D,ABMA,18.2,4.8,0,,,-,-,1,,,,,,,,,,,yes,D,"",[<20],UpperMontane
Valentine,2020,VR1N,prefire,,498,L,PICO,15.7,9.2,3.6,,,in,0.5,"",,,,,,,,,,,yes,L,"",[<20],UpperMontane
Valentine,2020,VR1N,prefire,,499,L,ABMA,19.2,4.4,1.5,,,ov,2.5,"",,,,,,,,,,,yes,L,"",[<20],UpperMontane
Valentine,2020,VR1N,prefire,,500,L,ABMA,33,11.4,2.8,,,in,4.5,"",,,,,,,,,,,yes,L,"",[20-40],UpperMontane
Valentine,2020,VR1N,prefire,,501,L,PICO,30.2,14.4,4.6,,,co,2,"",,,,,,,,,,,yes,L,"",[20-40],UpperMontane
Valentine,2020,VR1N,prefire,,502,L,PICO,11.5,4.2,1,,,op,0.5,"",,,,,,,,,,,yes,L,"",[<20],UpperMontane
Valentine,2020,VR1N,prefire,,503,L,PICO,42.7,15.4,3.2,,,co,4,"",,,,,,,,,,,yes,L,"",[40-60],UpperMontane
Valentine,2020,VR1N,prefire,,504,L,ABCO,10,2.2,1.5,,,ov,1,"",,,,,,,,,,,yes,L,"",[<20],UpperMontane
Valentine,2020,VR1N,prefire,,505,L,PICO,35.2,12.4,1.4,,,co,2,"",,,,,,,,,,,yes,L,"",[20-40],UpperMontane
Valentine,2020,VR1N,prefire,,506,L,PICO,32.4,13.2,3,,,co,3,"",,,,,,,,,,,yes,L,"",[20-40],UpperMontane
Valentine,2020,VR1N,prefire,,507,D,ABCO,53.6,15.8,0,,,-,-,2,,,,,,,,,,,yes,D,"",[40-60],UpperMontane
Valentine,2020,VR1N,prefire,,508,D,PICO,16.7,13.4,0,,,-,-,3,,,,,,,,,,,yes,D,"",[<20],UpperMontane
Valentine,2020,VR1N,prefire,,509,L,ABMA,41.2,17.8,6.4,,,co,4.5,"",,,,,,,,,,,yes,L,"",[40-60],UpperMontane
Valentine,2020,VR1N,prefire,,510,L,PICO,8.1,3,1.6,,,ov,0.5,"",,,,,,,,,,,yes,L,"",[60-80],UpperMontane
Valentine,2020,VR1N,prefire,,511,D,ABMA,61.5,15.8,0,,,-,-,1,,,,,,,,,,,yes,D,"",[60-80],UpperMontane
