plot_id,litter_duff,depth_cm
hcp1,mean_litter,2.00625
hcp1,mean_duff,2.39375
hcp10,mean_litter,3.375
hcp10,mean_duff,3.2625
hcp11,mean_litter,2.5
hcp11,mean_duff,1.125
hcp2,mean_litter,4.25
hcp2,mean_duff,4.00625
hcp3,mean_litter,4
hcp3,mean_duff,4.75625
hcp4,mean_litter,5.25
hcp4,mean_duff,5.25
hcp5,mean_litter,2.625
hcp5,mean_duff,0.5
hcp6,mean_litter,2.0625
hcp6,mean_duff,1.8125
hcp9,mean_litter,2.25
hcp9,mean_duff,1.50625
spi1,mean_litter,2.8875
spi1,mean_duff,4.375
spi10,mean_litter,4.375
spi10,mean_duff,2.13125
spi11,mean_litter,4.5
spi11,mean_duff,2.0125
spi2,mean_litter,5.625
spi2,mean_duff,3.1375
spi3,mean_litter,2.26875
spi3,mean_duff,2.51875
spi4,mean_litter,0.90625
spi4,mean_duff,2.4625
spi5,mean_litter,3.75625
spi5,mean_duff,3.75
spi6,mean_litter,1.51875
spi6,mean_duff,6.9375
spi7,mean_litter,5.8125
spi7,mean_duff,5.1875
spi8,mean_litter,5.5
spi8,mean_duff,3.3125
