plot_id,species_id,mean_dbh,mean_ht,mean_ht2crwn,total_trees,total_trees_acre
hcp1,abco,41,31.75,17.75,4,40
hcp1,cade,71.3333333333333,29,19.3333333333333,3,30
hcp1,pipo,80.9,45,20,1,10
hcp1,psme,30.65,24.5,15.5,2,20
hcp10,cade,59.5666666666667,27.5333333333333,13.6666666666667,3,30
hcp10,pipo,48.84,30.8,15.9,5,50
hcp10,psme,31.8,19,6,1,10
hcp11,psme,40.1333333333333,23.0666666666667,5.66666666666667,6,60
hcp11,quke,64.5,10.5,6,2,20
hcp2,abco,36.575,25.575,14.375,4,40
hcp2,cade,77.2,27,10,2,20
hcp3,pipo,82.26,44.6,24.4,5,50
hcp3,psme,46.64,25.6,10.54,5,50
hcp4,abco,32.85,22.5,9,2,20
hcp4,cade,57.6,22,8.5,2,20
hcp4,pila,35.3,26,14,1,10
hcp4,pipo,63.9,40.2,23.6666666666667,3,30
hcp4,psme,36.3166666666667,20.8333333333333,8.33333333333333,6,60
hcp5,pipo,37.5666666666667,15.8333333333333,6.5,6,60
hcp6,pipo,66.3,28,8,1,10
hcp6,psme,57,21.5,4.5,2,20
hcp7,pipo,34.64,18,5.2,10,100
hcp8,pipo,34.2142857142857,18,5.91428571428572,7,70
hcp9,cade,46.9666666666667,19,8.33333333333333,3,30
hcp9,pipo,56.85,28.5,10.5,2,20
hcp9,psme,59.8,22,5,1,10
hcp9,quec,51,14,12,1,10
hcp9,quke,48.88,16.58,9.8,5,50
spi1,cade,12.08,7.74,2.4,5,50
spi1,pipo,38.4590909090909,18.8181818181818,8.72727272727273,11,110
spi10,pipo,42.75,20.36,7.6,10,100
spi11,cade,49.4,17,5,1,10
spi11,pipo,32.5769230769231,18.3076923076923,6,13,130
spi11,psme,26.9,12.7,1.5,1,10
spi11,quke,30.775,18,7.75,4,40
spi2,pipo,34.6933333333333,21.8,10.3866666666667,15,150
spi3,cade,81.8,29,15,1,10
spi3,psme,70.9,26,16,1,10
spi4,abco,62.3,32,11,1,10
spi4,cade,46,21,6,2,20
spi5,abco,31.5,18,5,1,10
spi5,cade,62.8333333333333,25,16.6666666666667,3,30
spi6,abco,62.4,35,14,1,10
spi6,cade,77.7,28.5,15,2,20
spi6,psme,84.6,38,17,1,10
spi7,pipo,41.1772727272727,20.2727272727273,7.86363636363636,11,110
spi8,pipo,37.0111111111111,17.2222222222222,6.66666666666667,9,90
spi9,pipo,40.7444444444444,18.6555555555556,6,9,90
