plot_id,species_id,status,mean_dbh,mean_ht,total_trees,total_trees_acre
hcp1,abco,dead,25.8,17,1,10
hcp1,abco,live,41,31.75,4,40
hcp1,cade,live,71.3333333333333,29,3,30
hcp1,pipo,live,80.9,45,1,10
hcp1,psme,live,30.65,24.5,2,20
hcp10,cade,live,59.5666666666667,27.5333333333333,3,30
hcp10,pipo,live,48.84,30.8,5,50
hcp10,psme,live,31.8,19,1,10
hcp11,psme,live,40.1333333333333,23.0666666666667,6,60
hcp11,quke,live,64.5,10.5,2,20
hcp2,abco,live,36.575,25.575,4,40
hcp2,cade,live,77.2,27,2,20
hcp2,quke,dead,47.4,9,1,10
hcp3,pipo,live,82.26,44.6,5,50
hcp3,psme,live,46.64,25.6,5,50
hcp4,abco,live,32.85,22.5,2,20
hcp4,cade,live,57.6,22,2,20
hcp4,pila,live,35.3,26,1,10
hcp4,pipo,live,63.9,40.2,3,30
hcp4,psme,live,36.3166666666667,20.8333333333333,6,60
hcp5,pipo,live,37.5666666666667,15.8333333333333,6,60
hcp6,pipo,live,66.3,28,1,10
hcp6,psme,live,57,21.5,2,20
hcp7,pipo,live,34.64,18,10,100
hcp8,pipo,live,34.2142857142857,18,7,70
hcp9,cade,live,46.9666666666667,19,3,30
hcp9,pipo,live,56.85,28.5,2,20
hcp9,psme,live,59.8,22,1,10
hcp9,quec,live,51,14,1,10
hcp9,quke,live,48.88,16.58,5,50
spi1,cade,live,12.08,7.74,5,50
spi1,pipo,live,38.4590909090909,18.8181818181818,11,110
spi10,pipo,live,42.75,20.36,10,100
spi11,cade,live,49.4,17,1,10
spi11,pipo,live,36.6785714285714,19.2857142857143,14,140
spi11,psme,live,26.9,12.7,1,10
spi11,quke,live,30.775,18,4,40
spi11,unk,dead,16.8,,1,10
spi2,pipo,live,34.6933333333333,21.8,15,150
spi3,cade,live,81.8,29,1,10
spi3,psme,live,70.9,26,1,10
spi4,abco,live,62.3,32,1,10
spi4,cade,live,46,21,2,20
spi5,abco,live,31.5,18,1,10
spi5,cade,live,62.8333333333333,25,3,30
spi6,abco,live,62.4,35,1,10
spi6,cade,live,77.7,28.5,2,20
spi6,psme,live,84.6,38,1,10
spi6,quke,dead,85.9,9,1,10
spi7,pipo,live,41.1772727272727,20.2727272727273,11,110
spi8,pipo,live,37.0111111111111,17.2222222222222,9,90
spi9,pipo,live,40.7444444444444,18.6555555555556,9,90
