site,plot_id,polygon,pre_year,post_year,azimuth,x1h_length,x10h_length,x100h_length,x1000hr_length,1hr_count_pre,10hr_count_pre,100hr_count_pre,1hr_count_post,10hr_count_post,100hr_count_post,litter1_pre,litter2_pre,duff1_pre,duff2_pre,litter1_post,litter2_post,duff1_post,duff2_post,black_m,percent_black
slypark,spi1,8,2019,2020,N,2,2,4,11.3,5,21,0,3,5,0,4,7,5,3.5,3,2,5,3.5,11.1,0.98
slypark,spi1,8,2019,2020,S,2,2,4,11.3,1,4,0,1,4,0,3,0.5,4,2,2,2,0.5,0.5,5.8,0.51
slypark,spi1,8,2019,2020,E,2,2,4,11.3,13,5,0,21,5,0,1,4,4,4,1,2,7,2,8.9,0.79
slypark,spi1,8,2019,2020,W,2,2,4,11.3,4,1,0,3,1,0,4,0.5,5.5,7,3,0.5,0.5,5,6.2,0.55
slypark,spi2,8,2019,2020,N,2,2,4,11.3,2,9,2,0,9,2,14,2,11,5,4,3,4,7,10.4,0.92
slypark,spi2,8,2019,2020,S,2,2,4,11.3,2,5,0,2,5,0,1,3,0.5,2,1,0,0.5,0,7.2,0.64
slypark,spi2,8,2019,2020,E,2,2,4,11.3,3,12,4,0,12,2,1,1,3,2,3,1,3,0.5,7.9,0.70
slypark,spi2,8,2019,2020,W,2,2,4,11.3,4,8,1,2,5,1,21,2,0.5,2,6,2,0.5,4,8.6,0.76
slypark,spi3,8,2019,2020,N,2,2,4,11.3,17,2,3,17,2,3,0.5,0.5,0.5,7,0.5,0.5,0.5,0,0.1,0.01
slypark,spi3,8,2019,2020,S,2,2,4,11.3,26,6,3,26,6,3,1,9,1,6,1,1,1,0.5,6.4,0.57
slypark,spi3,8,2019,2020,E,2,2,4,11.3,33,10,4,6,1,4,5,1,2,0.5,0.5,1,2,1,3.3,0.29
slypark,spi3,8,2019,2020,W,2,2,4,11.3,51,11,5,2,5,4,2,0.5,4,0.5,0,0.5,0.5,0.5,3.9,0.35
slypark,spi4,9,2019,2020,N,2,2,4,11.3,6,6,3,18,6,2,0.5,1,0.5,5,0,1,0,0,4.4,0.39
slypark,spi4,9,2019,2020,S,2,2,4,11.3,30,17,2,0,2,0,1,5,0.5,0.5,1,0,0,0,9.9,0.88
slypark,spi4,9,2019,2020,E,2,2,4,11.3,18,12,11,2,2,1,0.5,1,0.5,8,0.5,0,0,0,5.9,0.52
slypark,spi4,9,2019,2020,W,2,2,4,11.3,15,6,3,15,6,3,0.5,0.5,1.5,5,0.5,0,0,0,0.4,0.04
slypark,spi5,9,2019,2020,N,2,2,4,11.3,48,21,8,3,4,1,0.5,2,11,1,0.5,1,2,4,10.9,0.96
slypark,spi5,9,2019,2020,S,2,2,4,11.3,30,5,1,14,6,0,1,7,8,4,0.5,1,4,3,9.3,0.82
slypark,spi5,9,2019,2020,E,2,2,4,11.3,34,9,5,0,2,0,2,1,0,0,1,0,5,0,10.1,0.89
slypark,spi5,9,2019,2020,W,2,2,4,11.3,21,17,5,0,1,0,2,15,4,2,0.5,1,2,1,9.6,0.85
slypark,spi6,9,2019,2020,N,2,2,4,11.3,25,22,10,0,0,3,2,2,16,12,0,0,6,0,10.8,0.96
slypark,spi6,9,2019,2020,S,2,2,4,11.3,16,10,2,24,9,2,0.5,0.5,4.5,3,2,0.5,5,0,4.1,0.36
slypark,spi6,9,2019,2020,E,2,2,4,11.3,31,9,3,29,6,2,3,4,9,7,0.5,5,0,7,7,0.62
slypark,spi6,9,2019,2020,W,2,2,4,11.3,6,14,6,24,7,5,1,0.5,1,3,1,2,1,0.5,3.5,0.31
slypark,spi7,4,2019,2020,N,2,2,4,11.3,0,0,0,0,0,0,8,3,8,1,7,3,2,0.5,3.7,0.33
slypark,spi7,4,2019,2020,S,2,2,4,11.3,1,3,2,1,8,2,2.5,6,2.5,5,8,2,6,1,4,0.35
slypark,spi7,4,2019,2020,E,2,2,4,11.3,0,0,1,0,4,1,8,6,10,7,7,6,3,2,2.9,0.26
slypark,spi7,4,2019,2020,W,2,2,4,11.3,0,2,4,2,4,4,10,3,5,3,7,0,9,0,2.2,0.19
slypark,spi8,4,2019,2020,N,2,2,4,11.3,1,2,0,1,1,0,6,2,1,2,5,6,1,2,3.4,0.30
slypark,spi8,4,2019,2020,S,2,2,4,11.3,5,2,0,5,2,0,7,2,3,2,7,11,3,3,2.9,0.26
slypark,spi8,4,2019,2020,E,2,2,4,11.3,9,2,0,0,1,0,7,3,2,3,7,6,2,3,6.1,0.54
slypark,spi8,4,2019,2020,W,2,2,4,11.3,0,0,0,1,3,0,5,2,2,2,5,4,2,1,6.6,0.58
slypark,spi9,4,2019,2020,N,2,2,4,11.3,2,0,0,0,1,0,6,2,4,2,5,8,2,3,8.1,0.72
slypark,spi9,4,2019,2020,S,2,2,4,11.3,1,0,1,0,2,0,6,7,6,7,2,5,1,3,7.6,0.67
slypark,spi9,4,2019,2020,E,2,2,4,11.3,1,4,2,4,10,2,6,7,5,7,4,7,1,5,8.5,0.75
slypark,spi9,4,2019,2020,W,2,2,4,11.3,0,3,4,2,0,1,5,1,4,1,4,1,0,0,4.7,0.42
slypark,spi10,4,2019,2020,N,2,2,4,11.3,2,3,0,0,2,0,4,5,2,1,4,5,2,1,6.3,0.56
slypark,spi10,4,2019,2020,S,2,2,4,11.3,3,1,0,1,2,3,4,5,3,2,4,5,3,2,4.5,0.40
slypark,spi10,4,2019,2020,E,2,2,4,11.3,7,0,0,4,1,0,6,2,0.5,1,6,3,0.5,1,7.4,0.65
slypark,spi10,4,2019,2020,W,2,2,4,11.3,6,0,0,4,0,0,5,4,4,4,4,3,0,0.5,3.2,0.28
slypark,spi11,4,2019,2020,N,2,2,4,11.3,0,1,1,0,6,2,4,4,1,1,4,2,1,0.5,8.6,0.76
slypark,spi11,4,2019,2020,S,2,2,4,11.3,3,1,0,0,5,0,5,6,3,3,2,4,0.5,3,9.6,0.85
slypark,spi11,4,2019,2020,E,2,2,4,11.3,6,0,0,3,0,0,4,5,0.5,0.5,3,4,0.5,0.5,8.4,0.74
slypark,spi11,4,2019,2020,W,2,2,4,11.3,25,6,0,16,1,0,3,5,2,6,3,3,4,5,3.2,0.28
