site,month,day,year,plot_id,jurisdiction,X,Y,burn,FireSeverity,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,History,NOTES,,,
,,,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,,,,
slypark ,6,24,2019,hcp1,EID,714499,4290263,no,,0,,,0,,,,,,,,,29,313,LL,LL,FS,100,9,"cade,abco,psme",3.8,15,7,70,62,27,tr,17,59,27,1,1,0,0,,,tr,0.2,0,0,0,0,0,0,tr,0.2,1,0.5,tr,0.75,tr,95.5,3,tr,0,0,0,0,1.5,0,0,100,,,,,
slypark,6,28,2019,hcp10,EID,714692,4290248,no,,,,,,,,,,,,,,26,179,LL,LL,FS,100,9,"pipo,cade,psme",3.3,14,59,85,85,27,0,0,65,27,0,,tr,0.09,tr,0.5,tr,0.3,0,0,0,0,0,0,tr,0.2,27,0.25,tr,0.4,tr,99,0,tr,0,tr,0,0,1,0,0,100,,,,,
slypark,6,28,2019,hcp11,EID,714777,4290294,no,,,,,16,172,pipo,18,263,abco,,,,42,186,LL,LL,BS,100,9,"psme,quke,cade",6.3,30,68,90,60,40,0,0,60,40,0,0,tr,0.08,tr,0.1,tr,0.3,0,0,0,0,tr,0.5,tr,0.3,25,0.25,2,0.4,1,98,tr,tr,0,tr,tr,0,1,0,0,100,,,,,
slypark ,6,25,2019,hcp2,EID,714457,4290156,no,,,,,15,124,pila,11.2,250,psme,15.4,172,quke,19,249,LL,LL,FS,100,9,"cade,abco, psme",2.6,74,17,40,40,23,tr,9,40,50,1.5,0.2,0,0,,,tr,0.2,0,0,0,0,0,0,tr,0.2,1,0.1,tr,0.5,tr,96,3,tr,0,tr,0,0,tr,0,0,99,heavy mastication,,,,
slypark,6,25,2019,hcp3,EID,714590,4290176,no,,21,54,quke,17,256,cade,50,44,pila,,,,14,244,LL,LL,BS,100,9,"pipo,psme,cade",9,4,23,70,65,29,0,0,65,29,0,0,1,0.56,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8,tr,0.3,0,97,1,tr,0,0,0,0,2,0,0,100,,,,,
slypark,6,25,2019,hcp4,EID,714499,4290075,no,,,,,,,,,,,,,,14,194,LL,LL,FS,100,9,"psme,pipo,cade",8.9,98,33,55,52,24,0,0,52,24,0,0,tr,0.32,0,0,0,0,0,0,0,0,0,0,0,0,tr,0.13,tr,1,0,98,tr,tr,0,0,0,0,2,0,0,100,piles to burn on sw quad on plot and w of plot,,,,
slypark,6,26,2019,hcp5,EID,714840,4290379,no,,,,,33,207,cade,49,347,psme,,,,17,219,UN,CV,BS,100,9,"pipo,quke,chfo",9.5,32,SPI- no tag,75,15,15,0,0,15,15,tr,1.4,tr,0.7,0,0,4,0.5,tr,0.1,0,0,2,0.5,2,0.25,55,0.2,2,1,1,97,0,tr,0,tr,0,0,2,0,0,99,,,,,
slypark,6,26,2019,hcp6,EID,714984,4290352,no,,,,,,,,,,,,,,32,199,LL,UN,SH,100,9,"pipo,psme,cein",9.3,27,SPI- no tag,75,40,23,0,0,40,23,tr,2,tr,0.3,1,1.5,25,1,0,0,tr,2.2,17,1.2,25,0.4,30,0.3,1,1,tr,98,tr,tr,0,tr,0,0,1,0,0,99,,,,,
slypark ,6,26,2019,hcp7,EID,715011,4290450,no,,,,,28,342,psme,33,64,cade,,,,16,298,LL,UN,SH,100,9,"pipo, cade, quke",9,11,SPI-no tag,70,35,18,0,0,35,30,TR,0.5,TR,0.08,0,0,1,0.75,0,0,0,0,tr,0.5,1,0.3,55,0.2,,tr,tr,98,0,tr,0,tr,tr,0,1,0,0,99,edge of summit and shoulder,,,,
slypark ,6,26,2019,hcp8,EID,715119,4290482,no,,,,,41,42,cade,,,,,,,0,,CC,CC,SU,100,9,"pipo,quke,chfo",10,53,SPI-no tag,90,30,19,0,0,30,34,0,0,tr,0.08,0,0,tr,0.3,0,0,0,0,0,0,tr,0.3,80,0.25,tr,0.7,tr,99,0.05,tr,0,tr,0,0,tr,0,0,99.05,at summit energy healing arrowhead,,,,
slypark,6,27,2019,hcp9,EID,714727,4290357,no,,0,,abco,30,331,abco,,,,,,,16,300,LL,LL,BS,100,9,"quke,cade,pipo",6,17,47,92,75,20,0,0,75,20,0,0,tr,0.05,0,0,tr,0.2,0,0,0,0,0,0,tr,0.2,35,0.13,tr,0.6,tr,97.5,1.5,tr,0,tr,tr,0,1,0,0,100,,,,,
slypark,7,1,2019,spi1,SPI,713960,4291841,no,,,,,,,,,,,,,,0,,LL,LL,SU,100,9,"pipo,cade,psme",5.7,16,SPI-no tag,70,70,17,0,0,68,17,tr,5,2,0.6,tr,0.1,tr,0.2,0,0,0,0,0,0,tr,0.2,tr,0.05,tr,0.1,15,83,tr,tr,0,tr,tr,tr,2,0,0,100,"pile burning with charred piles, bare soil mostly handlines by piles",,,,
slypark,7,3,2019,spi10,SPI,715210,4291809,no,,,,,35,266,cade,,,,,,,19,246,LL,UN,SH,100,9,"pipo, cade, quke",8.6,44,SPI-no tag,90,75,20,0,0,75,20,15,2.5,1,0.8,0,0,tr,0.3,0,0,0,0,tr,0.6,tr,0.3,40,0.5,tr,0.7,0,97,1,tr,0,tr,0,0,2,0,0,100,,,,,
slypark,7,3,2019,spi11,SPI,715231,4291695,no,,,,,,,,,,,,,,20,192,LL,LL,SH,100,9,"pipo, cade, quke",8.8,36,SPI-no tag,90,70,18,tr,9,70,18,tr,2.3,2,1.3,0,0,tr,0.3,0,0,0,0,0,0,tr,0.3,35,0.3,4,0.5,tr,97,tr,tr,0,tr,0,0,3,0,0,100,,,,,
slypark,7,1,2019,spi2,SPI,713850,4291838,no,,,,,30,195,abco,14,188,psme,26,186,cade,20,240,LL,UN,SH,100,9,"pipo, psme, cade",4.68,9,SPI-no tag,80,80,21,0,0,80,21,0,0,tr,0.25,tr,0.2,tr,0.2,0,0,0,0,0,0,tr,0.2,tr,0.075,tr,0.6,tr,97.5,1,tr,0,tr,0,0,1.5,0,0,100,skid tracks make divits in verticle shape,,,,SLASH MARK INDICATES DIFFERENT DETERMINATION OF WOOD COVER
slypark,7,1,2019,spi3,SPI,713887,4291730,no,,,,,20,224,quke,24,20,pipo,26,59,abco,0,,LL,LL,SU,100,9,"pipo,cade,quke",1,134,SPI-no tag,25,22,27.5,0,0,22,27.5,0,0,2,0.7,tr,0.3,tr,0.1,0,0,0,0,0,0,tr,0.1,1,0.3,tr,0.8,2,97,tr,tr,0,tr,0,0,1,0,0,100,,,,,
slypark,7,2,2019,spi4,SPI,713780,4291684,no,,,,,48,260,quke,,,,,,,12,292,LL,LL,SU,100,9,"pipo,psme,cade",9,43,SPI-no tag,10,10,23,0,0,10,23,tr,1.4,tr,0.11,tr,0.5,tr,0.2,0,0,0,0,0,0,tr,0.2,tr,0.2,tr,0.4,20,78,2,tr,0,tr,0,0,tr,0,0,100,mastication,,,,
slypark,7,2,2019,spi5,SPI,713685,4291612,no,,,,,16,282,pipo,,,,,,,10,251,LL,LL,SH,100,9,"cade,psme,pipo",9,92,SPI- no tag,35,34,20,0,0,34,20,tr,1.4,1,0.6,tr,0.7,tr,0.2,0,0,0,0,0,0,tr,0.5,tr,0.2,tr,0.6,1,98,1,tr,0,tr,0,0,tr,0,0,99,mastication,,,,
slypark,7,2,2019,spi6,SPI,713569,4291622,no,,,,,,,,,,,,,,30,296,LL,LL,SH,100,9,"cade,psme,abco",3.5,139,SPI-no tag,60,45,30,tr,9,45,30,tr,2,tr,0.4,0,0,25,0.4,0,0,tr,1.9,2,0.6,25,0.4,tr,0.2,tr,0.5,1,97,1,tr,0,tr,0,0,1,0,0,100,mastication,,,,
slypark,7,2,2019,spi7,SPI,715386,4292073,no,,,,,13,205,psme,36,75,cade,,,,13,278,LL,LL,SH,100,9,"pipo, cade,psme",10.2,57,SPI-no tag,85,70,20,0,0,70,20,tr,2.5,tr,0.95,tr,0.8,tr,0.5,0,0,0,0,tr,0.5,tr,0.3,40,0.3,tr,0.5,0,96,3,tr,0,tr,0,0,1,0,0,100,top of shoulder,,,,
slypark,7,3,2019,spi8,SPI,715354,4291966,no,,,,,,,,,,,,,,13,280,LL,LL,SU,100,9,"pipo,abco,cade",6.4,13,SPI- no tag,90,60,15,0,0,60,15,1,1.8,tr,0.5,0,0,tr,0.4,0,0,0,0,tr,0.5,tr,0.3,45,0.3,tr,0.6,0,97,1,tr,0,tr,tr,0,2,0,0,100,,,,,
