site,plot_id,year,azimuth,slope_percent,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2_cm,notes
slypark,hcp1,2019,N,0,82,3,1,6,3,4,1,
slypark,hcp1,2019,S,0,30,16,1,4,8,3,1,
slypark,hcp1,2019,E,32,34,12,0,2,0.05,0.05,1,
slypark,hcp1,2019,W,26,32,12,2,0.05,1,0.05,1,
slypark,hcp10,2019,N,24,3,2,2,6,4,0.05,3,
slypark,hcp10,2019,S,24,7,13,1,0.05,1,1,2,
slypark,hcp10,2019,E,0,10,10,1,10,5,2,2,
slypark,hcp10,2019,W,0,2,7,4,6,6,1,4,
slypark,hcp11,2019,N,39,12,3,0,0,7,0,3,
slypark,hcp11,2019,S,43,35,6,0,0,4,4,0,
slypark,hcp11,2019,E,0,56,6,0,3,2,2,1,
slypark,hcp11,2019,W,0,4,1,0,0,1,0,2,
slypark,hcp2,2019,N,0,19,7,3,3,5,0.05,3,lots of masticated fuels throughout plot
slypark,hcp2,2019,S,0,14,10,1,3.5,2.5,4.5,3.5,
slypark,hcp2 ,2019,E,21,14,13,8,6,6,4,5,
slypark,hcp2 ,2019,W,21,1,8,0,7,3,4,6,
slypark,hcp3,2019,N,0,1,1,1,3,3,15,4,duff 2 deep decomposing mastication fuel mix
slypark,hcp3,2019,W,0,1,8,0,7,3,4,6,
slypark,hcp3 ,2019,S,0,14,10,1,3.5,2.5,4.5,3.5,
slypark,hcp3 ,2019,E,0,14,3,2,0.05,5,1,5,again lots of masticated fuels
slypark,hcp4,2019,N,0,52,12,0,6,5,7,8,s
slypark,hcp4,2019,E*,0,18,8,0,4,5,4,4,mixed duff and mastication on site
slypark,hcp4,2019,S*,0,19,7,0,3,5,2,1,
slypark,hcp4,2019,W,0,34,7,4,4,8,12,6,
slypark,hcp5,2019,N,0,3,7,0,0,3,1,0,
slypark,hcp5,2019,S,0,0,0,0,3,3,0,3,
slypark,hcp5,2019,E,0,7,6,0,0,8,0,1,
slypark,hcp5,2019,W,0,8,3,0,0,1,0,2,
slypark,hcp6,2019,N,32,43,12,5,0.5,1,3,1.5,
slypark,hcp6,2019,S,34,13,7,1,4,5,0,1,
slypark,hcp6,2019,E,0,16,11,0,5,4,2,1,
slypark,hcp6,2019,W,0,27,11,2,0,2,0,1,
slypark,hcp9,2019,N,0,11,4,1,1,5,5,2,
slypark,hcp9,2019,S,0,10,6,1,3,2,0,3,
slypark,hcp9,2019,E,0,21,5,1,1,1,1,2,
slypark,hcp9,2019,W,0,2,1,0,0.05,1,1,2,
slypark,spi1,2019,N,0,5,21,0,5,4,3.5,7,
slypark,spi1,2019,S,0,1,4,0,4,3,2,0.05,
slypark,spi1,2019,E,0,13,5,0,4,1,4,4,
slypark,spi1,2019,W,0,4,1,6,5.5,4,7,0.05,
slypark,spi10,2019,N,0,2,3,0,2,4,1,5,
slypark,spi10,2019,S,0,3,1,0,3,4,2,5,
slypark,spi10,2019,E,0,7,0,0,0.05,6,1,2,
slypark,spi10,2019,W,0,6,0,0,4,5,4,4,
slypark,spi11,2019,N,0,0,1,1,1,4,1,4,
slypark,spi11,2019,S,0,3,1,0,3,5,3,6,
slypark,spi11,2019,E,0,6,0,0,0.05,4,0.05,5,
slypark,spi11,2019,W,0,25,6,0,2,3,6,5,
slypark,spi2,2019,N,0,2,9,2,11,14,5,2,
slypark,spi2,2019,S,0,2,5,0,0.05,1,2,3,
slypark,spi2,2019,E,0,3,12,4,3,1,2,1,
slypark,spi2,2019,W,0,4,8,1,0.05,21,2,2,
slypark,spi3,2019,N,0,17,2,3,0.05,0.05,7,0.05,
slypark,spi3,2019,S,0,26,6,3,1,1,6,9,
slypark,spi3,2019,E,0,33,10,4,2,5,0.05,1,
slypark,spi3,2019,W,0,51,11,5,4,2,0.05,0.05,
slypark,spi4,2019,N,0,6,6,3,0.05,0.05,5,0.05,
slypark,spi4,2019,S,0,30,17,2,0.05,1,0.05,5,
slypark,spi4,2019,E,0,18,12,11,0.05,0.05,8,1,
slypark,spi4,2019,W,0,15,6,3,1.5,0.05,5,0.05,
slypark,spi5,2019,N,0,48,21,8,11,0.05,1,2,
slypark,spi5,2019,S,0,30,5,1,8,1,4,7,
slypark,spi5,2019,E,0,34,9,5,0,2,0,1,
slypark,spi5,2019,W,0,21,17,5,4,2,2,15,
slypark,spi6,2019,N,20,25,22,10,16,2,12,2,
slypark,spi6,2019,S,0,16,10,2,4.5,0.05,3,0.05,
slypark,spi6,2019,E,26,31,9,3,9,3,7,4,
slypark,spi6,2019,W,27,6,14,6,1,1,3,0.05,
slypark,spi7,2019,N,0,0,0,0,8,8,1,3,
slypark,spi7,2019,S,0,1,3,2,2.5,2.5,5,6,
slypark,spi7,2019,E,0,0,0,1,10,8,7,6,
slypark,spi7,2019,W,0,0,2,4,5,10,3,3,
slypark,spi8,2019,N,0,2,0,0,4,6,2,5,
slypark,spi8,2019,S,0,1,0,1,6,6,7,6,
slypark,spi8,2019,E,0,1,4,2,5,6,7,5,
slypark,spi8,2019,W,0,0,3,4,4,5,1,2,
slypark,spi8,2019,N,0,1,2,0,1,6,2,6,
slypark,spi8,2019,S,0,5,2,0,3,7,2,3,
slypark,spi8,2019,E,0,9,2,0,2,7,3,7,
slypark,spi8,2019,W,0,0,0,0,2,5,2,6,
