plot_id,species_id,mean_dbh,mean_ht,mean_ht2crwn,total_trees,total_trees_acre,treatment_type
springs1,pije,40.9909090909091,14.1909090909091,4.91818181818182,11,110,control
springs10,pico,39.2545454545455,13.7818181818182,2.61818181818182,11,110,control
springs10,pije,24.9,11.1,2.5,2,20,control
springs11,pije,49.14,15.4,6.46,5,50,2007rx
springs12,pije,43.2625,14.8125,6.6125,8,80,2007rx
springs13,pije,28.92,8.33,1.79,5,50,2007rx
springs14,pije,37.9,13.11,7.4,10,100,2007rx
springs15,pije,36.3142857142857,12.1571428571429,3.57142857142857,7,70,2007rx
springs16,pije,45.36,14.78,6,5,50,2007rx
springs17,pije,54.5666666666667,14.6666666666667,3.83333333333333,3,30,2007rx
springs18,pije,42.7111111111111,13.3444444444444,4.41111111111111,9,90,control
springs19,pije,44.2333333333333,14.3333333333333,3.66666666666667,6,60,control
springs2,pije,39.4,12.34,3.24,5,50,control
springs20,pije,35.6416666666667,11.6333333333333,4.1,6,60,control
springs21,pije,39.5125,13.5375,3.825,8,80,control
springs22,pije,46.1142857142857,15.9285714285714,5.45714285714286,7,70,control
springs23,pije,42.88,11.4,3.8,5,50,control
springs24,pije,44.0166666666667,16.25,3.88333333333333,6,60,control
springs25,pije,39.4333333333333,11.5666666666667,3,3,30,control
springs26,pico,23.0423076923077,11.2384615384615,4.41538461538462,13,130,2010rx
springs26,pije,22.7205882352941,8.82941176470588,3.75294117647059,17,170,2010rx
springs27,pico,39.6333333333333,14,3,3,30,2010rx
springs27,pije,24.5846153846154,9.58461538461538,3.69230769230769,13,130,2010rx
springs28,pije,24.2642857142857,8.49464285714286,3.46607142857143,28,280,2010rx
springs29,pije,41.94,14.84,5.86,5,50,2010rx
springs3,pije,40.65,11.88,3.6,10,100,control
springs30,pico,35.9,13.5,4,1,10,2010rx
springs30,pije,20.10625,7.0359375,2.4640625,32,320,2010rx
springs37,pico,45.3,14.7333333333333,1.2,3,30,control
springs37,pije,41.2538461538462,13.9846153846154,4.91538461538462,13,130,control
springs38,pije,54.625,18.7875,8.25,8,80,2013rx
springs39,pico,42.5,13,7.4,1,10,2013rx
springs39,pije,55.5,18.5,5.23333333333333,3,30,2013rx
springs4,pije,40.6333333333333,11.8666666666667,3,3,30,control
springs40,pico,23.07,5.98,1.2,5,50,control
springs40,pije,24.9833333333333,7.46666666666667,2.13333333333333,3,30,control
springs5,pije,58.88,17.6,5.04,5,50,control
springs6,pico,19.6821428571429,8.10714285714286,2.38214285714286,28,280,control
springs7,pico,33.1764705882353,14.1235294117647,3.47058823529412,17,170,control
springs8,pico,35.2857142857143,12.7142857142857,3.28571428571429,7,70,control
springs8,pije,28.8,8.84,3.28,10,100,control
