plot_id,litter_duff,time,depth_cm
springs1,mean_litter,preburn_depth_cm,3.88125
springs1,mean_litter,postburn_depth_cm,0.40625
springs1,mean_duff,preburn_depth_cm,3.38125
springs1,mean_duff,postburn_depth_cm,0.50625
springs11,mean_litter,preburn_depth_cm,2.0125
springs11,mean_litter,postburn_depth_cm,1.0125
springs11,mean_duff,preburn_depth_cm,1.13125
springs11,mean_duff,postburn_depth_cm,0.13125
springs12,mean_litter,preburn_depth_cm,1.3875
springs12,mean_litter,postburn_depth_cm,0.2875
springs12,mean_duff,preburn_depth_cm,1.0125
springs12,mean_duff,postburn_depth_cm,0
springs13,mean_litter,preburn_depth_cm,0.8875
springs13,mean_litter,postburn_depth_cm,1.4375
springs13,mean_duff,preburn_depth_cm,0.75
springs13,mean_duff,postburn_depth_cm,0.2625
springs14,mean_litter,preburn_depth_cm,0.3875
springs14,mean_litter,postburn_depth_cm,1.33125
springs14,mean_duff,preburn_depth_cm,0.38125
springs14,mean_duff,postburn_depth_cm,0.00625
springs16,mean_litter,preburn_depth_cm,1.38125
springs16,mean_litter,postburn_depth_cm,1.51875
springs16,mean_duff,preburn_depth_cm,0.375
springs16,mean_duff,postburn_depth_cm,0
springs17,mean_litter,preburn_depth_cm,0.65625
springs17,mean_litter,postburn_depth_cm,0.78125
springs17,mean_duff,preburn_depth_cm,0.2625
springs17,mean_duff,postburn_depth_cm,0
springs18,mean_litter,preburn_depth_cm,1.8875
springs18,mean_litter,postburn_depth_cm,0.98125
springs18,mean_duff,preburn_depth_cm,1.0625
springs18,mean_duff,postburn_depth_cm,0.00625
springs19,mean_litter,preburn_depth_cm,1.94375
springs19,mean_litter,postburn_depth_cm,1.06875
springs19,mean_duff,preburn_depth_cm,1.875
springs19,mean_duff,postburn_depth_cm,0.1875
springs2,mean_litter,preburn_depth_cm,1.15
springs2,mean_litter,postburn_depth_cm,1.2625
springs2,mean_duff,preburn_depth_cm,1.5125
springs2,mean_duff,postburn_depth_cm,0.2625
springs20,mean_litter,preburn_depth_cm,1.4375
springs20,mean_litter,postburn_depth_cm,0.64375
springs20,mean_duff,preburn_depth_cm,1.25625
springs20,mean_duff,postburn_depth_cm,0
springs21,mean_litter,preburn_depth_cm,3.375
springs21,mean_litter,postburn_depth_cm,0.88125
springs21,mean_duff,preburn_depth_cm,1.125
springs21,mean_duff,postburn_depth_cm,0.38125
springs22,mean_litter,preburn_depth_cm,0.40625
springs22,mean_litter,postburn_depth_cm,1.36875
springs22,mean_duff,preburn_depth_cm,2.375
springs22,mean_duff,postburn_depth_cm,0.025
springs23,mean_litter,preburn_depth_cm,4.125
springs23,mean_litter,postburn_depth_cm,1.2625
springs23,mean_duff,preburn_depth_cm,0
springs23,mean_duff,postburn_depth_cm,0.75
springs24,mean_litter,preburn_depth_cm,3.0625
springs24,mean_litter,postburn_depth_cm,0.76875
springs24,mean_duff,preburn_depth_cm,0.9
springs24,mean_duff,postburn_depth_cm,0.00625
springs25,mean_litter,preburn_depth_cm,1.1375
springs25,mean_litter,postburn_depth_cm,0.4
springs25,mean_duff,preburn_depth_cm,1.5
springs25,mean_duff,postburn_depth_cm,0
springs26,mean_litter,preburn_depth_cm,2.075
springs26,mean_litter,postburn_depth_cm,0.40625
springs26,mean_duff,preburn_depth_cm,2.38125
springs26,mean_duff,postburn_depth_cm,1.125
springs27,mean_litter,preburn_depth_cm,2.25625
springs27,mean_litter,postburn_depth_cm,0.78125
springs27,mean_duff,preburn_depth_cm,1.64375
springs27,mean_duff,postburn_depth_cm,0.125
springs28,mean_litter,preburn_depth_cm,1.875
springs28,mean_litter,postburn_depth_cm,0.4125
springs28,mean_duff,preburn_depth_cm,0
springs28,mean_duff,postburn_depth_cm,0.25
springs29,mean_litter,preburn_depth_cm,2.075
springs29,mean_litter,postburn_depth_cm,0.2875
springs29,mean_duff,preburn_depth_cm,0.025
springs29,mean_duff,postburn_depth_cm,0.5
springs3,mean_litter,preburn_depth_cm,1.63125
springs3,mean_litter,postburn_depth_cm,0.76875
springs3,mean_duff,preburn_depth_cm,1.13125
springs3,mean_duff,postburn_depth_cm,0.625
springs30,mean_litter,preburn_depth_cm,3
springs30,mean_litter,postburn_depth_cm,0.2875
springs30,mean_duff,preburn_depth_cm,2
springs30,mean_duff,postburn_depth_cm,0.75
springs4,mean_litter,preburn_depth_cm,0.89375
springs4,mean_litter,postburn_depth_cm,1.5125
springs4,mean_duff,preburn_depth_cm,0.38125
springs4,mean_duff,postburn_depth_cm,0.13125
