site,month,day,date,plot_id,X,Y,burn,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,History,NOTES
,,,,,,,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,
springsfire,8,8,2019,springs1,333891,4191364,no,,,,,,,6,310,LL,LL,BS,100,9,"pije, artr, putr",11,12,1,35,26,14,0,,26,14,0,,tr,0.3,0,,18,0.5,tr,0.4,0,,10,0.6,18,0.5,tr,0.3,tr,0.3,tr,97,2,tr,0,tr,0,0,1,0,0,100,,
springsfire,8,8,2019,springs2,333330,4190743,no,,,,,,,13,358,LL,LL,BS,100,9,"pije, putr, leppun",10.1,2,12,30,20,14,0,,20,14,0.5,1.5,tr,0.4,0,,15,0.5,1,0.4,0,,10,0.6,15,0.5,1,0.3,tr,0.2,5,93,1,tr,0,tr,0,0,1,0,0,100,2013 rx burn,
springsfire,8,8,2019,springs3,333527,4190744,no,,,,,,,3,252,CC,CC,BS,100,9,"pije, putr, leppun",10.4,12,18,55,40,10.25,0,,40,10.25,0,,tr,1,0,,20,0.6,tr,0.3,0,,15,0.6,20,0.5,tr,0.2,tr,0.3,5,93,tr,1,0,tr,0,0,1,0,0,100,2013 rx burn,
springsfire,8,8,2019,springs4,333525,4190939,no,,,,,,,8,48,LL,LL,BS,100,9,"pije, putr, rice",6.3,48,28,15,6,11.8,0,,6,11.8,0,,tr,0.2,0,,10,0.5,tr,0.4,0,,9,0.6,10,0.5,tr,0.3,tr,0.4,15,84,tr,tr,0,1,0,0,tr,0,0,100,2013 rx burn,slightly conave
springsfire,8,8,2019,springs5,332498,4190834,no,,,,,,,32,280,LL,LL,BS,100,9,"pije, putr, elel",,,,40,30,18,0,,30,18,0,,tr,0.2,0,,15,0.5,tr,0.2,0,,14,0.8,15,0.5,tr,0.25,tr,0.4,18,79,tr,tr,0,1,1,0,1,0,0,100,apparantly no previous treatment but bole char sooooo,
springsfire,8,9,2019,springs6,333985,4189921,no,,,,29.3,13,pije,4,38,LL,LL,BS,100,9,"pico, putr, pije",10.5,22,36,50,41,8,tr,5.9,41,8,1,7,tr,0.4,0,,12,0.35,tr,0.3,0,,tr,0.6,12,0.4,tr,0.2,tr,0.3,10,89,tr,tr,0,tr,0,0,1,0,0,100,no rx hist,close to 10 split
springsfire,8,9,2019,springs7,334189,4190083,no,,,,,,,13,320,LL,LL,BS,100,9,"pico,elel,elci",5.4,1,65,33,30,17,tr,9.4,30,17,tr,2.5,1,0.5,0,,tr,0.35,tr,0.15,0,,0,,tr,0.2,tr,0.2,2,0.15,5,80,tr,15,0,tr,0,0,0,0,0,100,,
springsfire,8,8,2019,springs8,333989,4190067,no,,,,,,,6,19,LL,LL,BS,100,9,"pico,pije,putr",9.3,2,82,45,35,16,0,0,35,16,1,,tr,0.5,0,,7,0.75,0,,0,,5,0.75,7,0.5,tr,0.1,1,0.15,3,95,1,tr,0,tr,0,0,1,0,0,100,no treatment,
springsfire,8,8,2019,springs9,334202,4189775,no,,,,,,,4,316,LL,LL,BS,100,9,"pico, pije, putr",3.3,19,99,35,24,,tr,7,24,0,tr,4,tr,0.05,0,,8,0.5,1,0.2,0,,6,0.75,7,0.5,tr,0.25,1,0.1,5,93,1,tr,0,tr,0,0,1,0,0,100,no treatment,
